"","BXP.Open","BXP.High","BXP.Low","BXP.Close","BXP.Volume"
"2011-09-15",101.41,102.78,100.42,102.76,1283316
"2011-09-22",92.58,93.18,91.14,92.55,2379495
"2011-09-29",92.69,93.11,91.18,92.68,1664449
"2011-10-06",85.13,87.8,84,87.7,1654936
"2011-10-13",89.43,90.63,87.63,89.9,1319087
"2011-10-20",91.09,91.09,88.48,90.85,1305703
"2011-10-27",97.33,99.61,95.67,97.75,1633556
"2011-11-03",99.05,99.8,96.87,99.4,1078602
"2011-11-10",97.01,97.01,94.51,95.39,1072682
"2011-11-17",95.01,95.78,93.27,93.77,1226526
"2011-12-01",94.94,95.2,93.24,93.57,1070950
"2011-12-08",95.4,95.44,93.51,93.79,694970
"2011-12-15",94.43,96.07,93.56,95.04,1133395
"2011-12-22",98.32,100.53,98.01,100.03,1064601
"2011-12-29",99.57,100.21,98.95,100.03,591667
"2012-01-05",98.83,99.98,98.65,99.5,1046769
"2012-01-12",99.15,99.63,97.82,98.21,994472
"2012-01-19",99.18,100.08,99.01,99.76,772124
"2012-01-26",103.96,104.69,103.43,103.68,912520
"2012-02-02",106.11,106.74,105.63,106.21,1316346
"2012-02-09",105.99,106.45,104.64,104.74,808729
"2012-02-16",102.8,105.02,102.62,104.8,806729
"2012-02-23",101.6,103.18,101.6,103.13,612610
"2012-03-01",101.53,102.58,101.42,102.47,693796
"2012-03-08",103.4,103.4,101.62,101.91,1152828
"2012-03-15",105.33,105.44,104.34,104.74,928290
"2012-03-22",103.91,103.91,102.42,103.38,786095
"2012-03-29",103.69,104.14,102.82,103.86,928710
"2012-04-05",103.04,103.49,102.14,102.76,744824
"2012-04-12",100.27,102.01,99.51,102.01,831092
"2012-04-19",103.25,103.57,102.5,103.34,748320
"2012-04-26",106.48,107.65,106.19,107.46,782272
"2012-05-03",109.61,109.72,107.85,107.9,1491469
"2012-05-10",108.97,108.97,107.11,108.2,817202
"2012-05-17",104.72,105.14,101.66,101.71,1443365
"2012-05-24",103.36,104.5,102.95,104.05,711160
"2012-05-31",102.98,103.96,101.75,102.93,1225301
"2012-06-07",105.02,105.38,103.24,103.85,606824
"2012-06-14",101.75,103.66,101.46,103.21,655784
"2012-06-21",105.78,105.96,103.48,103.64,937121
"2012-06-28",103.33,105.05,102.63,104.86,416390
"2012-07-05",110,110.44,108.93,109.37,513806
"2012-07-12",108.26,109.73,107.88,108.9,765581
"2012-07-19",111.01,111.25,109.18,110.35,779028
"2012-07-26",110.09,111.09,109.08,110.11,861846
"2012-08-02",110.55,111.9,110.19,111.81,788123
"2012-08-09",110.67,111.89,110.06,110.52,1279032
"2012-08-16",111.09,112.16,110.72,111.99,495798
"2012-08-23",111.57,111.93,111.18,111.58,693300
"2012-08-30",111.29,111.59,110.95,111.4,547875
"2012-09-06",112.87,113.31,112.57,112.95,747727
"2012-09-13",112.77,114.83,112.44,114.83,1005928
"2012-09-20",113.6,113.75,112.18,112.54,912156
"2012-09-27",110.7,112.23,110.56,111.39,828035
"2012-10-04",110.85,111.17,109.66,109.88,509346
"2012-10-11",110.14,110.55,109.45,109.45,363118
"2012-10-18",110,111.46,109.93,111.46,676275
"2012-10-25",108.82,109.7,106.78,107.35,1107249
"2012-11-01",106.45,107.29,105.87,107.16,789749
"2012-11-08",105.52,105.79,103.46,103.69,1102494
