"","AXP.Open","AXP.High","AXP.Low","AXP.Close","AXP.Volume"
"2013-02-14",62.08,62.65,61.83,62.34,4433246
"2013-02-21",61.87,62,61.14,61.54,5288041
"2013-02-28",62.43,62.65,61.88,62.15,5366723
"2013-03-07",64.73,64.88,64.14,64.56,4446677
"2013-03-14",65.42,65.75,65.29,65.38,3761146
"2013-03-21",65.83,65.99,65.26,65.41,3600096
"2013-03-28",67.31,67.48,67,67.46,4355496
"2013-04-04",66.42,66.96,66.3,66.73,3634398
"2013-04-11",65.47,65.92,65.2,65.74,6357698
"2013-04-18",64.04,65.89,63.64,65.04,10457930
"2013-04-25",67.75,69.05,67.64,68.13,5834140
"2013-05-02",68.43,69.47,68.37,69.38,3575826
"2013-05-09",70.25,70.51,69.71,70.21,3754829
"2013-05-16",72.61,72.95,72.13,72.23,3861519
"2013-05-23",73.88,74.99,73.61,74.69,7985123
"2013-05-30",76.02,76.9,75.92,76.14,5417344
"2013-06-06",74.75,76.25,74.64,76.24,5457462
"2013-06-13",74.46,75.26,73.79,75.21,6739212
"2013-06-20",73.76,74,72.81,72.92,5658329
"2013-06-27",74.38,75.43,74.38,75.12,4216892
"2013-07-11",77.54,77.62,76.56,76.94,5715100
"2013-07-18",75.44,75.75,73.86,74.01,10354102
"2013-07-25",75.06,75.81,75.03,75.77,4083712
"2013-08-01",74.53,76.1,74.51,75.63,5981331
"2013-08-08",75.79,77.27,75.48,76.19,3293582
"2013-08-15",75.27,75.43,74.62,74.88,3834457
"2013-08-22",73.66,74,73.4,73.86,2354898
"2013-08-29",71.81,72.62,71.58,72.22,2957050
"2013-09-05",73.16,74.23,72.89,73.8,3605800
"2013-09-12",75.29,75.61,74.97,75.29,2502216
"2013-09-19",77.81,77.9,77.15,77.57,3998910
"2013-09-26",76,77,75.78,76.32,2926950
"2013-10-03",74.11,74.29,73.3,74.02,4364703
"2013-10-10",73.19,74.67,73.01,74.66,3769850
"2013-10-17",77.94,80.4,77.8,80.23,10372383
"2013-10-24",80.77,81,80.45,80.9,3181810
"2013-10-31",82.79,82.99,81.69,81.8,5638802
"2013-11-07",82.33,82.6,80.88,80.92,3485963
"2013-11-14",81.61,81.91,81.35,81.89,2284072
"2013-11-21",82.63,84,82.57,83.95,4355359
"2013-12-05",84.27,84.99,84.15,84.54,3677829
"2013-12-12",83.78,84.28,83.21,83.3,3574325
"2013-12-19",85.95,86.53,85.91,86.41,3956320
"2013-12-26",88.9,89.23,88.76,89,1745279
"2014-01-02",90.9,91.08,89.38,89.45,5120019
"2014-01-09",89.89,89.93,88.07,88.88,3469242
"2014-01-16",88,88.24,87.26,87.78,3336545
"2014-01-23",90.49,90.49,88.68,89.17,5261291
"2014-01-30",86.45,86.98,86.07,86.62,4259912
"2014-02-06",84.5,85.76,84.32,85.69,5432386
"2014-02-13",88.37,88.98,88.01,88.9,2759782
"2014-02-20",88.8,89.23,88.12,89.01,4412162
"2014-02-27",89.65,90.43,89.51,90.29,3075588
"2014-03-06",92.56,93.64,92.36,93.52,3962682
"2014-03-13",93.2,93.48,90.41,90.69,3990350
"2014-03-20",90.48,91.9,90.23,91.69,3779744
"2014-03-27",89.7,90.43,89.27,89.99,3602751
"2014-04-03",90.67,91.2,90.4,90.98,2483562
"2014-04-10",88.47,88.74,85.3,85.36,5213765
"2014-04-17",87.16,87.92,85.1,86.22,9244808
"2014-04-24",87.26,87.98,86.91,87.41,3187102
"2014-05-01",87.53,87.58,86.33,86.82,4680412
"2014-05-08",87.88,89.28,87.66,88.62,4220350
"2014-05-15",88.2,88.58,87.11,87.6,3329234
"2014-05-22",87.79,88.39,87.55,88.15,2654758
"2014-05-29",91.12,91.3,90.53,91.28,2668484
"2014-06-05",91.92,93.21,91.53,92.8,3222994
"2014-06-12",95.35,95.48,94.36,94.76,2870488
"2014-06-19",95.46,95.7,94.53,95.07,3206376
"2014-06-26",94.83,94.94,93.54,94.3,2594797
"2014-07-03",95.58,95.94,95.22,95.84,1633771
"2014-07-10",93.55,94.81,93.16,94.46,2230008
"2014-07-17",93.96,94.7,92.91,92.99,3117458
"2014-07-24",93.33,93.62,92.85,93.15,3023420
"2014-07-31",90.07,90.26,87.99,88,7564147
"2014-08-07",86.79,87.14,85.89,86.02,4539209
"2014-08-14",87.5,87.8,87.1,87.27,3498785
"2014-08-21",88.64,89.32,88.59,89.14,3019283
"2014-08-28",88.84,89.33,88.61,89.02,3324915
"2014-09-04",90.11,90.46,89.42,89.65,2599473
"2014-09-11",88.01,88.6,87.88,88.42,2757034
"2014-09-18",89.33,90.59,89.31,90.1,4309814
"2014-09-25",88.51,88.82,86.76,86.76,5647980
"2014-10-02",86.39,86.5,85.06,85.87,4217094
"2014-10-09",87.33,87.98,85.82,85.89,5396567
"2014-10-16",80.29,81.47,78.81,80.24,9159291
"2014-10-23",85.13,85.85,84.87,85.61,5000415
"2014-10-30",88.59,89.49,88.2,88.74,5072891
"2014-11-06",92.13,92.2,91.11,91.58,6005814
"2014-11-13",91.7,91.7,90.94,91.07,3638009
"2014-11-20",89.83,90.91,89.82,90.62,2825692
"2014-12-04",91.85,91.85,91.19,91.83,4000235
"2014-12-11",93.11,94.62,92.95,93.13,4419092
"2014-12-18",91.7,93.21,91.49,93.17,4554192
"2015-01-08",91.44,91.81,91,91.58,3781465
"2015-01-15",87.5,88.03,84.55,85.88,5830949
"2015-01-22",84.5,86.12,83.5,84.37,16390070
"2015-01-29",82.07,82.33,81.16,82,7545880
"2015-02-05",84.25,84.93,84.08,84.73,3966584
"2015-02-12",80.03,81.53,80,80.48,32653122
"2015-02-19",79.89,79.98,77.56,78.4,20857959
"2015-02-26",83.01,83.47,82.41,83.25,8702804
"2015-03-05",80.66,81.4,80.64,81.15,5571779
"2015-03-12",80.1,82,80.03,81.56,9386593
"2015-03-19",81.84,81.96,80.94,81.54,4677008
"2015-03-26",79.67,79.78,77.88,78.48,16181335
"2015-04-02",78.93,79.77,78.57,79.7,5695160
"2015-04-09",78.63,79.33,78.41,79.16,4288069
"2015-04-16",79.43,81.17,79.25,80.91,8084767
"2015-04-23",78.06,78.37,77.74,78.15,4815396
"2015-04-30",77.04,77.68,76.98,77.45,6754099
"2015-05-07",77.84,78.74,77.6,78.43,7924637
"2015-05-14",80.34,80.9,80.26,80.75,4450782
"2015-05-21",80.54,81.17,80.41,80.76,4249682
"2015-05-28",79.97,80.25,79.88,80.09,4444099
"2015-06-04",80.05,80.34,79.2,79.36,5438075
"2015-06-11",80.34,80.77,80,80.3,4013377
"2015-06-18",80.24,80.9,79.81,80.77,4632281
"2015-06-25",80.99,81,79.88,79.88,6591058
"2015-07-02",78.69,79.13,78.18,78.21,4577689
"2015-07-09",76.63,77.45,76.29,76.34,3934003
"2015-07-16",79,79.16,78.66,78.92,4095773
"2015-07-23",77.7,77.95,76.13,77.01,12256764
"2015-07-30",75.79,76.21,75.64,76.12,4767112
"2015-08-06",75.65,75.79,74.71,75,4522063
"2015-08-13",80.85,80.97,80.38,80.76,4866909
"2015-08-20",80.11,80.46,78.73,78.76,7186887
"2015-08-27",75.88,77.18,75.52,76.88,6742572
"2015-09-03",75.38,76.25,75.05,75.26,4697704
"2015-09-10",75.15,75.86,74.98,75.31,4761361
"2015-09-17",77.46,78.4,76.77,77.06,4129937
"2015-09-24",74.99,75.03,73.85,74.69,6035702
"2015-10-01",74.16,74.6,73.21,73.89,4736308
"2015-10-08",76.99,77.26,76.11,77.18,3288825
"2015-10-15",77,77.19,76.07,76.74,3612389
"2015-10-22",73.06,73.28,71.39,72.5,23626277
"2015-10-29",74.15,74.97,74.04,74.22,5225657
"2015-11-05",74.15,74.33,73.57,73.93,4982766
"2015-11-12",72.72,72.79,71.82,71.98,6086354
"2015-11-19",72.1,72.88,72.06,72.74,4837186
"2015-12-03",71.41,71.7,70.12,70.42,6807762
"2015-12-10",69.74,70.65,69.61,70.11,4782972
"2015-12-17",70.79,70.96,69.41,69.57,4800033
"2015-12-24",69.74,70.51,69.74,70.16,1956388
"2015-12-31",70.01,70.32,69.53,69.55,3531279
"2016-01-07",63.31,64.25,63.08,63.84,11323947
"2016-01-14",62.85,63.75,62.37,63.29,6651745
"2016-01-21",63,64.32,62.51,62.64,8941046
"2016-01-28",54.68,54.76,52.15,52.88,18008130
"2016-02-04",54.08,54.46,53.81,54.38,6870644
"2016-02-11",51.22,51.59,50.27,51.11,9144785
"2016-02-18",53.5,54.34,53.45,54.15,8503197
"2016-02-25",54.78,55.39,54.3,55.39,4379221
"2016-03-03",57.16,58.18,57.16,58.09,6847790
"2016-03-10",59.29,59.46,58.05,58.75,6483850
"2016-03-17",59.55,60.5,59.32,60.08,4601253
"2016-03-24",60.22,60.52,59.6,60.47,3549506
"2016-03-31",60.51,61.52,60.28,61.4,6297653
"2016-04-07",59.45,59.52,58.7,58.86,4037219
"2016-04-14",62.16,62.68,61.97,62.51,4016306
"2016-04-21",67,67.34,65.4,65.61,9463792
"2016-04-28",65.73,66.49,65.56,65.84,3797100
"2016-05-05",64.46,64.72,63.79,63.92,4036403
"2016-05-12",65.07,65.36,64.06,64.34,3608004
"2016-05-19",63.06,63.53,62.32,62.74,4207810
"2016-05-26",65.29,65.37,64.95,65.23,3592175
"2016-06-02",65.86,66.41,65.6,66.41,3052754
"2016-06-09",65.72,65.78,64.9,65.71,3884421
"2016-06-16",60.94,62.11,60.66,61.93,5543625
"2016-06-23",62.84,63.27,62.47,63.25,3624624
"2016-06-30",59.87,60.76,58.82,60.76,8535412
"2016-07-07",59.48,60.33,59.38,59.81,5077371
"2016-07-14",63.66,64,63.41,63.61,4417183
"2016-07-21",63.8,64.38,62.88,63.43,9536383
"2016-07-28",64.36,64.97,64.06,64.79,3043993
"2016-08-04",63.88,64.02,63.51,63.94,3680004
"2016-08-11",65,65.66,64.89,65.48,2450148
"2016-08-18",65.52,65.78,65.27,65.63,2807456
"2016-08-25",65,65.15,64.76,65,4243804
"2016-09-01",65.55,65.64,64.42,64.86,3657718
"2016-09-08",66.15,66.71,66.05,66.24,4078875
"2016-09-15",63.4,64.16,63.26,63.83,4660355
