"","AXP.Open","AXP.High","AXP.Low","AXP.Close","AXP.Volume"
"2011-09-15",49.62,49.75,48.61,49.36,7058913
"2011-09-22",47.25,48.12,45.84,46.63,12460715
"2011-09-29",47.59,47.8,45.43,46.72,8372267
"2011-10-06",43.3,44.52,42.66,44.43,10198139
"2011-10-13",46.4,46.71,45.91,46.33,7283946
"2011-10-20",45.5,46.29,44.69,46.19,12223396
"2011-10-27",51.57,52.35,51.06,51.81,12098835
"2011-11-03",50.78,51.82,50.05,51.68,7776933
"2011-11-10",49.85,49.94,48.73,49.09,6266220
"2011-11-17",48.03,48.21,46.36,46.7,9222981
"2011-12-01",47.7,48.09,47.38,47.79,6534105
"2011-12-08",48.83,49.01,47.63,47.81,6940388
"2011-12-15",47.62,47.72,46.34,46.42,7172831
"2011-12-22",47.74,48,47.28,47.63,5871963
"2011-12-29",47.17,47.57,46.99,47.52,2898496
"2012-01-05",47.84,49.25,47.7,48.8,6095070
"2012-01-12",49.19,49.69,48.95,49.65,5693307
"2012-01-19",50.71,51,50.46,50.95,6427764
"2012-01-26",50.37,50.68,49.72,49.98,6220991
"2012-02-02",50.72,51.43,50.6,51.16,6458354
"2012-02-09",51.85,52.6,51.83,52.31,7263430
"2012-02-16",51.54,53.03,51.5,52.87,8042998
"2012-02-23",52.79,53.03,52.46,52.67,4345833
"2012-03-01",53.03,53.88,52.93,53.57,5400042
"2012-03-08",52.74,53.09,52.49,52.95,4341090
"2012-03-15",56.06,56.76,55.66,56.72,7985514
"2012-03-22",56.78,57.55,56.45,57.29,6048062
"2012-03-29",58.28,58.44,57.24,57.89,7397771
"2012-04-05",57.23,58.2,57.21,58.1,4411802
"2012-04-12",57.04,58.07,56.73,58.04,4881325
"2012-04-19",57.72,58.31,57.1,57.57,7207714
"2012-04-26",58.85,59.72,58.75,59.59,6169162
"2012-05-03",61.13,61.33,60.38,60.86,6919519
"2012-05-10",59.87,59.95,59.26,59.42,4137589
"2012-05-17",57.37,57.43,55.62,55.65,8428546
"2012-05-24",55.99,56.36,55.69,56.34,4486081
"2012-05-31",55.58,56.16,55.02,55.83,5436417
"2012-06-07",56.06,56.37,55.11,55.24,5340638
"2012-06-14",55.11,55.27,54.47,55.05,7000037
"2012-06-21",57.59,57.87,56.22,56.32,4811226
"2012-06-28",56.4,56.76,55.68,56.69,4011974
"2012-07-05",59.14,59.73,58.72,59.25,3788900
"2012-07-12",57.47,57.5,56.56,56.93,6215401
"2012-07-19",57.66,57.66,55.31,56.23,13371307
"2012-07-26",56.87,57.87,56.61,57.76,7456942
"2012-08-02",56.38,56.71,55.89,56.49,4880034
"2012-08-09",57.55,57.67,56.29,56.47,6596141
"2012-08-16",56.74,57.54,56.66,57.37,5131014
"2012-08-23",56.6,56.8,56.36,56.42,3693045
"2012-08-30",57.21,57.46,56.62,57.17,3382828
"2012-09-06",57.52,58,57.23,57.41,7406196
"2012-09-13",57.39,59.29,57.25,59.05,7828366
"2012-09-20",58.4,58.83,58.04,58.34,5914634
"2012-09-27",56.66,56.82,56.05,56.57,6122547
"2012-10-04",57.8,58.67,57.63,58.37,3811253
"2012-10-11",58.3,58.6,58.15,58.47,3889622
"2012-10-18",58.83,58.97,57.38,57.61,9677049
"2012-10-25",55.55,55.67,54.95,55.44,3648876
"2012-11-01",56.15,57.12,55.99,56.85,6967018
"2012-11-08",55.6,56.29,55.5,55.56,4531919
"2012-11-15",53.59,53.95,53.02,53.64,4753106
"2012-11-29",55.75,56.26,55.52,55.92,4587919
"2012-12-06",56.3,56.33,55.88,56.12,3854365
"2012-12-13",57.66,58,57.5,57.72,4726104
"2012-12-20",56.89,57.41,56.82,57.4,5641715
"2012-12-27",57.16,57.25,55.88,56.69,5292224
"2013-01-03",58.8,59.26,58.63,59,5018524
"2013-01-10",60.44,60.79,60.09,60.79,6545460
"2013-01-17",61.1,61.2,60.58,60.74,4688877
"2013-01-24",59.14,59.51,59.01,59.3,5431338
"2013-01-31",59.37,59.82,58.81,58.81,5941572
"2013-02-07",60.56,62.34,60.55,62.14,11979687
