"","EXPE.Open","EXPE.High","EXPE.Low","EXPE.Close","EXPE.Volume"
"2011-09-15",28.2,28.23,27.68,27.77,4085497
"2011-09-22",26.18,26.18,24.52,24.99,9087018
"2011-09-29",27.18,27.27,24.79,25.47,7690680
"2011-10-06",24.42,25.58,24.09,25.52,5620723
"2011-10-13",26.35,26.65,25.99,26.53,4042701
"2011-10-20",25.77,25.95,25.08,25.57,4128860
"2011-10-27",26.78,27.64,26.75,27.34,6214836
"2011-11-03",26.1,26.56,25.74,26.45,3226152
"2011-11-10",25.68,26.07,25.38,25.82,3895946
"2011-11-17",26.23,26.23,25.02,25.39,3691212
"2011-12-01",26.3,26.79,26.09,26.35,3679744
"2011-12-08",26.61,27.17,26.05,26.36,5631821
"2011-12-15",26.01,26.14,25.67,25.93,4898765
"2011-12-22",28,29.32,27.93,29.15,5028961
"2011-12-29",29.73,29.73,29,29.34,2363617
"2012-01-05",28.9,28.92,28.26,28.77,3828611
"2012-01-12",29.31,29.51,28.59,28.87,2924420
"2012-01-19",31.18,31.43,30.67,31.33,4779139
"2012-01-26",31.41,31.58,30.94,31.11,2365586
"2012-02-02",32.92,33.23,32.8,33.02,2175215
"2012-02-09",33.42,34.23,32.24,34.16,8260376
"2012-02-16",33.7,34.01,32.87,33.27,4108316
"2012-02-23",33.07,33.56,32.83,33.25,2547672
"2012-03-01",33.96,34.47,33.96,34.07,3673323
"2012-03-08",33.01,33.03,31.94,32.32,5195809
"2012-03-15",32.36,33.41,32.3,33.27,3218306
"2012-03-22",33.67,34.38,33.54,34.22,1819880
"2012-03-29",32.45,33.37,32.35,33.25,6509131
"2012-04-05",32.32,32.95,32.22,32.9,2310069
"2012-04-12",32,32.33,31.81,32.02,3586028
"2012-04-19",31.35,31.98,31.33,31.55,3206784
"2012-04-26",32.36,32.88,31.57,32.63,5905268
"2012-05-03",42.46,42.46,41.26,41.43,6038254
"2012-05-10",41,41.54,40.29,40.91,3673363
"2012-05-17",42.95,43.01,41,41.1,4220054
"2012-05-24",45.68,45.84,44.95,45.25,4615308
"2012-05-31",45.36,46.49,44.59,45.89,5920082
"2012-06-07",47.4,47.78,45.93,46.03,3461522
"2012-06-14",47.44,47.75,46.87,47.53,3302134
"2012-06-21",48.14,48.81,47.58,47.83,3601790
"2012-06-28",46.19,46.35,44.64,46.21,2552482
"2012-07-05",48.43,49.23,48.31,48.33,2021102
"2012-07-12",44.99,45.12,43.6,44.06,4371017
"2012-07-19",46.69,48.79,46.47,47.56,3406546
"2012-07-26",45.09,45.94,43.56,45.71,6510820
"2012-08-02",56.05,56.95,55.48,56.8,2019057
"2012-08-09",56.29,56.78,55.76,55.96,2093195
"2012-08-16",52.67,52.83,51.84,52.22,3297762
"2012-08-23",51.5,52.49,51,52.42,3071138
"2012-08-30",52.57,52.86,51.44,51.48,1592534
"2012-09-06",52.55,54.09,52.33,53.38,2631169
"2012-09-13",54.02,55.82,53.55,55.57,2754354
"2012-09-20",55.89,57.18,55.7,57.09,2290429
"2012-09-27",57.82,58.62,57.51,58.22,1149128
"2012-10-04",58.62,59.42,58.09,58.52,2108562
"2012-10-11",55.75,55.75,53.33,54.25,4186429
"2012-10-18",54.2,55.72,53.61,54.28,3845305
"2012-10-25",52.8,53.01,50.71,51.25,6637975
"2012-11-01",59.11,59.89,58.96,59.68,2002775
"2012-11-08",59.15,59.41,57.75,58.19,2004001
"2012-11-15",55.63,55.95,54.96,55.88,1723921
"2012-11-29",61.84,62.8,61.03,61.59,1335599
"2012-12-06",59.94,60.26,59.32,59.68,1618357
"2012-12-13",60.11,60.47,58.4,59.34,2801094
"2012-12-20",60.89,61.2,59.96,60.91,1359650
"2012-12-27",57.98,60.73,57.98,60.3,2772302
"2013-01-03",63.11,64.51,62.69,62.83,2427680
"2013-01-10",64.37,64.49,62.25,62.77,1723462
"2013-01-17",62.84,63.33,62.18,62.86,1054642
"2013-01-24",63.39,64.25,62.9,63.39,1346210
"2013-01-31",65.32,65.5,64.4,65.25,2170035
"2013-02-07",65.68,66.18,63.11,65.4,3856172
"2013-02-14",64.98,65.43,64.51,65.17,2404110
"2013-02-21",63.27,63.9,62.69,63.76,2904054
"2013-02-28",63.93,64.54,63.19,63.9,2806471
"2013-03-07",64.8,65.41,64.2,64.32,1279546
"2013-03-14",65.75,66.5,65.66,66.35,1304106
"2013-03-21",62.79,63.61,61.63,61.93,1846054
"2013-03-28",60.92,60.92,59.5,60.02,2732315
"2013-04-04",60.74,61.75,60.07,61.18,1263181
"2013-04-11",64.35,65.39,64.06,65.01,2052413
"2013-04-18",61.96,62.43,60.25,60.5,1579984
"2013-04-25",64.67,65.22,64.4,64.97,4795676
"2013-05-02",55.56,57.13,55.34,56.77,3943754
"2013-05-09",57.32,57.68,55.5,55.97,4438453
"2013-05-16",60.25,60.55,57.85,57.9,4312390
"2013-05-23",57.13,58.56,56.91,58.21,3631930
"2013-05-30",57.43,58.5,57.36,57.49,2126504
"2013-06-06",55.07,55.7,54.39,55.6,2058985
"2013-06-13",56.27,58.3,56.11,58.15,2149978
"2013-06-20",59.78,60.51,59.49,59.7,2097716
"2013-06-27",58.22,60.09,58.22,59.92,2147540
"2013-07-11",63.81,63.99,62.54,63.08,2272734
"2013-07-18",64.85,66.14,64.85,65.52,1621278
"2013-07-25",64.47,65.95,63.72,65,10013429
"2013-08-01",47.6,47.86,47.12,47.2,3755606
"2013-08-08",51.18,51.39,50.42,50.9,3234766
"2013-08-15",48.38,48.69,47.26,47.77,4104891
"2013-08-22",45.95,46.57,45.88,46.47,2096419
"2013-08-29",46.73,47.75,46.72,47.09,1781562
"2013-09-05",48.91,49.13,48.01,48.18,2585982
"2013-09-12",52.04,52.5,51.06,51.18,3607295
"2013-09-19",53.65,53.82,52.68,53.12,3515183
"2013-09-26",51.66,52.45,51.12,52.02,2012232
"2013-10-03",53.4,53.8,52.06,52.15,2174264
