"","AEE.Open","AEE.High","AEE.Low","AEE.Close","AEE.Volume"
"2011-09-15",29.72,30.12,29.56,30,1931293
"2011-09-22",29.75,29.9,29.37,29.74,2509773
"2011-09-29",30.52,30.72,30.02,30.27,3191137
"2011-10-06",28.74,29.27,28.66,29.27,1894249
"2011-10-13",29.62,29.97,29.45,29.93,1151578
"2011-10-20",30.71,30.97,30.61,30.86,1512476
"2011-10-27",32,32.53,31.82,32.24,2513676
"2011-11-03",32.01,32.28,31.87,31.95,2855250
"2011-11-10",33.19,33.21,32.33,32.64,2595323
"2011-11-17",32.22,32.35,31.66,31.98,2286973
"2011-12-01",33.91,34.1,33.64,33.7,1878434
"2011-12-08",31.93,32.08,31.63,31.76,2418523
"2011-12-15",32.1,32.3,31.95,31.99,2208952
"2011-12-22",32.73,32.84,32.58,32.72,1185492
"2011-12-29",33.12,33.65,33.12,33.59,1297184
"2012-01-05",32.68,32.97,32.5,32.73,1912894
"2012-01-12",32.53,32.55,32.27,32.34,1751008
"2012-01-19",32.1,32.16,31.48,31.56,1505237
"2012-01-26",31.94,32,31.7,31.92,2037102
"2012-02-02",31.73,31.86,31.49,31.58,1132718
"2012-02-09",31.65,31.7,31.42,31.54,872714
"2012-02-16",31.15,31.81,31.15,31.62,1395203
"2012-02-23",31.91,32.38,31.84,32.12,1713954
"2012-03-01",32.06,32.28,32.01,32.14,1166412
"2012-03-08",32.04,32.04,31.65,31.91,4433243
"2012-03-15",31.76,31.83,31.44,31.64,1097906
"2012-03-22",31.56,31.82,31.5,31.77,965927
"2012-03-29",31.83,32.16,31.6,32.14,1482723
"2012-04-05",32.17,32.25,31.86,32.09,829165
"2012-04-12",31.42,31.56,31.2,31.56,1052091
"2012-04-19",31.62,31.69,31.15,31.29,3375360
"2012-04-26",32.28,32.67,32.27,32.54,1316948
"2012-05-03",32.69,32.87,32.3,32.43,1224078
"2012-05-10",32.73,33.03,32.65,32.84,1495306
"2012-05-17",32.33,32.43,32.07,32.07,1360159
"2012-05-24",32.04,32.3,31.8,32.04,1572534
"2012-05-31",32.09,32.48,32.04,32.31,2170074
"2012-06-07",33,33.32,32.93,33.11,5205902
"2012-06-14",32.99,33.28,32.89,33.23,1099148
"2012-06-21",33.67,33.79,32.99,33.05,1782227
"2012-06-28",33.15,33.59,33.12,33.56,1209022
"2012-07-05",33.5,33.55,33.16,33.17,1867706
"2012-07-12",33.13,33.3,33.03,33.23,991675
"2012-07-19",33.75,33.81,33.48,33.74,1238686
"2012-07-26",33.68,33.93,33.54,33.84,951542
"2012-08-02",33.94,34.48,33.48,33.67,1559778
"2012-08-09",34.44,34.5,34.04,34.43,1427828
"2012-08-16",34.24,34.36,33.78,33.82,2127323
"2012-08-23",33.4,33.46,32.99,33.16,1256815
"2012-08-30",32.91,33.07,32.79,33,1972187
"2012-09-06",33.13,33.26,33.02,33.18,1518461
"2012-09-13",32.29,32.84,32.27,32.84,1052914
"2012-09-20",32.55,32.84,32.53,32.82,1553468
"2012-09-27",32.89,32.95,32.58,32.61,1053346
"2012-10-04",33,33.21,32.91,32.96,1420527
"2012-10-11",32.81,32.95,32.66,32.8,1069269
"2012-10-18",33.06,33.16,32.89,33.13,1660351
"2012-10-25",32.46,32.61,32.27,32.59,1145429
"2012-11-01",32.88,33,32.77,32.85,1363115
"2012-11-08",31.32,31.71,31.24,31.5,1647965
"2012-11-15",29.36,29.55,28.9,29.02,1685147
"2012-11-29",29.37,29.71,29.34,29.61,2337539
"2012-12-06",30.03,30.06,29.59,29.8,2264328
"2012-12-13",29.73,29.87,29.61,29.73,1978520
"2012-12-20",30.21,31.38,30.21,31.17,4069311
"2012-12-27",30.66,30.86,30.3,30.59,1814150
"2013-01-03",31.25,31.49,31.13,31.19,2194990
"2013-01-10",31.12,31.48,31.1,31.48,2123599
"2013-01-17",31.52,31.64,31.37,31.37,2005735
"2013-01-24",31.95,32.12,31.89,31.97,1999344
"2013-01-31",32.43,32.53,32.27,32.44,1885236
"2013-02-07",32.84,32.98,32.59,32.74,1972828
"2013-02-14",33.2,33.24,32.94,33.14,1489040
"2013-02-21",33.38,33.46,33.16,33.18,1529190
"2013-02-28",33.49,33.97,33.49,33.79,1809643
"2013-03-07",34.07,34.24,34.03,34.05,2285448
"2013-03-14",34.51,34.69,34.1,34.22,3790849
"2013-03-21",34.39,34.45,34.12,34.21,2127124
"2013-03-28",34.67,35.12,34.65,35.02,2210551
"2013-04-04",34.78,34.99,34.71,34.83,1454320
"2013-04-11",35.21,35.35,35.12,35.34,1282761
"2013-04-18",34.87,35.09,34.69,35.05,1422496
"2013-04-25",36.25,36.35,35.96,36.1,1049619
"2013-05-02",35.67,36.09,35.47,35.97,2088571
"2013-05-09",35.77,35.9,35.3,35.42,2016036
"2013-05-16",36.08,36.15,35.91,35.92,1165602
"2013-05-23",35.13,35.18,34.51,34.91,1995364
"2013-05-30",33.84,34.57,33.84,34.23,3121260
"2013-06-06",34.01,34.3,33.76,34.2,4886394
"2013-06-13",33.15,33.91,33.13,33.89,1284208
"2013-06-20",33.45,33.52,32.58,32.68,2032642
"2013-06-27",33.95,34.43,33.95,34.38,2294007
"2013-07-11",35.15,35.31,34.92,35.3,1056482
"2013-07-18",36.02,36.32,35.98,36.31,1160128
"2013-07-25",35.48,35.74,35.43,35.72,1268740
"2013-08-01",35.72,36.35,35.6,36.3,1347727
