"","AEE.Open","AEE.High","AEE.Low","AEE.Close","AEE.Volume"
"2013-08-08",35.65,35.9,35.48,35.84,916590
"2013-08-15",34.47,34.52,34.04,34.07,1124629
"2013-08-22",33.41,33.67,33.3,33.61,1010229
"2013-08-29",33.46,33.71,33.38,33.61,2510027
"2013-09-05",32.97,33.1,32.75,32.84,1067788
"2013-09-12",32.96,33.16,32.65,32.74,996307
"2013-09-19",34.89,35.14,34.72,34.77,2465741
"2013-09-26",35.44,35.59,34.98,35.16,1677290
"2013-10-03",34.8,34.8,34.31,34.53,1413700
"2013-10-10",34.88,35.41,34.53,35.35,1272882
"2013-10-17",35.08,35.9,34.96,35.84,2447827
"2013-10-24",36.25,36.25,35.88,36.01,1557235
"2013-10-31",36.24,36.28,35.46,36.18,1727175
"2013-11-07",36.5,36.85,36.17,36.26,1190800
"2013-11-14",36.3,36.96,36.13,36.67,2148475
"2013-11-21",36.68,37.31,36.43,36.74,2145561
"2013-12-05",36.41,36.5,36.02,36.09,1704869
"2013-12-12",34.75,35.34,34.71,35.12,2299661
"2013-12-19",35.8,35.85,35.37,35.79,1706133
"2013-12-26",36.1,36.18,35.8,35.95,767644
"2014-01-02",36.05,36.11,35.47,35.53,1394264
"2014-01-09",36.02,36.09,35.86,36.04,1226322
"2014-01-16",35.95,36.19,35.89,36.17,1056992
"2014-01-23",36.47,36.59,36.23,36.47,1414416
"2014-01-30",36.71,37.29,36.64,37.26,1209620
"2014-02-06",36.93,37.21,36.78,37.17,1439292
"2014-02-13",37.93,38.4,37.85,38.39,1348998
"2014-02-20",38.42,38.9,38.26,38.81,2455370
"2014-02-27",40.41,40.7,40.03,40.15,1298536
"2014-03-06",40.64,40.75,40.16,40.3,1072753
"2014-03-13",40.22,40.88,40.15,40.84,1988199
"2014-03-20",39.82,40.19,39.43,40.13,2750655
"2014-03-27",40.23,40.54,39.99,40.51,1264313
"2014-04-03",40.57,40.76,40.34,40.59,1461452
"2014-04-10",40.09,40.83,39.92,40.17,3475586
"2014-04-17",41.8,41.88,40.97,40.99,2180798
"2014-04-24",41.04,41.4,40.74,41.12,1808887
"2014-05-01",41.42,41.62,40.92,41.29,1413313
"2014-05-08",41.17,41.45,40.23,40.3,2858196
"2014-05-15",39.24,39.53,39.13,39.37,2514389
"2014-05-22",38.17,38.89,38.14,38.73,2200845
"2014-05-29",39,39.14,38.71,38.91,2729778
"2014-06-05",39.23,39.63,39.14,39.61,1443876
"2014-06-12",38.2,38.38,37.67,38.27,1133935
"2014-06-19",39.68,40.16,39.67,40.08,1801174
"2014-06-26",40.02,40.49,39.85,40.47,1364578
"2014-07-03",39.57,39.6,39.06,39.28,870368
"2014-07-10",39.74,40.3,39.71,40.2,1083257
"2014-07-17",39.62,39.85,39.5,39.61,1335085
"2014-07-24",40.14,40.26,39.89,40.12,849719
"2014-07-31",38.52,39.12,38.44,38.45,1963070
"2014-08-07",37.17,37.58,37.12,37.37,1412796
"2014-08-14",38.43,38.68,38.37,38.63,998872
"2014-08-21",39.52,39.72,39.42,39.53,1003983
"2014-08-28",39.2,39.73,39.11,39.7,966808
"2014-09-04",39.66,39.86,39.5,39.73,1394308
"2014-09-11",38.9,39.22,38.78,39.1,1151626
"2014-09-18",38.66,38.84,38.15,38.25,1033418
"2014-09-25",38.26,38.42,37.94,37.97,953084
"2014-10-02",38.38,38.95,38.38,38.46,937261
"2014-10-09",40.07,40.39,39.03,39.04,2159547
"2014-10-16",39.69,39.8,39.01,39.58,2216476
"2014-10-23",40.95,41.28,40.68,41.01,1424274
"2014-10-30",41.5,42.61,41.35,42.58,1836180
"2014-11-06",44.12,44.22,41.89,42.42,2066999
"2014-11-13",42.67,42.99,42.26,42.39,1311317
"2014-11-20",42.88,42.96,42.52,42.66,1251160
"2014-12-04",43.87,43.97,43.32,43.58,1566517
"2014-12-11",43.13,43.82,43.08,43.36,1134923
"2014-12-18",44.13,45.06,43.94,45.01,1720022
"2015-01-08",45.74,45.88,45.46,45.51,1664960
"2015-01-15",45.74,46.14,45.5,46.05,1348257
"2015-01-22",46.65,46.8,45.96,46.3,1250124
"2015-01-29",45.66,46.61,45.52,46.51,1127875
"2015-02-05",44.78,45.26,44.58,45.13,1471488
"2015-02-12",42.48,42.78,42.08,42.66,2096767
"2015-02-19",42.84,43.04,42.27,42.51,1315832
"2015-02-26",43.37,43.5,42.51,42.53,1627249
"2015-03-05",41.92,42.39,41.88,42.16,1173706
"2015-03-12",40.94,41.96,40.87,41.77,1620034
"2015-03-19",42.69,43.09,42.03,42.24,1449421
"2015-03-26",41.47,41.72,40.86,40.95,1997691
"2015-04-02",42.3,42.57,42.17,42.29,1287517
"2015-04-09",41.62,41.78,41.27,41.65,1528964
"2015-04-16",41.62,41.73,41.15,41.32,1673835
"2015-04-23",41.71,42.25,41.62,41.91,1181261
"2015-04-30",41.71,41.82,40.68,40.94,2005353
"2015-05-07",40.18,41.05,39.7,40.4,3482349
"2015-05-14",40.07,40.32,39.93,40.26,1392675
"2015-05-21",40.89,40.98,40.54,40.67,1156576
"2015-05-28",40.4,40.58,40.13,40.44,996125
"2015-06-04",39.13,39.51,39.02,39.09,1146355
"2015-06-11",38.05,38.36,37.99,38.3,1215578
"2015-06-18",38.18,38.73,38.12,38.54,1155115
"2015-06-25",37.97,37.99,37.5,37.51,1398420
"2015-07-02",38.31,38.67,38.19,38.5,1341455
"2015-07-09",39.34,39.53,38.5,38.68,1186795
"2015-07-16",38.99,39.78,38.99,39.66,1079908
"2015-07-23",38.55,38.59,37.92,38.27,1403650
"2015-07-30",39.54,39.99,39.35,39.77,1336143
"2015-08-06",41.38,41.74,40.99,41.69,1087799
"2015-08-13",40.99,42.74,40.99,42.62,1688184
"2015-08-20",43.22,43.84,43.19,43.31,1384415
"2015-08-27",40.75,41.04,40.26,41.02,2444732
"2015-09-03",39.23,39.41,39.04,39.25,1135412
"2015-09-10",38.29,38.91,38.15,38.43,1239220
"2015-09-17",39.7,41.07,39.62,40.54,2615119
"2015-09-24",40.7,41.19,40.43,41.05,1682476
"2015-10-01",42.31,42.44,41.46,41.78,1964943
"2015-10-08",42.1,43.21,42,43.12,1970749
"2015-10-15",43.6,44.06,43.39,43.94,927406
"2015-10-22",44.23,44.61,44.19,44.5,1422403
"2015-10-29",43.82,43.87,42.95,43.41,1850217
"2015-11-05",44.15,44.46,43.94,44.02,1744891
"2015-11-12",44.2,44.51,43.41,43.5,2065634
"2015-11-19",43.42,43.91,43.37,43.7,2279994
"2015-12-03",42.64,42.82,41.98,42.25,3152064
"2015-12-10",42.58,42.66,41.55,41.71,1968124
"2015-12-17",43.06,44.06,43,44.03,3129762
"2015-12-24",43.76,43.81,43.59,43.68,345780
"2015-12-31",43.95,44,42.92,43.23,2080411
"2016-01-07",43.47,44.08,43.4,43.85,3190229
"2016-01-14",43.06,43.97,42.86,43.71,1493924
"2016-01-21",42.33,42.52,41.76,42.13,2104365
"2016-01-28",43.14,44.1,42.75,43.85,1537345
"2016-02-04",47.16,47.39,46.26,46.53,3027379
"2016-02-11",46.16,46.43,45.34,45.37,1544497
"2016-02-18",45.25,46.59,45.16,46.28,3890873
"2016-02-25",47.66,48.22,47.53,48.13,2108661
"2016-03-03",46.98,47,46.23,47,1490604
"2016-03-10",48.2,48.35,47.39,47.94,2979985
"2016-03-17",48.32,49.02,48.23,48.9,1573153
"2016-03-24",48.82,49.28,48.72,49.25,1179947
"2016-03-31",49.72,50.16,49.35,50.1,2533108
"2016-04-07",49.28,49.75,49.01,49.16,1973435
"2016-04-14",48.19,48.51,48.06,48.35,963565
"2016-04-21",47.48,47.56,46.29,46.47,1422987
"2016-04-28",46.82,47.72,46.55,47.69,1530131
"2016-05-05",48.64,49.27,48.43,48.88,1680625
"2016-05-12",48.11,48.77,47.35,48.12,3854013
"2016-05-19",46.67,47.37,46.3,47.35,2160423
"2016-05-26",47.09,48.14,47.09,47.83,1727970
"2016-06-02",49.26,49.39,48.69,49.1,2410299
"2016-06-09",49.7,50.94,49.7,50.89,1961115
"2016-06-16",50.92,51.36,50.87,51.2,1115238
"2016-06-23",51.26,51.5,51.05,51.5,1035578
"2016-06-30",52.64,53.59,52.47,53.58,2390710
"2016-07-07",53.63,53.63,52.47,52.65,2643255
"2016-07-14",52.56,52.7,50.65,52.24,1264013
"2016-07-21",52.04,52.28,51.68,52.24,2186608
"2016-07-28",51.78,52.21,51.63,52.15,924129
"2016-08-04",51.71,52.19,51.62,51.84,1474181
"2016-08-11",51.02,51.16,50.71,51.02,875171
"2016-08-18",50.71,51.35,50.66,51.35,1477521
"2016-08-25",50.38,50.58,50.31,50.44,931607
"2016-09-01",49.4,49.5,49.08,49.15,1293649
"2016-09-08",49.9,50.24,49.62,49.85,1469598
"2016-09-15",48.39,48.8,48.22,48.65,1528511
