"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume"
"2011-09-15",32.59,33.44,32.3,33.06,12300944
"2011-09-22",30.13,30.13,28.7,29.34,19258472
"2011-09-29",30.97,31.12,29.01,29.89,9749148
"2011-10-06",29.42,30.67,28.95,30.5,13020872
"2011-10-13",31.63,32.49,31.51,32.39,6343676
"2011-10-20",31.7,32.36,31.14,31.92,6074476
"2011-10-27",32,33.74,31.76,32.49,21908008
"2011-11-03",32.94,33.35,32.11,33.26,8058640
"2011-11-10",32.66,32.73,31.26,31.95,7619512
"2011-11-17",33.41,33.41,31.07,31.52,26553524
"2011-12-01",29.01,29.84,28.88,29.6,12668320
"2011-12-08",30.37,31,30.08,30.16,7983492
"2011-12-15",27.55,27.62,26.23,26.68,13299596
"2011-12-22",24.87,25.24,24.01,25.08,18099300
"2011-12-29",25.03,25.61,24.88,25.55,8963640
"2012-01-05",24.24,24.99,23.79,24.69,14989048
"2012-01-12",26.4,26.6,26.12,26.42,6791856
"2012-01-19",27.84,28.97,27.84,28.63,20429884
"2012-01-26",29.85,29.99,28.88,29.06,6777940
"2012-02-02",29.74,30.11,29.26,29.57,8064488
"2012-02-09",30.86,31.92,30.78,31.4,9218520
"2012-02-16",32.77,33,32.22,32.94,10120144
"2012-02-23",32,33,31.76,32.94,20930600
"2012-03-01",36,36.4,35.5,36.24,9914168
"2012-03-08",36,36.88,35.98,36.52,9547692
"2012-03-15",37.99,38.61,37.75,38.11,8651520
"2012-03-22",38.21,38.48,37.95,38.21,5102600
"2012-03-29",38.25,39.36,38.04,39.1,7196092
"2012-04-05",39,39.4,38.61,39.26,4948340
"2012-04-12",39.45,39.67,39.1,39.58,6047868
"2012-04-19",39.78,41.19,39.45,39.89,12405448
"2012-04-26",37.75,39.09,37.75,39.05,7082348
"2012-05-03",40.07,40.88,39.33,39.38,12618704
"2012-05-10",37.34,37.45,33.59,33.86,38560844
"2012-05-17",34.24,34.75,33.03,33.45,21522080
"2012-05-24",37.3,37.56,36.25,36.55,10061424
"2012-05-31",34.56,35.14,33.79,34.66,12621420
"2012-06-07",34.58,34.65,33.82,33.89,7097044
"2012-06-14",31.82,32.41,31.31,32.34,12169412
"2012-06-21",33.84,34.44,33.17,33.19,8791088
"2012-06-28",33.75,33.86,32.41,32.94,7091004
"2012-07-05",35.24,35.96,35,35.6,4281280
"2012-07-12",32,32.25,31.2,31.88,6980924
"2012-07-19",33.94,35.21,33.85,34.78,10078320
"2012-07-26",32.09,32.69,30.72,31.15,18443728
"2012-08-02",30.72,31.31,30.04,30.34,10302372
"2012-08-09",33.86,34.74,33.84,34.44,6166024
"2012-08-16",35.68,36.94,35.68,36.74,9492380
"2012-08-23",37.16,37.32,36.39,36.69,16410588
"2012-08-30",36.09,36.21,35.53,35.67,7556168
"2012-09-06",36.38,37.47,36.23,37.22,9193884
"2012-09-13",38.38,39.5,38.19,39.25,10944772
"2012-09-20",39.5,39.65,38.5,39,7120460
"2012-09-27",37.6,38.54,37.32,38.3,6905048
"2012-10-04",38.88,39.53,38.72,39.46,6671072
"2012-10-11",38.24,38.74,37.91,38.15,5578692
"2012-10-18",37.79,38.02,37.22,37.52,6158876
"2012-10-25",37.25,37.31,35.64,36.33,17441232
"2012-11-01",35.81,36.74,34.76,36.56,10003744
"2012-11-08",36.57,36.69,35.62,35.82,8839256
"2012-11-15",35.05,35.26,34.86,35.18,4549932
"2012-11-29",39.5,39.95,39.46,39.69,5778396
"2012-12-06",39.12,39.68,39,39.35,5109880
"2012-12-13",41.54,41.85,41.39,41.66,6461344
"2012-12-20",42.5,42.56,42.13,42.52,4706316
"2012-12-27",41.57,41.86,40.66,41.56,5890256
"2013-01-03",42.52,43.14,42.03,42.18,5707236
"2013-01-10",43.15,43.46,42.46,43.28,4751260
"2013-01-17",42.7,43.33,42.6,42.78,6335424
"2013-01-24",42.69,43.37,42.62,43.07,5149504
"2013-01-31",43.35,43.7,42.65,43.03,4999460
"2013-02-07",42.94,43.12,42.29,42.51,4345708
"2013-02-14",43.07,43.86,42.89,43.62,6841256
"2013-02-21",42.72,42.79,41.94,42.14,5466956
"2013-02-28",41.77,42.48,41.77,42.3,14841348
"2013-03-07",46.62,46.64,46.02,46.12,3819964
"2013-03-14",45.41,45.72,44.59,44.62,7149992
"2013-03-21",42.69,43.42,42.54,43.18,6507052
"2013-03-28",43.96,44.8,43.77,44.71,6540900
"2013-04-04",42.13,42.16,41.13,41.6,5680388
"2013-04-11",41.88,42.08,41.41,41.63,6845720
"2013-04-18",41.17,41.91,40.76,41.03,4476925
"2013-04-25",41.1,41.17,40.62,40.76,5150560
"2013-05-02",41.77,42.1,41.5,41.87,3598443
"2013-05-09",42.35,43.78,42.28,43.15,6062212
"2013-05-16",45.39,47.31,45.29,46.15,7165468
"2013-05-23",43.44,46.05,43.02,45.69,12218688
"2013-05-30",42.09,42.97,42,42.76,5558604
"2013-06-06",37.87,38.4,37.1,38.06,10971744
"2013-06-13",37.46,37.98,36.87,37.8,5839058
"2013-06-20",37.36,37.79,36.58,36.75,5538138
"2013-06-27",38.34,38.95,38.3,38.84,5188179
"2013-07-11",40.21,41.7,40.16,41.52,6913398
"2013-07-18",42.55,43,41.54,41.9,5923046
"2013-07-25",42.12,43.47,42.06,43.22,5237763
"2013-08-01",44.17,45.6,44.15,45.14,5479019
"2013-08-08",45.2,45.69,44.97,45.24,3400675
"2013-08-15",44.11,44.18,42.86,43.6,5910769
"2013-08-22",43.75,43.96,43.5,43.75,2964958
"2013-08-29",42.36,43.98,42.11,43.65,13186475
"2013-09-05",48.46,49.12,48.37,48.6,5999787
"2013-09-12",49.83,50.6,49.4,49.96,3839637
"2013-09-19",52.66,54.25,52.66,53.38,6897749
"2013-09-26",52.86,53.94,52.85,53.32,4143945
"2013-10-03",53.02,53.34,51.71,52,3091660
"2013-10-10",50.2,51.77,50.11,51.54,4790732
"2013-10-17",52.5,53.1,52.25,53.01,3002416
"2013-10-24",53.75,54.54,53.64,54.38,3193318
"2013-10-31",52.79,53.71,52.51,53.36,3504408
"2013-11-07",55.91,57.24,54.2,54.35,6340210
"2013-11-14",57.09,57.69,56.74,56.99,4851639
"2013-11-21",53.87,54.51,53.75,54.44,5695490
"2013-12-05",52.19,53.15,52.01,53.05,4855527
"2013-12-12",51.24,51.62,50.29,50.98,5813815
"2013-12-19",53.29,53.95,52.74,53.07,3597500
"2013-12-26",54.88,55.17,54.53,54.85,1985449
"2014-01-02",55.2,55.21,54.41,54.86,2739210
"2014-01-09",57.01,57.01,55.65,56.29,5022109
"2014-01-16",59.49,59.65,58.85,59.21,5654270
"2014-01-23",60.08,60.15,58.92,60.08,4889443
"2014-01-30",59.04,61.49,58.71,60.97,5970770
"2014-02-06",61.85,62.75,61.1,61.7,5203338
"2014-02-13",61.19,63.32,61.18,63.13,4768425
"2014-02-20",63.21,63.25,61.99,63.01,5738947
"2014-02-27",63.52,66.35,63.51,66.22,9449855
"2014-03-06",63.75,63.87,62.73,63.14,3962789
"2014-03-13",61.8,62.17,58.42,59.06,9256605
"2014-03-20",58.35,59.38,57.76,59.12,4708406
"2014-03-27",55,56.66,53.86,55.97,6206120
"2014-04-03",58.07,58.24,55.54,55.74,6053219
"2014-04-10",56.95,57.08,54.23,54.55,10912097
