"","SLG.Open","SLG.High","SLG.Low","SLG.Close","SLG.Volume"
"2011-09-15",68.98,71,68.23,70.96,1257676
"2011-09-22",61.86,62.34,58.8,59.95,2130190
"2011-09-29",62.25,62.46,60.08,61.5,1032777
"2011-10-06",57.4,59.49,56.74,58.7,1254504
"2011-10-13",60.34,61.15,58.96,60.56,1025904
"2011-10-20",62.02,63.38,61.15,63.17,1025452
"2011-10-27",70.99,71.85,69.15,70.97,1208271
"2011-11-03",68.64,68.72,66.09,68.36,1276699
"2011-11-10",67.37,67.84,65.93,67.35,997748
"2011-11-17",65.32,66.44,64.71,65.14,1393335
"2011-12-01",65.49,65.49,63.74,64.32,747718
"2011-12-08",67.75,67.75,65.79,66.05,665179
"2011-12-15",64.24,64.78,63.59,64.5,914453
"2011-12-22",66,66.74,65.96,66.35,557044
"2011-12-29",65.59,66.86,65.08,66.75,486818
"2012-01-05",68.02,69.46,66.49,69.44,845339
"2012-01-12",71.21,71.23,65.4,71.03,1004031
"2012-01-19",71.78,72.92,71.67,72.5,638110
"2012-01-26",74.83,75.44,73.63,73.82,702529
"2012-02-02",74.93,75.96,74.78,75.86,1104901
"2012-02-09",76.01,76.27,74.95,75.55,594165
"2012-02-16",75.51,76.46,75.35,75.92,1005296
"2012-02-23",74.78,76.41,74.57,75.75,673439
"2012-03-01",76.53,76.89,75.83,76.5,877763
"2012-03-08",77.42,77.42,76.06,76.29,736291
"2012-03-15",78.85,79.51,78.2,78.91,685641
"2012-03-22",76.87,76.87,75.53,76.5,826418
"2012-03-29",76.76,77.09,75.75,76.95,1097871
"2012-04-05",75.21,75.36,73.79,74.27,946418
"2012-04-12",73.16,74.35,72.84,74.35,523601
"2012-04-19",75.75,76.32,74.94,75.56,587358
"2012-04-26",79.5,82.4,79.22,81.71,1280833
"2012-05-03",83.01,83.24,81.91,81.93,735634
"2012-05-10",81.61,81.87,80.39,81.18,721584
"2012-05-17",77.94,78.13,74.26,74.58,1366998
"2012-05-24",74.68,75.78,73.91,75.12,738251
"2012-05-31",73.87,75.72,73.18,75.01,4274720
"2012-06-07",75.85,76.05,74.03,74.2,770378
"2012-06-14",72.98,74.23,72.82,73.88,837537
"2012-06-21",76.52,76.63,74.53,74.85,571958
"2012-06-28",75.46,77.25,74.84,77.25,583145
"2012-07-05",81.72,82,80.94,81.5,370069
"2012-07-12",78,79.19,77.02,78.55,723517
"2012-07-19",80.05,80.05,77.84,78.22,710887
"2012-07-26",78.06,78.82,76.03,77.57,1195486
"2012-08-02",79.75,80.6,79.2,80.44,701047
"2012-08-09",80.47,81.54,80.4,80.88,900455
"2012-08-16",81.07,81.18,80.17,81.11,482098
"2012-08-23",80.85,81.32,80.42,80.83,467637
"2012-08-30",80.36,80.77,79.75,79.92,351336
"2012-09-06",81.95,82.49,81.66,81.99,935706
"2012-09-13",82.29,83.95,82.13,83.6,328440
