"","SLG.Open","SLG.High","SLG.Low","SLG.Close","SLG.Volume"
"2012-09-20",81.6,81.61,80.24,81.05,814589
"2012-09-27",79.73,81.22,79.39,80.46,682606
"2012-10-04",79.67,79.69,78.06,78.52,876441
"2012-10-11",78.75,79.33,78.48,79.06,627091
"2012-10-18",78.64,79.84,78.47,79.61,353624
"2012-10-25",78.92,78.92,74.94,76.01,946391
"2012-11-01",75.38,76.83,74.65,76.11,661196
"2012-11-08",75.12,75.26,74,74.04,704080
"2012-11-15",71.47,72.36,70.73,71.53,656692
"2012-11-29",74.82,75.33,74.11,74.38,1010041
"2012-12-06",75.12,75.85,75.06,75.73,627876
"2012-12-13",75.8,76.25,75.39,75.56,687733
"2012-12-20",76.61,77.68,76.6,77.66,716723
"2012-12-27",76.28,76.64,75.45,76.44,377998
"2013-01-03",78.32,79.14,77.96,78.16,502602
"2013-01-10",79.12,79.46,78.57,79.06,790855
"2013-01-17",79.47,79.7,79.24,79.32,429577
"2013-01-24",80.21,80.84,79.94,80.75,731103
"2013-01-31",80,81.18,78.89,80.38,831380
"2013-02-07",81.19,81.36,80.49,81.02,517000
"2013-02-14",82.52,82.69,81.94,82.15,369719
"2013-02-21",82.24,82.81,80.98,81.09,518454
"2013-02-28",81.47,82.07,81.07,81.62,1146270
"2013-03-07",83.74,84.28,83.42,84,678872
"2013-03-14",85.67,87.5,85.67,86.18,644120
"2013-03-21",85.6,86.27,85.21,85.46,665667
"2013-03-28",86.14,86.37,85.5,86.11,886932
"2013-04-04",86.6,88.37,86.4,88.15,795799
"2013-04-11",88.54,89.16,88.2,88.49,669477
"2013-04-18",86.53,86.59,85.8,85.99,734176
"2013-04-25",89.62,89.62,87.62,88.65,617004
"2013-05-02",88.93,89.65,88.71,88.92,439345
"2013-05-09",91.16,91.4,89.71,90.03,474529
"2013-05-16",91.11,91.72,90.71,91.12,522396
"2013-05-23",90.88,91.58,89.14,91.18,821165
"2013-05-30",89.53,90.2,88.1,88.22,610576
"2013-06-06",85.55,87.15,85.18,87.1,485384
"2013-06-13",87.59,89.96,87.08,89.67,1012999
"2013-06-20",88,88.07,83.68,84.36,1155034
"2013-06-27",87.02,88.93,86.96,88.76,845884
"2013-07-11",92.14,93.69,92.06,93.59,1062045
"2013-07-18",93.19,94.34,92.99,94.24,365135
"2013-07-25",93.12,94.08,92.37,92.88,1169440
"2013-08-01",91.31,91.74,90.11,90.75,787701
"2013-08-08",89.7,90.04,89.22,89.78,336998
"2013-08-15",88.35,89.06,87.77,88.51,866754
"2013-08-22",86.63,87.44,86.01,87.15,538199
"2013-08-29",87.19,87.62,86.66,87.58,467068
"2013-09-05",86.2,86.8,85.36,85.58,357259
"2013-09-12",90.81,91.2,88.98,89.22,611609
"2013-09-19",93.59,94.74,92.69,92.83,751885
"2013-09-26",88.59,89.09,88.01,88.84,528842
"2013-10-03",89.65,89.98,87.97,88.39,828490
"2013-10-10",89.02,90.04,88.69,89.99,641482
"2013-10-17",93,94.79,92.76,94.67,501998
"2013-10-24",95.48,97.11,94.6,96.6,664020
"2013-10-31",95.35,95.52,94.14,94.57,862523
"2013-11-07",93.04,93.34,91.34,91.43,807440
"2013-11-14",91.68,92.64,91.56,92.12,432370
"2013-11-21",91,91.4,90.06,91.04,324935
"2013-12-05",90.65,92.5,89.78,92.42,856666
"2013-12-12",90.22,91.26,89.23,90.1,782497
"2013-12-19",92.35,93.14,91.5,92.55,922828
"2013-12-26",92.66,93.19,92.03,92.4,252860
"2014-01-02",92.17,92.77,91.18,91.98,614582
"2014-01-09",93.12,93.18,91.26,92.49,637501
"2014-01-16",93.19,93.74,92.83,93.5,304123
"2014-01-23",94.31,94.8,93.59,93.93,502868
"2014-01-30",91.94,93.99,91.1,93.74,595800
"2014-02-06",93.53,94.2,93.3,94.03,509336
"2014-02-13",95.42,97.03,95.36,96.02,806578
"2014-02-20",97.26,98.05,96.43,96.8,409562
"2014-02-27",98.84,101.78,98.01,98.58,445152
"2014-03-06",99.99,100.24,99.26,99.64,368710
"2014-03-13",98.96,99.13,97.53,97.83,346970
"2014-03-20",97.55,98.23,96.31,98.11,621018
"2014-03-27",97.54,98.75,97.35,98.71,429575
"2014-04-03",101.18,101.24,100.29,100.68,323810
"2014-04-10",101.08,102,99.74,99.76,585095
"2014-04-17",102.27,102.43,101.2,101.49,830651
"2014-04-24",102.53,104.6,101.22,103.38,733716
"2014-05-01",104.32,105.71,103.87,105.56,686444
"2014-05-08",107.57,108.85,107.27,107.89,989087
"2014-05-15",108.29,108.77,107.08,107.99,693479
"2014-05-22",108.18,108.49,107.75,107.78,813005
"2014-05-29",108.72,109.21,108.15,109,360748
"2014-06-05",110.82,112.85,110.29,112.79,435647
"2014-06-12",110.52,110.72,109.11,110.15,633087
"2014-06-19",111.18,111.57,110.67,111.57,406630
"2014-06-26",109.66,109.8,108.52,109,516503
"2014-07-03",108.9,109.14,108.06,108.34,273762
"2014-07-10",108.41,109.97,108.18,109.75,893136
"2014-07-17",110.13,110.57,109.39,109.39,494007
"2014-07-24",111.63,112.65,110.9,111.86,908354
"2014-07-31",108.77,109.29,107.67,107.8,518042
"2014-08-07",106.72,107.92,106.18,106.76,405625
"2014-08-14",110.38,110.64,109.38,110.13,326902
"2014-08-21",111.4,111.7,110.28,110.29,585549
"2014-08-28",109.52,110.01,109.12,109.22,297345
"2014-09-04",108.99,109.54,108.55,108.62,431197
"2014-09-11",107.51,108.67,107.46,108.25,537659
"2014-09-18",105.16,105.69,104.77,105.31,1045848
"2014-09-25",102.18,102.75,100.9,101.34,838322
"2014-10-02",100.95,101.78,99.89,101.57,1342937
"2014-10-09",103.89,105.08,103.42,104.08,870706
"2014-10-16",105.94,108.01,105.54,107.67,1129359
"2014-10-23",111.29,112.74,110.65,112.73,1050081
"2014-10-30",112.89,115,112.64,114.94,793317
"2014-11-06",116.62,116.64,114.82,115,880646
"2014-11-13",112.55,113.66,112.11,113.65,466544
"2014-11-20",114.08,114.45,113.57,114.25,593125
"2014-12-04",118.73,119.35,117.72,119.13,739881
"2014-12-11",122.9,123.89,122.12,122.22,438798
"2014-12-18",123,123.6,122.3,123.1,815261
"2015-01-08",124.34,125.78,124.17,124.95,587300
"2015-01-15",128.29,128.71,127.49,128.31,605453
"2015-01-22",128,129,126.9,128.64,1021068
"2015-01-29",130.28,130.77,127.89,129.61,733434
"2015-02-05",127.43,129.42,127.22,129.38,438525
"2015-02-12",126.8,129.5,126.28,129.24,499736
"2015-02-19",129.36,129.72,126.88,127.17,406727
"2015-02-26",127.32,127.32,125.5,125.76,425140
"2015-03-05",127.85,129.36,127.36,127.91,384784
"2015-03-12",124.95,127.4,124.77,127.35,689371
"2015-03-19",130.13,131.52,129.84,130.42,1289768
"2015-03-26",129.03,129.14,126.86,128.28,858898
"2015-04-02",127.72,130.09,127.72,129.88,514622
"2015-04-09",129.72,130.02,127,127.1,587707
"2015-04-16",126.5,128.21,126.23,127.74,321619
"2015-04-23",128.51,129.44,126.13,127.35,794391
"2015-04-30",123.61,124.08,121.58,122.36,799000
"2015-05-07",119.51,121.73,118.99,121.16,547016
"2015-05-14",121.01,122.87,120.73,122.79,448966
"2015-05-21",120.73,121.14,118.85,119.29,681972
"2015-05-28",120.11,121.12,119.13,119.94,521876
"2015-06-04",118.41,118.92,117.41,117.63,752333
"2015-06-11",115.89,116.37,115.21,115.9,574554
"2015-06-18",116,117.66,115.13,116.53,961016
"2015-06-25",113.06,113.56,112.13,112.14,743009
"2015-07-02",112.63,114.03,112.54,112.74,846255
"2015-07-09",114.75,115.04,113.53,113.93,583055
"2015-07-16",115.08,115.53,114.73,115.22,632983
"2015-07-23",114.62,115.2,111.92,112.74,792953
"2015-07-30",114.25,114.95,113.81,114.21,582800
"2015-08-06",113.43,114.03,112,113.81,472863
"2015-08-13",114.07,115.8,113.08,115.69,682233
"2015-08-20",114.83,115.23,113.85,113.98,860114
"2015-08-27",106.01,107.3,104.58,106.31,878582
"2015-09-03",103.17,103.76,102.23,103.16,527390
"2015-09-10",101.87,104.56,101.87,103.04,651717
"2015-09-17",108.33,112.53,107.82,110.58,883259
"2015-09-24",110.01,110.66,108.64,109.41,649255
"2015-10-01",108.63,108.77,106.95,108.56,447793
"2015-10-08",113.77,114.27,112.89,114.2,490541
"2015-10-15",114.29,116.36,111.43,116.32,556793
"2015-10-22",117.64,120.75,117.64,119.24,1203490
"2015-10-29",118.32,119.37,118.15,119.18,443508
"2015-11-05",119.67,120.71,118.91,120.14,389241
"2015-11-12",116.8,117,115.8,115.99,351650
"2015-11-19",118.24,119.11,117.54,118.38,270281
"2015-12-03",117.38,117.73,115.52,116.27,664467
"2015-12-10",115.38,115.54,112.83,112.98,783824
"2015-12-17",114.5,114.9,112.3,112.75,780968
"2015-12-24",113,114.2,112.24,113.05,320817
"2015-12-31",113.95,113.97,112.39,112.98,476148
"2016-01-07",108.02,108.34,106.21,106.39,993175
"2016-01-14",102.3,102.68,101.16,101.82,838636
"2016-01-21",97.12,99,96.07,96.75,979784
"2016-01-28",105,105.24,92,93.42,3049502
"2016-02-04",88.65,92.36,88.05,91.05,1450710
"2016-02-11",81.49,81.89,80.12,80.54,1844193
"2016-02-18",83.76,85.98,83.24,85.17,1543849
"2016-02-25",89.2,90.28,89.2,90.04,815609
"2016-03-03",94.42,95.43,93.84,95.33,1160374
"2016-03-10",93.5,93.5,91.5,92.54,646318
"2016-03-17",95.46,97.08,95,96.5,849581
"2016-03-24",93.7,94.38,92.51,94.27,960975
"2016-03-31",95.7,97.13,95.46,96.88,1416696
"2016-04-07",96.32,96.51,95.17,95.65,759745
"2016-04-14",98.65,99.52,98.12,99.23,485331
"2016-04-21",106.5,108.76,103.71,105.18,2088573
"2016-04-28",105.32,106.61,105.13,105.64,456215
"2016-05-05",105.2,105.78,104.15,104.71,1272540
"2016-05-12",105.1,105.1,103.2,104.1,921603
"2016-05-19",98.55,99.48,97.29,98.33,684557
"2016-05-26",100.43,100.96,99.63,100.37,409544
"2016-06-02",101.19,102.06,100.12,102.06,626250
"2016-06-09",100.97,101.98,100.61,101.48,334018
"2016-06-16",99.04,99.96,98.01,99.86,390039
"2016-06-23",103.47,105.37,103.01,105.37,707566
"2016-06-30",103.17,106.52,102.44,106.47,1094760
"2016-07-07",103.11,103.11,101.36,102.56,402597
"2016-07-14",109.29,110.05,108.23,108.71,538133
"2016-07-21",110.44,113.45,109.67,113.13,1009579
"2016-07-28",115.88,117.4,115.6,116.3,542089
"2016-08-04",116.1,117.21,115.57,117.01,470528
"2016-08-11",118.31,119.25,117.77,118.84,1043988
"2016-08-18",118.34,118.63,117.3,117.8,762996
"2016-08-25",115.64,117.4,115.27,115.52,615132
"2016-09-01",117.73,117.85,114.78,115.53,761943
"2016-09-08",117.88,118.14,116.26,116.59,1061461
"2016-09-15",110.35,111.08,109.92,110.62,662857
