"","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume"
"2011-09-15",123.12,123.24,121.69,122.92,789056
"2011-09-22",115.42,116.49,113.01,114.7,1557921
"2011-09-29",115.23,115.34,112.29,113.63,1060314
"2011-10-06",109.41,112.03,108.57,111.75,1110222
"2011-10-13",113.37,114.51,111.68,113.5,691276
"2011-10-20",115.63,116.37,113.51,116.02,845661
"2011-10-27",129.08,132.2,126.81,128.29,1515127
"2011-11-03",128.43,128.43,124.86,127.26,1144463
"2011-11-10",123.54,124.84,122.52,124.08,916027
"2011-11-17",123.79,125.21,122.84,123.45,1123854
"2011-12-01",131.43,131.56,128.51,129.5,805963
"2011-12-08",129.49,129.65,127.12,127.52,645677
"2011-12-15",128.13,128.32,126.56,127.07,782081
"2011-12-22",131.75,133.79,131.5,133.2,916300
"2011-12-29",134.61,135.74,133.76,135.2,489952
"2012-01-05",130.73,133.18,130.64,133.03,959832
"2012-01-12",133.84,134.01,132.56,133.76,835908
"2012-01-19",135.85,136.24,135,135.66,789680
"2012-01-26",135.99,137.52,135.69,136.65,831032
"2012-02-02",138.89,139.77,138.64,139.25,655718
"2012-02-09",139.38,140.21,137.66,138.19,571953
"2012-02-16",137.08,139.77,137.08,139.54,746105
"2012-02-23",135.91,138.41,135.17,138.39,876421
"2012-03-01",134,134.46,133.62,134.15,1145482
"2012-03-08",131.24,131.44,129.04,129.34,1631794
"2012-03-15",133.52,134,132.03,133.82,1003361
"2012-03-22",135.99,136.1,135.03,135.5,861687
"2012-03-29",136.11,137.66,135.87,137.57,595903
"2012-04-05",136.21,136.8,135.88,136.36,410598
"2012-04-12",136.83,138,136.06,137.97,653652
"2012-04-19",137.9,138.84,137.21,137.78,646422
"2012-04-26",142.04,143.02,141.54,142.67,480735
"2012-05-03",145.68,146.49,144.5,144.97,587542
"2012-05-10",140.31,140.31,138.54,139.09,488909
"2012-05-17",134.22,134.52,130.56,130.61,890375
"2012-05-24",131.99,133.37,129.9,132.91,568458
"2012-05-31",132.75,134.66,131.32,133.47,985425
"2012-06-07",137.66,137.82,136.2,136.56,467905
"2012-06-14",136.03,137.82,135.5,137.27,520017
"2012-06-21",139.74,140,137.9,138.16,602537
"2012-06-28",139.07,141,138.21,140.97,442889
"2012-07-05",145.02,145.45,143.52,144.17,776469
"2012-07-12",143.58,145.72,142.79,144.81,791981
"2012-07-19",147.89,147.9,144.67,146.15,804930
"2012-07-26",146.95,147.68,146.29,147.05,544698
"2012-08-02",148,148.92,147.31,148.81,537991
"2012-08-09",144.89,145.5,143.48,143.74,435826
"2012-08-16",143.83,145.12,143,144.96,416252
"2012-08-23",142.41,142.8,141.03,141.3,406548
"2012-08-30",143.24,144.84,142.88,144.61,600830
"2012-09-06",146.94,147.57,146.57,147.48,722074
"2012-09-13",145.23,147.8,144.88,147.58,732318
"2012-09-20",143.08,143.9,141.46,142.05,1096818
"2012-09-27",139.81,140.77,138.78,139,695695
"2012-10-04",140.3,140.46,138.59,139.02,462958
"2012-10-11",139.62,139.75,137.51,137.53,443691
"2012-10-18",137.14,138.27,136.88,137.72,605199
"2012-10-25",138.46,138.86,136.32,137.17,584941
"2012-11-01",139.21,140.53,139.21,139.88,841503
"2012-11-08",142.51,143.51,141.62,141.92,1013300
"2012-11-15",145.19,146.14,143.47,144.25,840664
"2012-11-29",143.6,143.74,140.35,141.28,1116430
"2012-12-06",141.61,142.38,141.25,141.66,616472
"2012-12-13",140.84,140.88,138.66,139.53,806795
"2012-12-20",143.97,146.23,143.64,146.14,761430
"2012-12-27",144.16,144.91,142.79,144.37,460593
"2013-01-03",145.99,146.96,145.3,145.55,568611
"2013-01-10",145.82,146.29,145.04,146.28,561180
"2013-01-17",148.42,148.72,147.78,148.09,597405
"2013-01-24",151,151.87,150.64,151.73,631247
"2013-01-31",153.8,154.2,152.87,153.93,927328
"2013-02-07",157.26,157.65,155.58,156.04,638186
"2013-02-14",155.66,155.89,154.1,154.2,889790
"2013-02-21",152.56,152.74,151.21,152.01,642595
"2013-02-28",152.18,152.74,150.99,151.21,1259453
"2013-03-07",152.5,152.77,150.25,150.46,900738
