"","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume"
"2013-03-14",146.83,147.59,146.79,147.25,776879
"2013-03-21",150.64,152.52,150.33,150.77,653750
"2013-03-28",151.47,152.44,150.9,152.32,484636
"2013-04-04",152.49,154.54,151.94,154.38,611114
"2013-04-11",157.44,159.61,156.99,158.56,709030
"2013-04-18",156.52,156.86,155.65,156.51,397687
"2013-04-25",159.17,159.6,157.47,159.1,380664
"2013-05-02",165.35,166.7,164.68,165.88,399278
"2013-05-09",165.23,166.1,164.34,164.62,494195
"2013-05-16",166.59,167.91,164.47,165.2,804639
"2013-05-23",161.28,162.01,158.98,160.06,1033665
"2013-05-30",157.27,157.51,153.72,153.99,1074970
"2013-06-06",150.96,153.98,149.96,153.91,570681
"2013-06-13",147.38,152.69,147.05,152.35,632416
"2013-06-20",148.52,148.65,145.04,145.9,1012096
"2013-06-27",152.49,154.36,151.47,154.1,702052
"2013-07-11",156.86,159.7,156.76,159.37,491218
"2013-07-18",161.7,163.13,161.4,162.95,515935
"2013-07-25",158.67,160.5,157.45,159.95,697649
"2013-08-01",159.83,162.06,158.81,161.28,869746
"2013-08-08",162.97,163.44,160.52,161.47,491379
"2013-08-15",158,158.95,156.14,157.43,449968
"2013-08-22",157.49,157.79,155.3,157.32,520465
"2013-08-29",152.4,153.12,151.18,152.81,452285
"2013-09-05",152.29,152.8,151.05,151.26,343182
"2013-09-12",157.15,158.04,155.34,155.94,529937
"2013-09-19",165.4,168.3,164.91,166,767526
"2013-09-26",162.76,163.35,161.93,163.01,335654
"2013-10-03",163.11,163.87,160.29,161.99,558907
"2013-10-10",163.83,166.39,162.83,166.32,375815
"2013-10-17",169.69,172.97,169.24,172.56,525115
"2013-10-24",171.46,172.34,171.06,171.88,421765
"2013-10-31",167.63,168.13,165.62,166.97,934952
"2013-11-07",164.7,165.12,160.13,161.19,1160652
"2013-11-14",160.74,163.23,160.39,162.67,961429
"2013-11-21",155.45,156.05,154.05,154.73,755136
"2013-12-05",151.94,152.53,150.57,151.15,600724
"2013-12-12",150.34,151.12,149.67,149.71,835197
"2013-12-19",151.47,151.63,150.36,151.16,652608
"2013-12-26",151.7,152.44,150.74,151.15,311120
"2014-01-02",150.49,150.49,148.04,148.95,665493
"2014-01-09",151.49,153.11,150.31,153.05,978827
"2014-01-16",155.19,156.26,155.05,156.01,487639
"2014-01-23",154.28,155.36,153.61,154.46,640510
"2014-01-30",155.33,157.9,155.33,156.81,638732
"2014-02-06",157.89,158.52,157.26,158.41,848522
"2014-02-13",162.9,165.19,162.29,164.52,614665
"2014-02-20",166.72,167.73,165.61,166.71,686115
"2014-02-27",167.24,168.43,165.79,166.54,680124
"2014-03-06",171.09,171.42,169.2,169.33,751566
"2014-03-13",167.25,167.69,166,167.15,745229
"2014-03-20",166.49,167.63,164.65,167.59,667491
"2014-03-27",167.66,168,166.32,167.59,672808
"2014-04-03",169.84,169.84,168.58,169.32,443047
"2014-04-10",170.61,171.36,169.08,169.32,733986
"2014-04-17",171.52,172.41,170.76,172.28,505401
"2014-04-24",173.51,174.01,172.77,174.01,383431
"2014-05-01",175.27,176.49,173.3,176.19,752091
"2014-05-08",172.33,172.85,170.19,171.5,744460
"2014-05-15",171.27,171.81,168.94,170.55,558022
"2014-05-22",170.6,171.05,169.62,169.72,469835
"2014-05-29",170.57,171.28,169.85,169.99,742190
"2014-06-05",172.11,174.78,171.74,174.6,580612
"2014-06-12",170.06,170.35,168.67,169.43,455326
"2014-06-19",170.87,172.21,170.03,171.36,555829
"2014-06-26",169.94,170.2,169.24,169.35,492661
"2014-07-03",171.55,171.55,169.76,170.87,248935
"2014-07-10",170.55,171.6,170.01,171.26,575756
"2014-07-17",171.75,172.86,171.5,171.98,401394
"2014-07-24",174.47,175.26,173.98,175.15,768142
"2014-07-31",174.56,174.77,171.29,171.61,966862
"2014-08-07",172.93,173.84,172.01,172.29,428594
"2014-08-14",176.59,176.89,174.44,175.46,602138
"2014-08-21",177.89,178.26,176.63,176.68,334584
"2014-08-28",173.37,174.24,173.37,173.85,342740
"2014-09-04",175.18,175.5,173.25,174.26,425313
"2014-09-11",171.61,171.78,170.37,171.18,360145
"2014-09-18",166.55,167.02,164.77,165.12,746964
"2014-09-25",163.2,163.87,162.34,163.5,795624
"2014-10-02",165.84,166.82,165.05,165.89,584585
"2014-10-09",169.62,170.93,169.09,169.49,641454
"2014-10-16",168.43,170.44,167.72,169.9,862928
"2014-10-23",177.01,177.78,175.83,176.72,894657
"2014-10-30",178.41,180.46,178.33,179.78,842391
"2014-11-06",187.11,187.79,186.24,186.57,749672
"2014-11-13",186.62,187.65,185.98,187.04,530417
"2014-11-20",183.85,184.41,183.2,183.98,531118
"2014-12-04",184.89,186,183.91,185.5,561616
"2014-12-11",185.17,185.74,184,184.47,453066
"2014-12-18",184.47,185.41,182.56,185.34,705426
"2015-01-08",195.82,198.56,194.71,197.9,893929
"2015-01-15",199.28,201.14,198.55,199.44,720885
"2015-01-22",201.46,205.45,201.05,205.22,767957
"2015-01-29",202.66,204.41,201.59,204.19,333298
"2015-02-05",202.72,206.81,202.57,206.76,639525
"2015-02-12",202.69,204.17,201.68,203.79,459981
"2015-02-19",202.13,202.55,198.34,198.79,749362
"2015-02-26",198.15,198.59,196.03,196.76,452127
"2015-03-05",195.22,196.82,194.04,195.6,499303
"2015-03-12",185.71,188.42,185.61,188.23,776266
"2015-03-19",193.83,195.38,193.26,194.24,588098
"2015-03-26",195.68,197.72,195.39,196.58,446973
"2015-04-02",195.88,198.11,195.36,197.31,456557
"2015-04-09",196.88,197.57,193.49,194.13,499007
"2015-04-16",190.51,192.28,189.82,191.61,452760
"2015-04-23",192.81,193.78,191.73,193.04,493833
"2015-04-30",188.25,189.34,186.4,187.91,889627
"2015-05-07",188.42,192.72,188.14,191.81,729585
"2015-05-14",194.24,197.55,194.12,197.38,576278
"2015-05-21",196,197.06,193.91,194.85,886899
"2015-05-28",196.72,196.94,194.61,195.52,417829
"2015-06-04",192.57,193.38,191.43,191.69,724581
"2015-06-11",186.21,187.53,186.02,186.87,646695
"2015-06-18",189.26,193.23,189.22,192.46,945491
"2015-06-25",184.88,186.17,183.45,183.62,483144
"2015-07-02",188.8,189.69,186.77,187.24,604868
"2015-07-09",194.39,195.29,193.17,193.73,611327
"2015-07-16",199.34,200.58,199.05,200.19,427718
"2015-07-23",201.15,202.08,199.53,201.1,572561
"2015-07-30",203,203.43,200.32,203.02,561864
"2015-08-06",205.63,207.75,204.49,207.49,528309
"2015-08-13",210.07,213.34,209.29,212.55,739309
"2015-08-20",215.8,217.38,215.04,215.31,512449
"2015-08-27",204.22,210.86,203.31,208.01,874983
"2015-09-03",203.44,204.6,202.34,203.25,710489
"2015-09-10",200,202.34,199.13,200.21,654920
"2015-09-17",205.4,210.68,204.13,207.41,667430
"2015-09-24",208.5,208.97,204.63,205.66,635577
"2015-10-01",212.72,214.07,211.04,213.95,583482
"2015-10-08",217.02,218.94,215.38,218.76,549346
"2015-10-15",217.92,219.57,217.25,219.57,457802
"2015-10-22",228.87,231.14,227.9,230.03,685478
"2015-10-29",228.48,230.02,226.73,228.9,792914
"2015-11-05",231.03,232.25,230.45,232.1,460993
"2015-11-12",228.62,230.12,227.46,228.43,503092
"2015-11-19",233.08,235,232.56,234.31,591578
"2015-12-03",239.38,242.07,235.42,236.83,1246444
"2015-12-10",243.18,244.33,240.64,240.9,755583
"2015-12-17",248.38,249.88,246.69,247.56,901136
"2015-12-24",249.17,249.52,247.38,248.25,310759
"2015-12-31",250.5,250.84,247.66,247.7,517948
"2016-01-07",248.48,251.88,248.39,249.05,633728
"2016-01-14",249.77,251.66,246.43,249.73,1070375
"2016-01-21",241.21,244.67,240.13,241.06,747237
"2016-01-28",248.91,252.53,247.48,249.06,736714
"2016-02-04",252.71,252.84,245.6,246.22,927733
"2016-02-11",234.72,236.92,230.94,234.83,1381617
"2016-02-18",245.5,247.79,244.59,246.72,526124
"2016-02-25",251.25,255.25,250.26,255.1,754976
"2016-03-03",256,256.96,250.02,253.21,587177
"2016-03-10",250.91,253.32,247.89,250,736680
"2016-03-17",267.28,270.68,266.72,269.75,595202
"2016-03-24",263.79,267.12,263.43,266.68,568136
"2016-03-31",273.92,276.83,273.4,275.83,621682
"2016-04-07",273.52,274.64,271.57,273.83,676768
"2016-04-14",271.01,272.13,265.99,267.15,620572
"2016-04-21",263.19,263.92,254.86,255.09,965519
"2016-04-28",247.62,251.62,247.45,249.01,799132
"2016-05-05",256.52,260.75,255.15,260.06,784744
"2016-05-12",260.34,265.74,257.41,264.69,830219
"2016-05-19",251.25,252.94,248.56,249.8,1182773
"2016-05-26",253.04,255.37,252,254.14,485997
"2016-06-02",255.56,258.03,254.26,257.98,603713
"2016-06-09",250.35,252.78,244.38,245.43,1524698
"2016-06-16",242.76,246.96,242.2,244.33,1038430
"2016-06-23",241.8,243.87,240.22,241,894760
"2016-06-30",254.34,255.73,251.67,255.59,880080
"2016-07-07",257.39,257.39,252.35,253.78,703260
"2016-07-14",257.39,257.39,252.07,254.07,636617
"2016-07-21",251.7,251.79,249.75,251.65,663272
"2016-07-28",244.75,244.75,236.3,238.62,1647035
"2016-08-04",233.56,233.56,228.94,230.55,1145384
"2016-08-11",231.29,232.96,229,230.83,833148
"2016-08-18",227.89,228,225.31,226.74,545415
"2016-08-25",224.44,228.16,224.35,225.74,688894
"2016-09-01",224.25,228.13,223.43,226.11,770250
"2016-09-08",225.1,225.36,222.53,223,1401202
"2016-09-15",214.71,215.5,213.49,214.8,915459
