"","AAP.Open","AAP.High","AAP.Low","AAP.Close","AAP.Volume"
"2013-09-19",80.41,81.07,80.4,80.71,733293
"2013-09-26",81.6,82.09,81.41,81.68,541448
"2013-10-03",82.36,82.81,81.28,81.9,423074
"2013-10-10",81.25,81.8,80.57,81.76,483702
"2013-10-17",96.65,97.97,95.82,97.22,3577604
"2013-10-24",99.44,99.51,98.5,99.42,767763
"2013-10-31",100,101,99.18,99.18,981461
"2013-11-07",98.51,99.25,96.58,96.67,651121
"2013-11-14",99.58,99.95,98.14,98.88,288970
"2013-11-21",100,100.88,99.16,100.04,949898
"2013-12-05",104.65,105.62,104,104.95,852839
"2013-12-12",106.78,108.08,106.56,107.93,941828
"2013-12-19",109.42,109.48,107.75,108.4,623450
"2013-12-26",110.17,110.97,109.56,110.17,563408
"2014-01-02",110.36,111.88,109.29,109.74,542711
"2014-01-09",113.06,114.22,112.71,113.55,486811
"2014-01-16",117.22,118.25,116.15,117.88,609912
"2014-01-23",116.81,117.53,115.29,116.33,659085
"2014-01-30",115,115.89,114.45,115.2,585785
"2014-02-06",121.5,127.09,120,124.86,3374211
"2014-02-13",125.2,127,123.84,126.26,802294
"2014-02-20",125.98,128.06,125.77,127.56,882740
"2014-02-27",125.82,126.09,124.43,125.03,888073
"2014-03-06",126.23,127.32,125.86,126.74,715091
"2014-03-13",126.91,126.91,123.81,124.56,754192
"2014-03-20",124.37,125.07,123.36,124.75,588664
"2014-03-27",122.31,125.3,122.07,123.89,735128
"2014-04-03",127.06,127.33,125.56,126.4,401780
"2014-04-10",122.63,124.62,118.61,118.61,702928
"2014-04-17",119.48,122.34,119.07,120.84,803370
"2014-04-24",121.85,123.04,120.54,122.34,398814
"2014-05-01",124.07,124.16,120.76,120.98,377776
"2014-05-08",120.02,123.1,119.65,122.46,1001395
"2014-05-15",127.78,128.45,120.13,124.23,2247224
"2014-05-22",122.11,123.67,122.11,122.5,638226
"2014-05-29",122.11,123.35,121.58,122.31,606770
"2014-06-05",126.53,127.77,126.16,127.43,605604
"2014-06-12",125.8,125.91,123.52,124.28,541918
"2014-06-19",130,130.51,127.33,128.84,620237
"2014-06-26",130.3,131.71,130.02,130.53,1157738
"2014-07-03",135.05,135.2,134.13,134.94,300275
"2014-07-10",132.51,133.92,132,133.16,499068
"2014-07-17",130.97,131.37,129.73,129.86,480547
"2014-07-24",124.9,127.73,124.2,126.63,1366164
"2014-07-31",123.86,124.54,121.03,121.11,891376
"2014-08-07",123.97,124.28,121.63,121.85,567917
"2014-08-14",129,132.37,126.25,131.59,2388112
"2014-08-21",135.4,135.99,134.24,134.48,557035
"2014-08-28",137.59,138.06,136.28,137.41,628971
"2014-09-04",138.3,139.58,137.95,138.27,439427
"2014-09-11",135.01,135.56,133.58,134.42,554758
"2014-09-18",134.43,134.5,133.31,133.62,511637
"2014-09-25",130.62,130.92,128.2,128.2,467710
"2014-10-02",130.2,133.23,130.03,132.97,944465
"2014-10-09",135.72,136.75,133.06,133.99,700605
"2014-10-16",131.52,134.15,131.4,132.43,1085841
"2014-10-23",141.15,143.61,140.64,140.78,1624923
"2014-10-30",145,146,143.96,145.71,461385
"2014-11-06",138.5,147.5,137.17,145.56,3398592
"2014-11-13",146.45,147.27,145.4,146,519427
"2014-11-20",144.21,146.25,144.08,145.19,485016
"2014-12-04",152.42,153.53,150.66,153.25,806361
"2014-12-11",157.34,161.27,157.34,159.16,807377
"2014-12-18",161.05,161.56,159.29,160.74,505296
"2015-01-08",163.36,163.46,161,161.12,1025714
"2015-01-15",151.17,151.86,147.83,148.02,926449
"2015-01-22",154.4,157.62,153.9,156.54,738829
"2015-01-29",159.69,160.98,157.58,160.26,561313
"2015-02-05",157.74,160.66,156.79,160.16,1294215
"2015-02-12",155,157.08,150.95,151.42,4046068
"2015-02-19",153.18,154.95,152.46,153.27,1149733
"2015-02-26",156.25,156.71,155.22,155.38,493216
"2015-03-05",151.82,153.23,150.93,152.52,753245
"2015-03-12",146.88,150.23,146.88,149.32,778450
"2015-03-19",149.06,149.42,147.42,149.19,912481
"2015-03-26",147.63,150.33,146.7,149.41,828273
"2015-04-02",143.95,145.64,143.02,143.98,1529960
"2015-04-09",148.31,149.23,146.99,148.05,646873
"2015-04-16",149.13,151.31,148.32,150,716681
"2015-04-23",153.65,153.98,146.54,146.69,1865051
"2015-04-30",144.43,145.21,142.9,143,1269152
"2015-05-07",144.39,145.84,143.89,144.53,782529
"2015-05-14",150,151.22,148.75,149.86,979890
"2015-05-21",144.19,160.9,143,157.5,4243659
"2015-05-28",157.25,158.05,155.63,156.35,643706
"2015-06-04",155.73,157.1,155.54,156.6,579850
"2015-06-11",160.31,161.08,159.68,160.53,462429
"2015-06-18",159.67,160.78,159.13,160.25,470820
"2015-06-25",163.46,164.59,162.97,164.2,653350
"2015-07-02",163.58,164.3,161.18,162.11,414449
"2015-07-09",161.29,162.66,160.68,162.07,1909234
"2015-07-16",168.91,169.82,168.27,169.36,572571
"2015-07-23",169.05,171.09,168.25,168.39,590109
"2015-07-30",172.98,173.68,170.91,172.54,509711
"2015-08-06",175.59,175.78,171.36,172.74,596808
"2015-08-13",173.9,192.27,173,187.79,3745812
"2015-08-20",187.48,187.65,184.37,184.45,592620
"2015-08-27",172.81,176.3,172.25,176.23,1583176
"2015-09-03",175.17,177.04,172.7,173.24,728375
"2015-09-10",174.39,176.7,173.1,174.88,885591
"2015-09-17",178.39,181.03,177.53,178.28,762840
"2015-09-24",175.19,175.19,173.62,174.8,425279
"2015-10-01",190.28,192.64,188.1,192.04,1586133
"2015-10-08",190.4,191.15,186.46,187.35,986809
"2015-10-15",188.07,190.87,187.63,190.55,606199
"2015-10-22",192.89,193.9,191.28,191.87,705921
"2015-10-29",194.64,198.57,194.4,197.48,727714
"2015-11-05",199.96,201.21,198.16,200.34,711307
"2015-11-12",173.75,177,164.23,164.64,6939708
"2015-11-19",164.19,165.27,162.22,162.37,679894
"2015-12-03",158.1,159.23,153.25,154.78,1320540
"2015-12-10",153.17,154.23,150.33,151.76,1027742
"2015-12-17",161.13,161.9,153,153.07,1732945
"2015-12-24",148.28,150.32,148.27,149.13,381698
"2015-12-31",151.26,151.94,150.45,150.51,766685
"2016-01-07",144.8,149.46,143.13,148.83,1343674
"2016-01-14",142.18,143,139.16,141.32,1109876
"2016-01-21",143.24,146.39,142.27,143.8,706823
"2016-01-28",152.96,153.7,145.67,148.56,1002055
"2016-02-04",147.46,148.44,145.48,147.85,1572099
"2016-02-11",137.04,142.77,131.59,138.41,2571012
"2016-02-18",142.35,144.84,140.56,143.32,1068026
"2016-02-25",150.8,151.49,147.05,150.08,639872
"2016-03-03",151.34,154.2,149.87,153.88,785641
"2016-03-10",153.8,156.29,153.54,156.15,765248
"2016-03-17",157.78,158.84,156.3,157.94,580280
"2016-03-24",160.99,162.04,159.95,161.82,845993
"2016-03-31",162.48,162.71,160.25,160.34,1037253
"2016-04-07",158.86,159.53,155.13,155.83,579230
"2016-04-14",160.23,161.51,159.74,160.94,498998
"2016-04-21",158.4,158.83,156.38,157.13,686186
"2016-04-28",157.58,158.43,155.43,155.87,635336
"2016-05-05",152.99,153.11,148.2,148.74,1548496
"2016-05-12",148.99,151.03,147.99,150,842456
"2016-05-19",134.12,144.22,132.98,143.54,5396029
"2016-05-26",154.55,156.79,153.5,156.66,2191670
"2016-06-02",151.39,153.16,150.58,152.15,1319927
"2016-06-09",153.89,157.46,153.89,156.78,2680412
"2016-06-16",152.41,154.22,151.74,153.94,942392
"2016-06-23",154.44,155.11,153.71,154.93,831097
"2016-06-30",161.02,161.7,159.5,161.63,792319
"2016-07-07",161.54,162.61,160.05,161.13,672446
"2016-07-14",163.46,165.46,162.44,164.96,575344
"2016-07-21",163.49,164.36,162.99,164.09,420509
"2016-07-28",164.67,172.87,164.41,170.34,1756217
"2016-08-04",168.38,170.38,168.31,170.18,1102690
"2016-08-11",167.8,170.42,166.66,166.71,829368
"2016-08-18",158.5,158.8,156.63,157.43,1370640
"2016-08-25",160.05,160.92,158.94,160.18,784070
"2016-09-01",158.2,159.62,157.75,158.76,721680
"2016-09-08",160.67,161.14,157.21,158.87,1739903
"2016-09-15",150.49,150.85,148.71,148.94,1122025
