"","AAP.Open","AAP.High","AAP.Low","AAP.Close","AAP.Volume"
"2011-09-15",61.88,62.73,61.55,62.67,923161
"2011-09-22",58.56,59.94,58.02,58.67,1163978
"2011-09-29",60.37,60.48,57.83,59,1050703
"2011-10-06",58.39,59.6,58.25,59.39,601567
"2011-10-13",59.95,60.36,59.25,59.8,682793
"2011-10-20",61.76,62.67,61.61,62.38,1043202
"2011-10-27",65.07,66.61,64.82,65.44,889169
"2011-11-03",64.98,66.19,64.25,66.07,647162
"2011-11-10",67.4,71,67,69.51,2918688
"2011-11-17",67.16,67.8,67.01,67.56,1288061
"2011-12-01",68.94,70.17,68.65,68.75,701296
"2011-12-08",69.55,70.63,69.38,69.9,578279
"2011-12-15",67.57,68.17,67.34,67.71,617571
"2011-12-22",69.65,70.89,68.97,69.38,912044
"2011-12-29",70.51,71.14,69.54,70.35,483391
"2012-01-05",70.44,71.42,69.66,71.17,596899
"2012-01-12",72.3,72.3,70.94,71.65,487126
"2012-01-19",75.17,76.33,74.49,75.15,935111
"2012-01-26",76.46,76.49,74.89,75.06,577746
"2012-02-02",77.05,77.05,75.69,76.27,983922
"2012-02-09",78.8,80.31,78.58,80.12,2236164
"2012-02-16",84.12,86.3,83.95,85.9,5455769
"2012-02-23",85.33,85.56,84.8,85.15,1985405
"2012-03-01",85.73,86.39,85.25,85.98,1159460
"2012-03-08",86.9,87.29,86.51,86.94,784906
"2012-03-15",89.07,89.46,88.57,89.25,1022309
"2012-03-22",88.75,89.72,88.32,89.18,785383
"2012-03-29",88.59,88.82,87.28,87.98,774779
"2012-04-05",89.39,90.45,89.38,90.2,584339
"2012-04-12",89.93,90.5,89.55,89.95,969970
"2012-04-19",90.75,91.6,90.41,90.87,586664
"2012-04-26",89.79,92.6,88.5,91.43,1845695
"2012-05-03",92.32,92.52,91.44,91.95,517042
"2012-05-10",88.91,89.83,88.43,89.07,720573
"2012-05-17",72.28,73.8,67.22,68.17,6813935
"2012-05-24",72.34,72.96,70.92,72.93,2484399
"2012-05-31",72.65,73.43,71.65,72.94,1007984
"2012-06-07",74.15,74.15,73.31,73.72,903727
"2012-06-14",70.82,72.68,70.23,70.66,1498695
"2012-06-21",69.19,69.27,67.22,67.23,1793378
"2012-06-28",64.75,65.76,64.66,65.71,1565105
"2012-07-05",68.94,70.29,68.73,68.8,1246639
"2012-07-12",69.5,71.87,69.25,71.58,1440829
"2012-07-19",73.95,74.39,73.08,73.37,1091238
"2012-07-26",72.89,72.98,69.31,69.39,2864892
"2012-08-02",66.63,68.1,66.6,67.14,1766775
"2012-08-09",67.08,70,66.87,67.92,3158043
"2012-08-16",71.36,72.75,71.21,72.46,1519860
"2012-08-23",72.06,72.37,71.9,71.96,657473
"2012-08-30",71.12,71.48,70.74,71.02,452515
"2012-09-06",70.54,72.13,70.3,71.32,1057909
"2012-09-13",70.7,70.7,69,69.47,980604
"2012-09-20",68.03,69.22,67.5,69.21,1469044
"2012-09-27",68.06,68.27,67.25,68.12,466000
"2012-10-04",68.37,69.65,68.11,69.49,631190
"2012-10-11",69.55,69.55,68.15,68.49,571422
"2012-10-18",68.18,68.92,67.22,68.31,1012861
"2012-10-25",67.08,68.2,67.08,67.9,835082
"2012-11-01",70.64,84,70.08,81,4395103
"2012-11-08",79.65,81.46,79.2,79.4,2073316
"2012-11-15",77.49,78.05,76.77,77.5,937895
"2012-11-29",71.45,74.05,71.36,73.93,3211127
"2012-12-06",72.34,72.59,71.67,71.95,496424
"2012-12-13",72.96,73.61,72.79,73.03,481869
"2012-12-20",72.27,72.91,71.48,71.68,443695
"2012-12-27",70.57,71.53,70.09,71.34,619394
"2013-01-03",72.85,73.44,72.13,72.49,520539
"2013-01-10",72.56,72.56,71.51,71.76,583158
"2013-01-17",73.15,74.23,73.1,73.42,449646
"2013-01-24",75,75.48,74.31,75.01,587931
"2013-01-31",73.47,74.05,73.04,73.52,1019170
"2013-02-07",79.85,81,73.67,77.14,5129980
"2013-02-14",78.66,79.72,78.58,78.84,1005376
"2013-02-21",79.26,80.05,78.56,79.06,915160
"2013-02-28",77.35,77.59,76.34,76.34,1180713
"2013-03-07",76.04,76.75,75.7,76.22,965930
"2013-03-14",78.9,79.12,77.36,77.67,763234
"2013-03-21",79.91,80.72,79.85,80.03,616238
"2013-03-28",81.34,83.07,81.29,82.65,1291340
"2013-04-04",82.2,82.97,81.93,82.2,819476
"2013-04-11",81.03,83.37,80.81,83.01,1041745
"2013-04-18",79.8,79.86,78.8,78.92,653546
"2013-04-25",82.6,84.01,82.05,83,1281809
"2013-05-02",84.44,84.98,83.93,84.59,674663
"2013-05-09",84.92,85.7,84.59,84.72,428060
"2013-05-16",86.32,86.92,85.04,85.42,610588
"2013-05-23",84.57,85.42,83.22,84.08,1445643
"2013-05-30",82.34,82.89,81.58,82.07,525025
"2013-06-06",81.77,83.24,81.64,83.23,343350
"2013-06-13",82.44,83.31,82.2,82.75,467126
"2013-06-20",83.69,83.8,82.73,82.88,704461
"2013-06-27",80.22,80.75,79.86,80.02,673139
"2013-07-11",83.5,83.72,82.71,82.76,788696
"2013-07-18",81.5,82.66,81.4,82.5,1015370
"2013-07-25",81.9,82.46,81.05,82.22,925230
"2013-08-01",83.17,83.72,82.47,83.43,912861
"2013-08-08",83,83.14,79.33,81.65,2492117
"2013-08-15",82.94,83.27,81.87,81.88,717733
"2013-08-22",81.67,82.25,81.53,81.8,382159
"2013-08-29",81,81.59,80.68,81.26,403056
"2013-09-05",79.71,80.49,79.71,80.04,296291
"2013-09-12",81.33,81.5,80.04,80.37,380111
