"","TGT.Open","TGT.High","TGT.Low","TGT.Close","TGT.Volume"
"2011-09-15",51.74,51.87,51.06,51.7,4925682
"2011-09-22",50.23,51.3,48.62,49.13,13278062
"2011-09-29",50.88,50.96,49.31,50.23,7887576
"2011-10-06",51.31,52.42,51,51.91,13757180
"2011-10-13",52.4,53.04,52.27,52.73,4657916
"2011-10-20",53.31,53.82,52.94,53.71,4702233
"2011-10-27",55.95,56,54.86,55.79,7591548
"2011-11-03",51.68,52.65,51.12,52.24,10044942
"2011-11-10",52.13,52.28,51.55,51.77,3927904
"2011-11-17",53.39,53.75,52.16,52.64,6392864
"2011-12-01",52.77,53.19,51.99,52.15,8934015
"2011-12-08",53.84,54.3,53.35,53.47,5068982
"2011-12-15",52.88,53.01,52,52.07,3650427
"2011-12-22",51.71,52.02,51.13,51.27,5845196
"2011-12-29",51.9,52.07,51.51,51.68,3158074
"2012-01-05",48,48.78,47.25,48.51,19513273
"2012-01-12",49.63,49.96,49.06,49.81,7093658
"2012-01-19",49.95,50.9,49.56,50.9,7509050
"2012-01-26",51.22,51.29,50.26,50.5,4860000
"2012-02-02",52.68,52.89,51.55,52,9816167
"2012-02-09",52.63,52.79,52.35,52.7,3284506
"2012-02-16",51.91,52.09,51.76,51.93,3930026
"2012-02-23",53.46,54.82,52.61,54.5,15639034
"2012-03-01",56.59,56.91,56.2,56.76,8223146
"2012-03-08",56.8,57.39,56.71,57.23,5107938
"2012-03-15",58.49,58.85,58.14,58.75,4510655
"2012-03-22",57.54,57.94,57.36,57.93,4237677
"2012-03-29",57.92,58.04,57.5,57.98,4237329
"2012-04-05",58.02,58.59,57.69,57.72,7552499
"2012-04-12",57.14,57.98,57.02,57.93,4080968
"2012-04-19",57.5,57.59,56.66,56.79,3702896
"2012-04-26",56.88,57.75,56.8,57.49,3571034
"2012-05-03",57.53,57.68,56.2,56.55,11345183
"2012-05-10",55.65,55.73,54.96,55.31,3462566
"2012-05-17",55.27,55.51,54.68,54.81,6045605
"2012-05-24",56.86,57.39,56.65,57.25,4461054
"2012-05-31",58.2,58.46,57.84,57.91,6857689
"2012-06-07",58,58,57.27,57.32,5566209
"2012-06-14",58.22,58.92,58.14,58.55,4283218
"2012-06-21",58.62,58.68,57.33,57.4,5399158
"2012-06-28",57.32,57.56,56.92,57.46,5162559
"2012-07-05",57.39,58.31,56.7,57.15,6482272
"2012-07-12",59.68,60.23,59.27,59.88,6516657
"2012-07-19",61.53,61.57,60.66,61.25,3446798
"2012-07-26",61.15,61.38,60.7,61.06,3232215
"2012-08-02",60.88,62.1,60.55,61.97,5299415
"2012-08-09",62.95,62.97,62.51,62.69,2817569
"2012-08-16",64.44,64.54,63.64,63.91,5735363
"2012-08-23",63.5,63.6,62.7,62.99,2863504
"2012-08-30",64.32,64.56,63.97,64.16,3491369
"2012-09-06",64.05,64.86,63.85,64.86,2992958
"2012-09-13",64.22,65.1,64.15,65.06,2734921
"2012-09-20",64.92,65.59,64.55,65.4,3232926
"2012-09-27",63.7,63.81,62.45,63.59,6441038
"2012-10-04",63.8,64.04,63.33,63.65,4024892
"2012-10-11",63.1,63.12,61.22,61.25,5255827
"2012-10-18",63.12,63.49,62.52,62.94,2614443
"2012-10-25",63.09,63.27,62.64,63.12,3454529
"2012-11-01",62.97,63.73,62.69,62.94,6156069
"2012-11-08",62.91,63.14,61.82,61.82,4568834
"2012-11-15",62.23,62.98,61.14,62.44,8896074
"2012-11-29",61.19,62.85,61.19,62.79,8909916
"2012-12-06",62.08,62.5,61.7,62.2,3285651
"2012-12-13",60.65,61.43,60.56,61.25,4233525
"2012-12-20",60.7,61.03,59.86,60.36,8178633
"2012-12-27",59.07,59.31,58.49,58.93,3724133
"2013-01-03",60.55,60.78,59.46,60.16,10666498
"2013-01-10",60.38,60.47,59.89,60.31,4747489
"2013-01-17",61.5,61.79,61.24,61.46,3598048
"2013-01-24",61.3,62.14,61.23,61.86,4843991
"2013-01-31",60.83,61.18,60.41,60.41,5314808
"2013-02-07",62.6,62.87,61.99,62.3,6032821
"2013-02-14",62.69,63.33,62.58,63.09,5352384
"2013-02-21",62.68,63.88,62.52,63.4,7221764
"2013-02-28",63.23,64.09,62.46,62.96,8469226
"2013-03-07",66.22,66.25,65.67,65.85,4018200
"2013-03-14",67.5,67.5,66.87,67.34,3300356
"2013-03-21",68.12,68.27,67.42,68.05,4789526
"2013-03-28",69.19,69.43,68.3,68.45,3982095
"2013-04-04",68.19,68.83,68.19,68.79,3540401
"2013-04-11",69.08,69.91,68.98,69.12,3962878
"2013-04-18",68.73,68.85,67.81,68.29,3982370
"2013-04-25",69.95,70.99,69.85,70.67,3316690
"2013-05-02",69.54,69.75,68.75,69.19,9432263
"2013-05-09",69.9,70.08,69.37,69.48,3659064
"2013-05-16",69.83,70.35,69.66,70,4066702
"2013-05-23",67.75,69.27,67.63,68.67,8516878
"2013-05-30",69.48,70.55,69.44,69.82,4776867
"2013-06-06",70.26,70.27,69.56,70.26,5560555
"2013-06-13",69.43,69.81,69.11,69.59,3183513
"2013-06-20",68.41,69.09,68.37,68.66,5634743
"2013-06-27",69.56,69.64,68.57,68.79,4950126
"2013-07-11",72.44,72.94,72.1,72.57,3239138
"2013-07-18",72.74,73,72.2,72.42,2502243
"2013-07-25",73.07,73.16,71.18,71.82,5589543
"2013-08-01",71.69,71.92,71.44,71.58,3697843
"2013-08-08",71.69,71.69,70.8,71.22,3714944
"2013-08-15",69.3,69.5,68.74,69.08,5749273
"2013-08-22",64.94,65.39,64.07,64.24,10177766
"2013-08-29",63.21,63.5,63.05,63.15,4115639
"2013-09-05",63.66,63.9,63.46,63.46,3031900
"2013-09-12",65.13,65.24,63.66,64.09,5596845
"2013-09-19",65.59,65.59,65,65.39,2886655
"2013-09-26",63.42,63.91,63.15,63.37,4038038
"2013-10-03",63.6,63.73,63.1,63.45,3964664
"2013-10-10",63.16,63.58,63.01,63.45,2638280
"2013-10-17",63.65,64.88,63.57,64.86,3524185
"2013-10-24",64.42,64.55,64,64.13,4637985
"2013-10-31",66.06,66.11,64.65,64.79,7490277
"2013-11-07",65.89,65.99,64.81,64.82,5154318
"2013-11-14",66.5,66.79,66.23,66.67,4634056
"2013-11-21",64.34,64.92,63.49,64.19,16382646
"2013-12-05",63.05,63.75,62.6,62.63,8368579
