"","LEN.Open","LEN.High","LEN.Low","LEN.Close","LEN.Volume"
"2011-09-15",13.93,13.95,13.46,13.85,3136607
"2011-09-22",13.71,13.79,12.91,13.14,7846904
"2011-09-29",13.66,14.24,13.5,14.24,6737525
"2011-10-06",13.83,14.35,13.65,14.31,3682694
"2011-10-13",15.19,15.63,14.84,15.17,6518445
"2011-10-20",15.51,16.22,14.87,16.09,9108158
"2011-10-27",17.03,17.41,16.49,17.19,5928138
"2011-11-03",16.7,17.16,16.19,17.07,6458300
"2011-11-10",17.16,17.79,17.12,17.69,7045702
"2011-11-17",18.4,18.62,17.83,18.12,5900350
"2011-12-01",18.32,18.69,18.12,18.45,5487115
"2011-12-08",19.44,19.5,18.9,19.02,5841675
"2011-12-15",18.49,18.77,18.36,18.4,5406027
"2011-12-22",20.13,20.19,19.54,19.58,4095813
"2011-12-29",19.1,19.88,19.1,19.86,3610335
"2012-01-05",20.01,20.82,19.63,20.77,6265722
"2012-01-12",21.64,22.45,21.52,22.18,9455518
"2012-01-19",22.77,23,22.5,22.65,8193357
"2012-01-26",22.97,23.11,22.06,22.13,6159088
"2012-02-02",21.91,22.06,21.49,21.74,3995220
"2012-02-09",23.53,23.82,23.05,23.74,6273207
"2012-02-16",23.57,23.9,23.1,23.41,5880742
"2012-02-23",22.1,22.84,22.04,22.66,5198702
"2012-03-01",23.52,23.79,23.16,23.38,5379011
"2012-03-08",23.81,25.09,23.77,24.69,8842945
"2012-03-15",26.37,27.01,26.13,26.89,8581603
"2012-03-22",26.33,26.44,25.85,26.12,3679444
"2012-03-29",27.46,27.46,26.78,27.21,7052025
"2012-04-05",26.5,26.8,26.01,26.25,6383845
"2012-04-12",25.74,26.51,25.52,26.5,5986658
"2012-04-19",25.58,25.84,24.4,24.86,7847120
"2012-04-26",26.3,27.43,26.11,27.38,8390629
"2012-05-03",29.08,29.35,28.4,28.45,4773100
"2012-05-10",29.2,29.4,28.01,28.1,6641718
"2012-05-17",29.3,29.54,26.81,26.89,11530668
"2012-05-24",28.49,29,27.66,28.26,8423419
"2012-05-31",26.76,27.69,25.95,27.29,8270997
"2012-06-07",26.83,27.25,25.95,26.04,8452909
"2012-06-14",24.76,25.74,24.71,25.55,7620297
"2012-06-21",27.03,27.15,26.06,26.09,7225883
"2012-06-28",28.52,29.4,28.34,29.36,6767991
"2012-07-05",30.94,31.58,30.69,31.5,4875607
"2012-07-12",29.86,31.37,29.65,31.06,6660487
"2012-07-19",30.35,30.59,29.51,30.32,8186977
"2012-07-26",29.63,30.36,29.46,30.19,5644076
"2012-08-02",28.77,29.73,28.51,29.59,5398118
"2012-08-09",30.64,31.83,30.64,31.49,5346991
"2012-08-16",31.3,32.54,31.04,32.41,5609266
"2012-08-23",32.15,32.71,31.97,32.03,4172699
"2012-08-30",32.12,32.3,31.45,32.1,2553968
"2012-09-06",33.11,34.2,33,34.08,5596766
"2012-09-13",34.47,35.44,33.81,35.12,4885349
"2012-09-20",36,36.68,35.76,36.6,4913459
"2012-09-27",34.49,35.68,34.25,35.26,5704301
"2012-10-04",37.43,37.56,36.72,37.51,7132349
"2012-10-11",36.99,37,35.37,35.72,5409586
"2012-10-18",38.08,38.72,38.06,38.68,4527583
"2012-10-25",38.65,38.81,36.85,37.51,4859249
"2012-11-01",37.63,38.58,37.5,38.29,3883669
"2012-11-08",39.1,39.1,37.96,38.41,4305916
"2012-11-15",34.93,35.9,33.92,34.9,9242367
"2012-11-29",38.53,38.98,37.96,38.23,4308638
"2012-12-06",36.13,36.78,35.51,36.29,5019668
"2012-12-13",37.75,38.06,37.06,37.2,3251590
"2012-12-20",39.11,39.66,38.68,39.29,4205718
"2012-12-27",38.15,38.5,37.02,38.08,3967770
"2013-01-03",39.95,40.82,39.49,39.91,3994488
"2013-01-10",41.93,41.96,40.72,41.02,3589372
"2013-01-17",41.05,42.12,40.96,41.94,5867481
"2013-01-24",42.67,43.14,42.13,42.3,4081408
"2013-01-31",41.2,41.68,40.68,41.54,3358023
"2013-02-07",40.75,40.94,39.68,40.12,3388490
"2013-02-14",40.8,41.05,40.56,40.64,2190980
"2013-02-21",37.19,37.88,36.61,37.69,6818047
"2013-02-28",39.03,39.74,38.51,38.59,4042226
"2013-03-07",41.08,41.5,40.6,41.42,2929131
"2013-03-14",41.25,42.06,41.24,41.94,3133888
"2013-03-21",43.3,43.4,42.1,42.39,6637964
"2013-03-28",41.84,41.85,41.11,41.48,3981165
"2013-04-04",39.17,39.2,38.45,38.79,4474137
"2013-04-11",39.43,39.72,38.89,39.06,4341245
"2013-04-18",38.3,38.32,36.82,37.23,4623625
"2013-04-25",41.53,42.5,41.16,41.93,3486575
"2013-05-02",40.75,42.21,40.45,41.92,3981718
"2013-05-09",42.23,43.62,42.22,42.4,3315309
"2013-05-16",43.28,43.81,42.37,42.94,4753156
"2013-05-23",41.65,43.79,41.25,43.4,8015330
"2013-05-30",40.48,41.1,39.86,40.14,4207946
"2013-06-06",37.42,38.63,36.9,38.55,6066222
"2013-06-13",36.76,39.09,36.75,38.73,7574534
"2013-06-20",37.3,37.3,34.46,34.94,17669921
"2013-06-27",36.63,37.5,36.36,37.38,8618032
"2013-07-11",35.78,37.57,35.72,37.44,10997890
"2013-07-18",35.99,36.28,35.04,35.17,4262548
"2013-07-25",33.29,33.43,31.95,33.37,12196937
"2013-08-01",34.32,35.05,33.57,34,8224007
"2013-08-08",32.5,32.95,32.16,32.34,4362715
"2013-08-15",31.28,33.42,30.9,33.28,9599513
"2013-08-22",33.05,33.93,33.01,33.56,3343278
"2013-08-29",31.56,33.07,31.5,32.62,4673788
"2013-09-05",31.79,31.85,31.08,31.53,4410415
"2013-09-12",34.58,35.95,34.47,34.9,7206793
"2013-09-19",37.62,37.84,36.22,36.27,6565426
"2013-09-26",36.62,36.65,35.76,36.49,4320532
"2013-10-03",36.07,36.49,35.38,35.72,4569254
"2013-10-10",33.84,34.53,33.66,33.8,4832203
"2013-10-17",33.65,35.47,33.5,35.36,6116850
"2013-10-24",36.68,37.77,36.61,37.21,5643883
"2013-10-31",36.64,36.64,35.53,35.55,5921081
"2013-11-07",34.92,35.7,34.21,34.24,6180959
"2013-11-14",33.37,34.9,33.21,34.22,8970366
"2013-11-21",34.74,35.13,33.84,34.92,5429636
"2013-12-05",34.5,34.71,34.09,34.22,3484445
"2013-12-12",35.01,35.11,34.56,34.89,2199914
"2013-12-19",37.12,37.35,36.62,37.04,4311255
"2013-12-26",38.91,39.58,38.9,39.26,3229654
"2014-01-02",39.16,39.57,38.78,39.42,2467917
"2014-01-09",38.69,38.93,37.91,38.42,2937618
"2014-01-16",38.07,38.55,37.55,38.43,3150003
"2014-01-23",37.63,38.24,37.44,38.2,4115880
