"","FTV.Open","FTV.High","FTV.Low","FTV.Close","FTV.Volume"
"2016-06-16",,,,47,0
"2016-06-23",48.6,48.6,48.5,48.5,236794
"2016-06-30",48.74,50,48.1,49.26,29097
"2016-07-07",47.62,48,47.34,47.74,5486829
"2016-07-14",50.33,51.74,49.95,51.57,3481590
"2016-07-21",50.4,50.62,49.99,50.24,3037115
"2016-07-28",48.74,49.09,48.34,48.65,2923057
"2016-08-04",49.59,50.11,49.48,50.03,3046799
"2016-08-11",50.73,52.71,50.7,52.55,1992681
"2016-08-18",53.22,53.52,52.93,53.16,874672
"2016-08-25",51.18,51.89,50.98,51.62,1384867
"2016-09-01",52.96,53.11,52.14,52.63,959371
"2016-09-08",52.68,52.96,52.27,52.33,1097798
"2016-09-15",49.98,50.6,49.5,50.49,1417223
