"","MRO.Open","MRO.High","MRO.Low","MRO.Close","MRO.Volume"
"2014-01-02",35.25,35.33,34.72,34.91,3686485
"2014-01-09",34.39,34.93,34.18,34.5,4378304
"2014-01-16",34.01,34.3,33.98,34.17,3732865
"2014-01-23",34.06,34.36,33.65,33.71,4617131
"2014-01-30",33.18,33.36,32.92,33.04,2969418
"2014-02-06",31.68,32.95,31.57,31.81,9408513
"2014-02-13",33.02,33.42,32.72,33.27,6756007
"2014-02-20",33.34,33.7,33.27,33.48,4224744
"2014-02-27",33.23,33.8,33.05,33.32,6228162
"2014-03-06",33.71,34.18,33.57,33.82,7479120
"2014-03-13",33.55,33.61,32.76,32.87,6292286
"2014-03-20",33.34,33.85,33.12,33.82,4839841
"2014-03-27",34.5,34.83,34.36,34.49,5565123
"2014-04-03",35.53,35.81,35.4,35.71,4366275
"2014-04-10",35.51,35.67,35.26,35.4,5292134
"2014-04-17",36.5,36.85,36.48,36.73,8062194
"2014-04-24",36.59,36.63,36.34,36.38,10106508
"2014-05-01",36.23,36.37,35.98,36.32,6837391
"2014-05-08",35.66,35.8,35.49,35.7,7721590
"2014-05-15",36.53,36.53,35.92,36.22,5648641
"2014-05-22",35.95,36.5,35.87,36.18,5510464
"2014-05-29",36.65,36.7,36.3,36.66,3820764
"2014-06-05",36.66,37.1,36.51,37.07,6834764
"2014-06-12",38.7,39.35,38.58,39.15,10010836
"2014-06-19",38.98,39.3,38.84,39.3,5660609
"2014-06-26",39.72,39.79,39.28,39.63,5189932
"2014-07-03",39.87,40.33,39.83,40.32,3335237
"2014-07-10",39.21,39.66,39.02,39.39,5851619
"2014-07-17",40.02,40.38,39.5,39.52,3801048
"2014-07-24",40.42,40.74,40.39,40.71,4734790
"2014-07-31",39.36,39.49,38.72,38.75,5271027
"2014-08-07",38.41,38.75,37.9,38.09,7313647
"2014-08-14",39.34,39.43,38.97,39,6960153
"2014-08-21",40,40.29,39.78,40.29,4275771
"2014-08-28",40.7,40.96,40.59,40.91,4447521
"2014-09-04",41.22,41.52,40.32,40.53,8240000
"2014-09-11",39.63,40.17,39.45,40.02,4483877
"2014-09-18",40.41,40.5,39.32,39.32,7756772
