"","RE.Open","RE.High","RE.Low","RE.Close","RE.Volume"
"2011-09-15",79.44,79.78,78.28,79.78,283039
"2011-09-22",77.19,77.54,75.38,76.27,686692
"2011-09-29",79.01,79.34,77.59,79.26,269212
"2011-10-06",79.62,80.47,78.98,80.42,473711
"2011-10-13",79.63,79.63,77.59,78.15,392382
"2011-10-20",80.9,82.76,80.26,82.65,559598
"2011-10-27",89.98,91.5,88.84,90.39,571336
"2011-11-03",90.86,91.8,89.95,91.45,311517
"2011-11-10",91.42,91.62,89.36,89.55,573429
"2011-11-17",86.74,87.41,85.82,85.98,266423
"2011-12-01",87.73,87.73,85.22,85.38,411618
"2011-12-08",84.36,84.65,82.97,83.08,295033
"2011-12-15",81.47,81.47,79.64,79.84,595984
"2011-12-22",81.99,82.1,81.54,82.05,503579
"2011-12-29",85.21,85.51,84.88,85.33,195236
"2012-01-05",83.19,84.11,82.16,83.9,264267
"2012-01-12",86.4,86.7,85.19,85.83,312008
"2012-01-19",85.25,85.29,84.63,85.24,289878
"2012-01-26",85.92,86.65,85.7,86.39,305660
"2012-02-02",88.43,88.73,87.41,87.61,235710
"2012-02-09",85.99,89.39,84.75,88.77,793067
"2012-02-16",89.35,90.22,89.25,89.65,443191
"2012-02-23",89.37,89.92,88.87,89.36,317591
"2012-03-01",88.58,89.44,87.65,89.17,303821
"2012-03-08",89.78,90.49,89.21,90.35,521741
"2012-03-15",92.85,93.48,92.55,93.31,189014
"2012-03-22",92.34,92.71,91.99,92.25,238130
"2012-03-29",93.4,93.6,92.71,93.33,168775
"2012-04-05",93.13,94.16,93.1,93.94,162380
"2012-04-12",93.51,94.35,93.05,94.29,154339
"2012-04-19",92.9,94.84,92.9,94.17,358628
"2012-04-26",96.51,100.15,96.51,99.74,1447290
"2012-05-03",99.57,101.14,99.57,100.54,948707
"2012-05-10",102.59,103,102.05,102.43,351254
"2012-05-17",100.26,100.36,98.19,98.58,551400
"2012-05-24",99.76,101.69,99.54,101.69,420684
"2012-05-31",101.05,102.82,100.19,102.12,646936
"2012-06-07",104.31,105.35,100.99,103.34,501983
"2012-06-14",102.25,104.06,102.11,103.51,382769
"2012-06-21",104.43,105.11,102.46,102.76,344751
"2012-06-28",104.08,105.17,103.42,105.13,414336
"2012-07-05",106.35,106.68,104.78,104.93,485965
"2012-07-12",102.78,104.22,102.26,103.98,354395
"2012-07-19",104.28,104.68,103.04,103.13,378098
"2012-07-26",103.5,103.5,101.19,101.81,433158
"2012-08-02",101.18,102.79,100.87,102.79,269869
"2012-08-09",103.24,104.9,103.14,103.51,180877
"2012-08-16",104.07,105.03,103.72,104.9,167667
"2012-08-23",103.41,103.65,101.99,102.83,271512
"2012-08-30",103.12,103.63,102.69,103.27,229606
"2012-09-06",107.01,109.15,107.01,108.69,398735
"2012-09-13",108.92,110.43,108.89,110.11,206131
"2012-09-20",109.65,110.38,109.34,109.54,316739
"2012-09-27",107.2,107.58,106.35,107.13,257095
"2012-10-04",108.55,109.24,108.32,109.07,297673
"2012-10-11",110.25,110.25,109.61,109.69,194447
"2012-10-18",112,114.25,111.94,112.78,331006
"2012-10-25",112.5,114.6,112.5,114.6,617051
"2012-11-01",111.38,112.5,109.37,109.7,487105
"2012-11-08",106.58,107.66,106.11,106.15,341698
"2012-11-15",103.61,103.86,101.66,101.72,428466
"2012-11-29",107.93,108.45,106.69,107.33,289642
"2012-12-06",108.96,109.68,107.77,109.07,252675
"2012-12-13",108.6,108.81,106.73,106.79,354751
"2012-12-20",109.47,110.05,108.04,108.68,365512
"2012-12-27",108.66,109.66,108.5,109.23,376365
"2013-01-03",111.2,112.9,111.11,112.81,523448
"2013-01-10",112.74,113.02,111.71,113.01,222970
"2013-01-17",113.04,113.09,112.2,112.47,522794
"2013-01-24",113.68,114.9,113.53,114.67,174351
"2013-01-31",115.57,116.42,115.57,115.81,294095
"2013-02-07",118.45,118.63,116.92,118.56,405442
"2013-02-14",120.54,121.32,120.06,120.45,322613
"2013-02-21",122.4,125.87,122.4,124.51,860696
"2013-02-28",124.99,126.26,124.53,124.61,482630
"2013-03-07",127.36,128.37,126.98,127.25,304397
"2013-03-14",128.35,128.91,128.2,128.91,143199
"2013-03-21",128.9,130.01,128.68,129.2,348397
"2013-03-28",128.76,129.86,127.94,129.86,475901
"2013-04-04",127.77,128.08,126.66,127.62,287399
"2013-04-11",128.27,129.43,128.12,128.69,170236
"2013-04-18",124.64,124.96,123.22,124.15,293151
"2013-04-25",132.05,133.15,131.16,133.05,358421
"2013-05-02",133.47,133.94,130.63,133.29,611405
"2013-05-09",136.15,136.35,134.81,135.29,464385
"2013-05-16",134.66,134.66,129.73,130.62,1160021
"2013-05-23",128.12,128.34,127.11,127.64,627547
"2013-05-30",128.31,129.79,127.8,129.76,410572
"2013-06-06",126.32,127.69,125.54,127.69,288806
"2013-06-13",126.81,129.66,126.43,129.55,279411
"2013-06-20",126.91,127.38,125.82,125.94,413172
"2013-06-27",126.84,128.99,126.45,128.7,230144
"2013-07-11",129.07,129.1,127.83,128.97,255344
"2013-07-18",130.5,130.52,129.32,129.96,542357
"2013-07-25",129.49,130.86,128.6,130.86,671155
"2013-08-01",134.64,136.2,133.49,135.34,590941
"2013-08-08",134.12,134.15,133.01,133.67,173173
"2013-08-15",137.7,139.35,136.96,138.23,642555
"2013-08-22",137.19,138.99,136.57,138.64,113492
"2013-08-29",136.71,137.64,136.36,137.34,247374
"2013-09-05",138.48,139.17,135.54,135.74,607605
"2013-09-12",139.1,139.73,137.66,138.11,260270
"2013-09-19",141.73,142.13,140.52,140.98,240120
"2013-09-26",145.68,146.87,144.95,145.51,246527
"2013-10-03",149.02,149.69,146.57,147.07,347447
"2013-10-10",146.32,148.02,145.34,147.41,334494
"2013-10-17",149.8,152.45,149.8,152.1,365848
"2013-10-24",148.5,150.76,145.06,147.87,593128
"2013-10-31",153.65,154.23,152.58,153.74,437215
"2013-11-07",155.47,155.88,154.13,154.25,317119
"2013-11-14",159.54,159.66,157.81,158.17,249579
"2013-11-21",157.52,157.64,155.99,157.12,356687
"2013-12-05",153.17,154.28,150.92,153.17,385873
"2013-12-12",150.7,151.99,150.26,151.56,258719
"2013-12-19",149.29,151.03,148.39,150.24,526230
"2013-12-26",153.85,153.9,152.93,153.48,111774
"2014-01-02",155.05,155.39,149.6,151.07,547822
"2014-01-09",148.92,149.49,147.51,148.3,669710
"2014-01-16",148.03,148.66,146.62,147.26,357867
"2014-01-23",149.18,149.81,146.08,146.41,352582
"2014-01-30",145.36,148.28,144.85,148.12,259264
"2014-02-06",144,144.87,136.84,137.48,900117
"2014-02-13",143.54,146.83,143.3,146.76,448607
"2014-02-20",149.24,150.3,148.75,149.31,264828
"2014-02-27",148.04,149.6,146.84,149.14,502887
"2014-03-06",149.01,149.67,148.57,148.98,409575
"2014-03-13",149.91,150.38,148.93,149.14,383690
"2014-03-20",150.37,151.16,150.03,150.58,182156
"2014-03-27",150.33,150.49,148.35,148.89,368980
"2014-04-03",152.95,154.01,151.94,153.76,305233
"2014-04-10",154.26,155.85,153.24,153.36,383636
"2014-04-17",156.69,158.72,156.54,158.41,301432
"2014-04-24",161.2,161.52,157.08,157.49,842185
"2014-05-01",158.6,160.23,157.76,160.1,258021
"2014-05-08",160.08,161.29,159.44,159.83,267335
"2014-05-15",156.62,157.83,155.92,156.8,534937
"2014-05-22",158.83,159.9,157.49,159.46,319710
"2014-05-29",160.11,160.77,159.26,160,342616
"2014-06-05",161.82,162.25,160.72,161.87,215838
"2014-06-12",160.66,160.92,158.42,159.55,448372
"2014-06-19",160.49,160.98,159.38,159.72,192191
"2014-06-26",159.78,160.93,157.21,158.54,274748
"2014-07-03",160.99,162.11,160.11,162.1,122677
"2014-07-10",163.01,163.93,161.47,163.68,396146
"2014-07-17",163.3,163.76,161.1,161.15,261702
"2014-07-24",161.4,163.54,160.26,162.66,609291
"2014-07-31",155.77,157.21,155.49,155.91,574890
"2014-08-07",158.88,159.12,157.58,158.04,206803
