"","ALLE.Open","ALLE.High","ALLE.Low","ALLE.Close","ALLE.Volume"
"2016-07-07",68.49,68.99,68.07,68.64,333146
"2016-07-14",71.07,71.42,70.85,71.01,462453
"2016-07-21",71.93,71.95,71.38,71.56,257318
"2016-07-28",72.75,73.42,72.15,72.78,841059
"2016-08-04",71.23,71.79,70.92,71,658810
"2016-08-11",71.49,72.07,71.41,71.81,489974
"2016-08-18",71.58,72.1,71.39,71.89,283425
"2016-08-25",71.69,72.19,71.48,72.09,310379
"2016-09-01",71.32,71.88,70.72,71.84,534715
"2016-09-08",70.68,70.91,69.72,69.88,516445
"2016-09-15",66.05,67.13,65.99,66.85,1716793
