"","HCP.Open","HCP.High","HCP.Low","HCP.Close","HCP.Volume"
"2011-09-15",36.27,36.74,35.97,36.74,2991577
"2011-09-22",34.57,35.37,34.32,34.99,5370567
"2011-09-29",35.6,35.99,35.16,35.99,3436736
"2011-10-06",34.84,35.78,34.53,35.78,3841328
"2011-10-13",36.26,36.26,35.32,35.75,3808673
"2011-10-20",36.48,36.99,35.88,36.93,4741693
"2011-10-27",39.04,39.85,38.45,39.35,6261727
"2011-11-03",39.12,39.6,38.37,39.48,2854619
"2011-11-10",38.08,38.1,37.26,37.71,3771515
"2011-11-17",37.94,38.15,37.21,37.38,2987505
"2011-12-01",38.52,38.52,37.86,38.08,1806043
"2011-12-08",38.28,38.37,37.82,37.98,2952713
"2011-12-15",38.96,39.09,38.69,38.9,3109079
"2011-12-22",40.25,40.83,40.18,40.77,2353938
"2011-12-29",41.54,41.94,41.27,41.76,1661971
"2012-01-05",40.25,40.66,40.18,40.45,3789129
"2012-01-12",40.93,40.94,40.29,40.81,2346402
"2012-01-19",41.74,41.81,41.37,41.38,2376756
"2012-01-26",41.43,42.12,41.43,42.03,3739743
"2012-02-02",41.7,41.88,41.12,41.22,2399367
"2012-02-09",42.51,42.75,41.79,41.9,2250813
"2012-02-16",40,40.63,39.97,40.07,3188033
"2012-02-23",39.03,39.62,38.93,39.62,3452970
"2012-03-01",39.44,39.84,39.34,39.78,2199104
"2012-03-08",39.69,39.69,38.92,39.05,2176867
"2012-03-15",40.57,40.76,40.12,40.32,2580063
"2012-03-22",39.8,39.94,39.48,39.5,5110810
"2012-03-29",39.52,39.65,39.27,39.56,2028676
"2012-04-05",38.66,38.87,38.42,38.62,1882728
"2012-04-12",38.52,39.08,38.33,39.08,2246216
"2012-04-19",39.37,39.41,38.87,39.07,1632999
"2012-04-26",40.71,41.37,40.61,41.36,2892271
"2012-05-03",40.97,41.14,40.76,40.77,1922998
"2012-05-10",41.39,41.45,40.98,41.36,2421711
"2012-05-17",40.98,41.1,40.34,40.35,3178232
"2012-05-24",41.04,41.33,40.73,41.3,1713930
"2012-05-31",40.58,41.18,40.25,40.84,3384272
"2012-06-07",41.41,41.46,40.63,40.74,3985327
"2012-06-14",41.45,42.72,41.27,42.55,3733609
"2012-06-21",42.92,43.06,42.35,42.43,2739609
"2012-06-28",42.73,43.37,42.34,43.3,2102998
"2012-07-05",44.55,44.7,43.94,44.09,2063594
"2012-07-12",43.96,45,43.8,44.75,2927901
"2012-07-19",46.06,46.1,45.23,45.63,1798094
"2012-07-26",46.68,47.75,46,46.44,2214289
"2012-08-02",46.36,46.43,45.95,46.3,2465204
"2012-08-09",45.56,45.93,45.47,45.57,1962912
"2012-08-16",45.44,45.47,45.06,45.29,2066478
"2012-08-23",45.13,45.17,44.37,44.4,2638621
"2012-08-30",45.07,45.76,44.95,45.63,1861591
"2012-09-06",46.8,47.06,46.48,47.03,2687762
"2012-09-13",46.68,47.1,46.59,47,2829017
"2012-09-20",44.9,45.28,44.77,45.07,2967505
"2012-09-27",44.42,44.8,44.37,44.48,1930556
"2012-10-04",45.45,45.56,45.1,45.26,1793499
"2012-10-11",45.73,45.73,45.2,45.27,1941343
"2012-10-18",44.83,45.49,44.76,45.42,7132245
"2012-10-25",45.03,45.23,44.07,44.29,2998957
"2012-11-01",44.22,44.22,43.31,43.42,3787859
"2012-11-08",44.27,44.28,43.95,43.97,3369591
"2012-11-15",43.91,44.17,43.55,43.78,2134283
"2012-11-29",45.1,45.12,44.38,44.97,3086002
"2012-12-06",44.99,45.25,44.89,45.04,2130945
"2012-12-13",45.18,45.36,44.27,44.49,2358358
"2012-12-20",44.59,45.04,44.55,45,2475479
"2012-12-27",44.92,45.21,44.59,45.14,1563331
"2013-01-03",45.56,45.68,45.22,45.6,2703901
"2013-01-10",45.74,46.07,45.59,45.95,2570725
"2013-01-17",46.1,46.39,45.97,46.25,1958432
"2013-01-24",46.56,46.58,46.35,46.51,1706754
"2013-01-31",46.48,46.51,46.15,46.39,2970779
"2013-02-07",46.61,46.77,46.26,46.47,1688977
"2013-02-14",47.09,47.3,47.02,47.15,1655081
"2013-02-21",47.99,48.25,47.76,48.15,2371237
"2013-02-28",48.65,49.18,48.63,48.88,4188668
"2013-03-07",49.51,49.66,49.04,49.11,2100331
"2013-03-14",48.77,49.35,48.73,48.9,2337369
"2013-03-21",48.47,48.77,48.33,48.46,2036347
"2013-03-28",49.52,49.91,49.34,49.86,2872368
"2013-04-04",50.44,50.96,50.38,50.9,2292762
"2013-04-11",52.03,52.09,51.3,51.46,3115378
"2013-04-18",51.9,51.97,51.17,51.55,2991232
"2013-04-25",53.28,53.3,52.68,52.91,2011852
