"","PNC.Open","PNC.High","PNC.Low","PNC.Close","PNC.Volume"
"2011-09-15",50.36,51.33,50.09,51.27,5419750
"2011-09-22",46.31,47.39,45.95,46.74,7502886
"2011-09-29",49.18,49.8,48.27,49.79,4718087
"2011-10-06",47,49.39,46.33,49.27,13093793
"2011-10-13",51.39,51.77,50.01,51.28,4038028
"2011-10-20",51.79,53.24,51.02,53.1,6795930
"2011-10-27",56.61,56.78,54.89,55.99,6164514
"2011-11-03",53.52,53.73,51.77,53.41,4177430
"2011-11-10",52.66,53.12,52.19,52.65,3816835
"2011-11-17",52.7,53.74,51.74,52.02,4704567
"2011-12-01",53.92,54,52.62,53.47,2505497
"2011-12-08",55.62,56,54.24,54.4,4809432
"2011-12-15",54.65,55.09,53.83,53.9,3175221
"2011-12-22",56.96,58.3,56.96,58,3647143
"2011-12-29",57.56,58.36,57.56,58.3,2570379
"2012-01-05",58.99,60.25,58.56,59.81,4180372
"2012-01-12",61.66,62.13,60.86,62.09,3768392
"2012-01-19",59.36,59.81,59.16,59.4,5972658
"2012-01-26",60,60.72,58.51,58.9,3932518
"2012-02-02",59.94,60.14,59.7,59.81,2780600
"2012-02-09",60.66,61,59.9,60.39,2785594
"2012-02-16",59.51,60.71,59.09,60.7,2423213
"2012-02-23",59.69,59.92,59.35,59.68,3134589
"2012-03-01",59.7,60.69,59.61,60.29,2959659
"2012-03-08",58.15,58.87,57.84,58.73,2651295
"2012-03-15",61.4,63.22,60.75,63,5861642
"2012-03-22",62.98,63.12,62.2,62.6,3077907
"2012-03-29",63.42,64.07,63,63.95,4196548
"2012-04-05",63.55,64.24,63.16,63.53,3265009
"2012-04-12",62.57,63.57,62.32,63.41,3265784
"2012-04-19",63.96,64.84,63.96,64.6,5543524
"2012-04-26",66,67.26,65.91,67.22,3361870
"2012-05-03",66.79,66.82,66.09,66.27,2335972
"2012-05-10",65.33,66.07,65.22,65.53,2324138
"2012-05-17",62.42,62.76,61.64,61.64,3473068
"2012-05-24",62.25,62.31,61.26,62.2,2638168
"2012-05-31",61.44,62.01,60.58,61.42,2990985
"2012-06-07",59.22,59.64,58.54,58.63,4203436
"2012-06-14",57.98,58.22,57.39,57.9,3391920
"2012-06-21",60.05,60.6,58.56,58.64,2378290
"2012-06-28",59.2,59.59,58.51,59.51,2195594
"2012-07-05",61.76,62.13,60.99,61.09,1906686
"2012-07-12",60.36,60.68,60.14,60.35,2535011
"2012-07-19",60.86,62.14,60.77,61.32,3730615
"2012-07-26",58.64,58.84,57.97,58.44,4990943
"2012-08-02",58.35,58.56,57.8,58.5,3973308
"2012-08-09",60.89,61.25,60.52,60.77,1825510
"2012-08-16",61,61.77,60.77,61.55,1906655
"2012-08-23",62.11,62.19,61.7,61.83,1853243
"2012-08-30",62.1,62.26,61.65,62.04,1177595
"2012-09-06",61.98,63.13,61.94,63.01,3421326
"2012-09-13",64.02,65.92,63.66,65.74,4091472
"2012-09-20",65.64,65.89,65.09,65.74,2806072
"2012-09-27",63.73,64.27,63.4,63.83,2698797
"2012-10-04",64.77,64.93,64.34,64.75,3578820
"2012-10-11",65.1,65.19,64.75,64.95,2384147
"2012-10-18",59.73,60.33,59.64,59.84,5057180
"2012-10-25",58.5,58.73,57.74,58.44,4653154
"2012-11-01",58.16,59.33,57.77,59.25,3956427
"2012-11-08",56.75,57.65,56.25,56.25,3646315
"2012-11-15",53.82,54.8,53.75,54.37,5110037
"2012-11-29",55.48,55.74,55.21,55.35,2294483
"2012-12-06",55.9,55.94,55.02,55.33,3861049
"2012-12-13",56.56,56.81,56.37,56.54,3851917
"2012-12-20",58.63,59.21,58.55,59.17,3746931
"2012-12-27",58.06,58.28,57.37,57.95,2467071
"2013-01-03",59.54,59.92,59.23,59.75,3823362
"2013-01-10",60.5,61.15,60.25,61.14,3386074
"2013-01-17",61.01,62.38,60.7,62.01,7116005
"2013-01-24",61.93,62.18,61.46,61.86,4158194
"2013-01-31",61.79,62.02,61.43,61.8,2969188
"2013-02-07",63.25,63.85,62.98,63.65,2742868
"2013-02-14",63.89,64.22,63.7,63.87,2176125
"2013-02-21",62.92,63.59,62.34,62.39,4957865
"2013-02-28",61.64,62.61,61.57,62.39,3832256
"2013-03-07",64.3,64.99,64.16,64.81,2668097
"2013-03-14",66.02,66.48,65.82,66.26,2127761
"2013-03-21",66.33,66.62,65.83,66.03,2724472
"2013-03-28",66.06,66.58,65.8,66.5,2089761
"2013-04-04",65.38,65.99,65,65.6,2483577
"2013-04-11",67.28,67.57,66.96,67.31,2878864
"2013-04-18",65.26,65.95,64.76,65.24,4073497
"2013-04-25",68.69,69.65,68.52,68.7,6241308
"2013-05-02",67.22,67.55,67.03,67.18,2393679
"2013-05-09",68.96,69.09,68.5,68.72,2712225
"2013-05-16",70.53,71.04,70.35,70.46,2097401
"2013-05-23",70.52,71.19,70.09,70.94,2443531
"2013-05-30",71.77,73.23,71.52,72.88,2864660
"2013-06-06",69.57,70.29,69.15,70.27,2035646
"2013-06-13",70.84,71.85,70.11,71.76,2017273
"2013-06-20",70.35,71.69,70.15,71.05,4516009
"2013-06-27",73.7,74.13,73.43,73.63,2128903
"2013-07-11",75.16,75.17,73.46,74.1,2788598
"2013-07-18",73.91,76.14,73.71,75.91,3273308
"2013-07-25",76.43,76.96,75.8,76,2692981
"2013-08-01",76.8,77.83,76.43,77.65,3008606
"2013-08-08",76.18,76.67,75.54,76.22,1776855
"2013-08-15",75.25,75.7,74.53,74.92,1757975
"2013-08-22",74.48,75.28,74.37,74.99,1457077
"2013-08-29",72.36,73.13,72,72.58,842692
"2013-09-05",72.54,73.61,72.22,73.35,1144726
"2013-09-12",73.66,73.71,73.03,73.11,1312298
"2013-09-19",74.57,74.82,73.42,74.05,1936489
"2013-09-26",73.13,73.46,72.04,72.44,2064895
"2013-10-03",72.46,72.7,72.01,72.42,2411406
