"","XEC.Open","XEC.High","XEC.Low","XEC.Close","XEC.Volume"
"2011-09-15",67.65,68.3,66.94,68.21,1245546
"2011-09-22",59.45,59.99,57.4,58.65,1639099
"2011-09-29",59.43,59.43,55.76,57.42,996533
"2011-10-06",55.53,57.03,54.65,57.01,1612183
"2011-10-13",58.47,58.64,56.79,58.04,1017392
"2011-10-20",62.95,63.13,60.95,62.29,1771063
"2011-10-27",64.61,67.44,64.3,65.71,1288497
"2011-11-03",69.61,70,59.87,62.33,4118424
"2011-11-10",64.08,66.45,63.1,64.82,1135527
"2011-11-17",67.16,67.99,64.09,64.45,977253
"2011-12-01",66.7,67.92,66.19,66.71,556557
"2011-12-08",70,70.66,66.9,67.2,1117428
"2011-12-15",61.2,61.48,59.63,60.34,1018696
"2011-12-22",62.79,63.58,62.27,63.28,514393
"2011-12-29",61.72,62.58,61.42,62.28,541668
"2012-01-05",63.62,63.7,61.72,62.39,1116050
"2012-01-12",60.34,61.23,60.24,60.8,1739978
"2012-01-19",61.41,62.87,59.01,59.28,1722407
"2012-01-26",60.21,60.49,57.07,57.53,1283455
"2012-02-02",58.72,59.79,58.32,59.77,1013210
"2012-02-09",67.98,68.14,66.72,67.99,943653
"2012-02-16",79.66,81.14,79.52,80.96,2597393
"2012-02-23",83.72,86.5,82.59,86.4,1047178
"2012-03-01",81.24,83.14,81.1,82.97,1007365
"2012-03-08",79.84,81.69,78.68,81.44,1062095
"2012-03-15",80.16,81.21,79.18,80.21,513214
"2012-03-22",78.18,78.18,74.73,75.78,1268645
"2012-03-29",75.03,75.48,73.34,75.08,713468
"2012-04-05",72.25,73.16,70.8,71.14,682139
"2012-04-12",68.8,71.2,68.45,70.94,797473
"2012-04-19",66.32,66.95,64.76,65.01,1156238
"2012-04-26",66.7,68.68,65.87,67.75,2433629
"2012-05-03",67.05,68.24,64.08,64.73,1320409
"2012-05-10",66.67,67.77,65.08,65.28,661005
"2012-05-17",57.56,58,55.78,55.97,886340
"2012-05-24",57,57,53.17,54.21,1228719
"2012-05-31",53.16,53.61,51.59,53.27,1029462
"2012-06-07",52.15,52.45,50,50.12,695990
"2012-06-14",47.05,48.17,46.67,48.03,1085695
"2012-06-21",51.19,51.79,48.78,49,1480255
"2012-06-28",48.96,50.94,48.86,50.71,1027396
"2012-07-05",55.58,56.3,54.59,55.26,693502
"2012-07-12",51.75,52.01,50.03,51.19,1396186
"2012-07-19",58.42,60.32,58.37,59.54,1397369
"2012-07-26",55.02,56.19,54.35,55.66,744245
"2012-08-02",55.72,58.08,53.88,54.13,1458346
"2012-08-09",59.35,61.81,58.86,61.27,818726
"2012-08-16",61.78,62.16,61.28,61.72,649407
"2012-08-23",59.3,59.88,57.95,58,575873
"2012-08-30",57.29,57.49,56.54,56.68,474670
"2012-09-06",57.22,59.99,57.22,59,937117
"2012-09-13",60.54,61.6,59.52,61.34,983679
"2012-09-20",61.02,62.07,60.75,61.89,581482
"2012-09-27",58.05,59.01,57.84,58.83,602341
"2012-10-04",58.4,58.5,57.6,57.7,2246244
"2012-10-11",60.24,61.9,60.19,60.89,1266820
"2012-10-18",63.6,64.01,62.6,63.74,1020834
"2012-10-25",59.16,59.33,57.47,58.55,494031
"2012-11-01",57.78,59.24,57.2,59.24,1639880
"2012-11-08",60.75,61.03,58.97,58.98,718593
"2012-11-15",60.48,61.14,60.13,60.77,925336
"2012-11-29",61.48,61.62,60.15,60.63,532610
"2012-12-06",60.8,60.88,59.65,59.87,939212
"2012-12-13",57.71,57.75,56.45,56.72,809418
"2012-12-20",58.62,59.42,58.46,59.28,745995
"2012-12-27",56.94,57.17,55.89,57.04,550670
"2013-01-03",58.28,60.66,58.04,59.34,690067
"2013-01-10",60.79,61.11,59.76,61,909856
"2013-01-17",63,63.1,62.28,62.96,613120
"2013-01-24",63.11,63.66,62.88,63.23,812141
"2013-01-31",63.46,64.18,62.52,63.86,630147
"2013-02-07",66.47,66.5,65.48,65.96,451153
"2013-02-14",67.42,68.14,67.24,67.25,829450
"2013-02-21",68.52,68.9,66.56,68.81,1917866
"2013-02-28",68.11,68.46,66.95,67.31,826197
"2013-03-07",65.1,67.57,65,67.49,711324
"2013-03-14",74.17,77,74.11,76.86,1138533
"2013-03-21",74.37,75.14,73.44,74.29,1061268
"2013-03-28",75.75,76.18,75.16,75.44,628829
"2013-04-04",68.65,69.75,68.05,69.72,880386
"2013-04-11",72.63,73.19,71.78,73.07,544517
"2013-04-18",69.28,71.73,68.17,70.67,1032227
"2013-04-25",72.7,74.3,71.88,71.98,863627
"2013-05-02",72.1,72.54,70.88,71.9,934634
"2013-05-09",72.8,73.29,71.42,71.74,763008
"2013-05-16",69.94,70.13,68.75,68.82,897851
"2013-05-23",68.41,71.69,67.92,71.62,1072197
"2013-05-30",73.09,73.09,71.98,72.59,442161
"2013-06-06",71.03,72.67,71.02,72.59,945596
"2013-06-13",71.07,72.09,70.8,71.77,843643
"2013-06-20",69.33,69.42,65.99,66.94,1645884
"2013-06-27",67.98,68.6,65.5,65.57,707375
"2013-07-11",71.37,72.54,70.27,71.28,778463
"2013-07-18",73.26,74.53,72.98,74.53,810434
"2013-07-25",74.64,76.13,74.64,75.48,689020
"2013-08-01",77.52,81.87,77.4,80.48,1406879
"2013-08-08",78.75,80.15,78.29,79.78,746770
"2013-08-15",79.16,80.12,78.59,79.17,694102
"2013-08-22",78.88,81.28,78.53,80.78,420937
"2013-08-29",85.04,85.38,83.97,84.75,865962
"2013-09-05",85.29,86.86,85.21,85.92,699109
"2013-09-12",90.59,92.18,89.81,90.97,878869
"2013-09-19",91.5,92.14,91.34,91.63,973493
"2013-09-26",95.5,95.8,93.88,95.79,634509
"2013-10-03",99.51,99.71,97.76,99.44,1005694
"2013-10-10",96.67,99.17,96.02,98.52,1062225
"2013-10-17",105.79,107.87,105.24,106.48,1128381
"2013-10-24",102.69,105.87,101.33,105.5,1013960
"2013-10-31",106.3,107.29,103.71,105.35,1401490
"2013-11-07",100.54,101.42,94.73,100.57,3027405
"2013-11-14",102.68,103.7,101.55,102.73,719052
"2013-11-21",98.6,99.69,97.14,99.38,1048108
"2013-12-05",97.34,99.75,97.11,98.79,1101265
"2013-12-12",95.48,97.96,95.12,97.14,667929
"2013-12-19",100.17,102.72,98.06,102.6,704295
"2013-12-26",103.78,104.17,102.14,102.67,301520
"2014-01-02",102.78,104.59,99.48,100.52,1153133
"2014-01-09",100.71,100.71,95.71,96.94,1288011
"2014-01-16",98.68,102.35,98.61,101.9,893167
"2014-01-23",104.59,105.74,102.05,102.48,619265
"2014-01-30",98.8,99.07,97.28,97.73,728977
"2014-02-06",100.03,104.14,99.55,103.05,1549281
"2014-02-13",106.96,111.52,105.76,110,1225562
"2014-02-20",110.93,116.73,110.63,113.92,1833021
"2014-02-27",111,114.83,110.79,114.36,1325892
"2014-03-06",112.88,113.72,111.79,112.09,1053449
"2014-03-13",110.38,110.75,108.33,109.71,850283
"2014-03-20",114.02,116.68,112.65,116.42,1445340
"2014-03-27",115.61,117.34,114.21,116.72,1159781
"2014-04-03",118.49,119.32,116.19,116.7,1274676
"2014-04-10",116.53,117.1,113.87,114.41,1038656
"2014-04-17",118.85,121.46,118.33,121.02,1199318
"2014-04-24",123.22,124.49,121.9,122.6,715699
"2014-05-01",118.89,120,117.29,118.22,592071
"2014-05-08",129.98,132.23,127.27,127.29,1467702
"2014-05-15",127.09,127.45,122.6,125.11,1190753
"2014-05-22",129.16,130.36,127.82,128.1,783768
"2014-05-29",129.69,131.17,128.75,130.96,660248
"2014-06-05",132.44,133.81,131.11,132.72,690473
"2014-06-12",136.79,139.95,134.52,135.77,1537730
"2014-06-19",139.17,139.46,137.14,138.46,1262559
"2014-06-26",140.91,142.68,140.04,142.58,793634
"2014-07-03",141.5,141.67,139.6,141.27,522626
"2014-07-10",142.37,144.58,140.71,142.61,1015079
"2014-07-17",143.18,144.29,139.23,139.5,1098822
"2014-07-24",148.92,150.71,147.42,148.77,1497005
"2014-07-31",143.3,144.02,138.47,139.02,1526268
"2014-08-07",138.91,138.94,133.4,134.13,1578828
"2014-08-14",136.5,136.56,132.01,133.22,1181914
"2014-08-21",134.56,135.63,132.42,135.05,1028674
"2014-08-28",141.2,143.36,140.59,142.97,539607
"2014-09-04",142.88,143.5,137.87,138.77,940678
"2014-09-11",133.74,135.85,132.6,135.41,1089462
"2014-09-18",136.96,138.11,134.06,134.13,1898345
"2014-09-25",129.2,129.2,126.15,126.27,857192
"2014-10-02",122.55,124.16,119.46,123.16,1229695
"2014-10-09",116.27,116.76,111.97,113.44,2030573
"2014-10-16",103.86,110.31,103.3,109.74,1859185
"2014-10-23",108.82,113.07,107.19,111.23,1884774
"2014-10-30",111,112.94,108.94,109.85,1669729
"2014-11-06",109.85,115.15,109.37,114.8,1471625
"2014-11-13",113.72,115.03,112.58,113.95,1881304
"2014-11-20",116.07,120.3,115.84,119.59,1119549
"2014-12-04",105.55,108.13,105.2,107.17,1517504
"2014-12-11",100.6,103.03,98.31,98.58,1262104
"2014-12-18",111,113.16,104.32,108.67,1884966
"2015-01-08",98.71,101,96.5,100.53,1508589
"2015-01-15",98.13,98.79,91.74,91.89,2084351
"2015-01-22",103.06,103.58,99.5,102.51,1512684
"2015-01-29",101.14,101.55,96.39,100.64,1517322
"2015-02-05",111.23,113,109.74,112.29,1576946
"2015-02-12",108.7,112.5,108.7,110.97,1640787
"2015-02-19",109,118.87,107.75,117.07,2528132
"2015-02-26",115.45,116.36,110.75,112.69,1533892
"2015-03-05",108.88,111.3,108.74,111.1,737070
"2015-03-12",108.33,108.65,106.79,106.93,732745
"2015-03-19",109.3,109.97,106.95,107.23,1148209
"2015-03-26",113.23,115.9,113.09,113.58,1163997
"2015-04-02",115.52,118.99,115.32,118.65,1782348
"2015-04-09",122.72,126.47,122.33,125.82,1109941
"2015-04-16",128.65,131.58,127.53,128.69,1179769
"2015-04-23",124.33,125.86,123.48,123.69,1011951
"2015-04-30",126.82,127.59,123.21,124.4,895168
"2015-05-07",119.89,120.31,117.59,118.54,1480245
"2015-05-14",117.43,117.97,114.68,114.82,756694
"2015-05-21",117.15,120.41,116.31,119.73,1298281
"2015-05-28",116.46,116.64,112.75,114.36,1233703
"2015-06-04",113.97,115.47,113.63,114.79,995495
"2015-06-11",121.47,121.95,119.56,119.86,848605
"2015-06-18",120.86,121.11,118.98,119.13,882265
"2015-06-25",116.75,117.49,115.45,115.76,699553
"2015-07-02",108.54,109,107.1,107.39,1013883
"2015-07-09",106.03,106.54,104.69,105.66,873940
"2015-07-16",106.6,107.11,105.1,105.49,870778
"2015-07-23",103.95,105.77,103,105.12,1021073
"2015-07-30",105.1,107.23,104.43,105.77,938406
"2015-08-06",107.27,113.58,106.5,112.85,2004242
"2015-08-13",117.5,118.15,114.34,115.35,1649376
"2015-08-20",112.28,112.91,108.94,109.72,1509394
"2015-08-27",103.6,107.28,102.12,105.13,2039807
"2015-09-03",108.67,111.65,106.97,108.19,1050670
"2015-09-10",107.99,109,105.48,108.71,890337
"2015-09-17",109.33,111.59,108.26,109,1220830
"2015-09-24",100.96,103,99.85,102.46,855172
"2015-10-01",104.42,106.29,102.69,103.77,1451409
"2015-10-08",117.06,123.16,116.36,122.2,2189231
"2015-10-15",119.4,122.12,118.81,121.88,941191
"2015-10-22",115.61,118.09,114.91,117.82,957318
"2015-10-29",116.1,119.47,116.01,117.81,1086845
"2015-11-05",115.68,119.28,114.83,115.94,1373344
"2015-11-12",112.4,114.84,111.75,112.62,1240669
"2015-11-19",117.43,118.81,113.59,115.32,841488
"2015-12-03",116.71,117.79,114.61,115.37,960054
"2015-12-10",103.55,107.42,102.85,106.42,921017
"2015-12-17",100.8,100.86,94.43,95.74,3041696
"2015-12-24",92.59,92.78,90.02,91.6,644554
"2015-12-31",88.91,90.76,88.54,89.38,896538
"2016-01-07",82.8,86.51,81.48,81.86,1517959
"2016-01-14",81.13,85.92,79.59,84.96,2218637
"2016-01-21",77.4,82.19,76.6,80.47,1945854
"2016-01-28",90.5,91.24,86.83,88.88,2394426
"2016-02-04",90.46,92.61,88.55,88.67,1457780
"2016-02-11",81.44,82.11,77.62,81.16,1913503
"2016-02-18",86,86,80.19,82.6,2206775
"2016-02-25",84.36,86.21,81.08,84.53,1823312
"2016-03-03",89.01,91.03,87.36,88.09,1504404
"2016-03-10",91.85,91.93,89.04,91.69,1228469
"2016-03-17",98.6,99.18,97.08,98.14,1106062
"2016-03-24",92.31,96.01,91.34,95.62,1024087
"2016-03-31",96.11,98.08,95.62,97.27,1023858
"2016-04-07",97.92,99.38,97.61,99.01,799648
"2016-04-14",107.04,107.99,105.64,107.92,790739
"2016-04-21",109.77,109.96,106.25,106.82,1158353
"2016-04-28",111.6,113.65,109.52,109.82,798267
"2016-05-05",109.59,113.87,106.83,113.68,2448449
"2016-05-12",115.97,117.66,113.85,115.34,770220
"2016-05-19",114.21,115.74,112.81,115.42,1069157
"2016-05-26",119.8,120.44,118.14,118.54,904603
"2016-06-02",114.53,117.28,113.8,117.23,886042
"2016-06-09",119.67,122.78,119.45,120.33,817448
"2016-06-16",112.65,112.76,109.62,111.37,1138610
"2016-06-23",119.53,120.3,118.65,120.29,548267
"2016-06-30",118.05,119.32,116.65,119.32,1264636
"2016-07-07",117.95,119.5,113.8,114.78,819471
"2016-07-14",119.23,119.95,118.28,119.28,588710
"2016-07-21",119.14,120.8,116.97,117,471531
"2016-07-28",112.51,115.74,112.51,115.15,703373
"2016-08-04",120.55,127.85,120.55,125.41,1855781
"2016-08-11",127.88,131.78,126.94,129.8,1203622
"2016-08-18",130.08,132.03,129.85,130.83,1029620
"2016-08-25",131.96,133.48,131.12,133,601530
"2016-09-01",131.53,134.74,130.21,134.62,913281
"2016-09-08",135.76,136.8,134.47,135.5,756222
"2016-09-15",125.9,128.79,125.06,127.65,712890
