"","CTL.Open","CTL.High","CTL.Low","CTL.Close","CTL.Volume"
"2014-09-15",39.84,39.87,39.46,39.64,3200475
"2014-09-22",40.58,40.99,40.55,40.79,2778036
"2014-09-29",40.01,40.56,39.83,40.4,3763075
"2014-10-06",41.15,41.24,40.64,40.68,3092155
"2014-10-13",39.01,39.17,38.39,38.41,4048675
"2014-10-20",38.9,39.33,38.65,39.28,2033907
"2014-10-27",39.94,40.47,39.94,40.4,2150164
"2014-11-03",41.53,41.97,41.4,41.81,2222062
"2014-11-10",39.49,39.9,39.17,39.84,3590710
"2014-11-17",40.85,41.02,40.38,40.95,2548045
"2014-11-24",40.76,40.8,39.93,40.28,2767932
"2014-12-01",40.82,41.5,40.78,41.1,3648241
"2014-12-08",39.63,40.15,39.59,39.77,2721614
"2014-12-15",37.72,38.14,37.56,37.78,3685440
"2014-12-22",39.6,40.2,39.6,40.19,2419168
"2014-12-29",40.42,40.86,40.41,40.53,2047890
"2015-01-05",39.4,39.58,38.62,38.75,3036874
"2015-01-12",38.5,38.8,38.38,38.65,2586849
"2015-01-26",39.17,39.27,38.75,39,2556616
"2015-02-02",37.32,38.28,37.07,38.22,4684915
"2015-02-09",39.49,40.2,39.47,39.67,11608076
"2015-02-23",37.1,37.12,36.45,36.63,4678707
"2015-03-02",38.06,38.33,37.38,37.63,4453160
"2015-03-09",35.45,35.51,35.12,35.23,3639731
"2015-03-16",34.66,34.7,34.41,34.5,5760632
"2015-03-23",35.36,35.65,35.2,35.32,5637183
"2015-03-30",34.26,34.41,34.04,34.06,4788006
"2015-04-06",35.33,35.61,35.28,35.38,3339699
"2015-04-13",35.77,35.88,35.5,35.58,1819545
"2015-04-20",34.89,35.46,34.8,35.22,2640006
"2015-04-27",36.55,36.57,36.05,36.29,3908251
"2015-05-04",36.15,36.39,35.91,36.02,2613384
"2015-05-11",34.89,34.95,34.25,34.4,4344684
"2015-05-18",34.52,34.72,34.36,34.4,2817213
"2015-06-01",33.24,33.37,32.85,32.87,4816788
"2015-06-08",32.2,32.34,32.05,32.22,3782990
"2015-06-15",32.45,32.5,32.11,32.37,2984948
"2015-06-22",32.64,32.96,32.5,32.65,3486763
"2015-06-29",30.09,30.32,29.5,29.53,6761620
"2015-07-06",29.43,29.62,29.21,29.45,4921684
"2015-07-13",29.86,30.03,29.61,30,3926853
"2015-07-20",30.94,31,30.46,30.5,5489999
"2015-07-27",27.96,28.3,27.5,28.12,5833184
"2015-08-03",28.74,29.03,28.4,28.9,6371921
"2015-08-10",27.82,28.8,27.72,28.76,5873043
"2015-08-17",28.1,28.58,27.96,28.42,3293200
"2015-08-24",25.76,26.69,24.81,25.86,9981625
"2015-08-31",26.98,27.29,26.81,27.04,5484185
"2015-09-14",26.27,26.29,25.81,26.07,3690876
"2015-09-21",25.72,26.07,25.7,25.88,4148456
"2015-09-28",25.2,25.22,24.56,24.61,6891666
"2015-10-05",24.82,25.7,24.8,25.64,4026562
"2015-10-12",25.74,25.88,25.48,25.86,3541350
"2015-10-19",26.73,27.03,26.64,26.92,4420898
"2015-10-26",28.04,28.39,27.95,28.32,4219978
"2015-11-02",28.31,28.46,28.01,28.41,4750264
"2015-11-09",28.5,28.87,28.41,28.81,4403397
"2015-11-16",27.75,28.48,27.69,28.48,3367070
"2015-11-23",27.21,27.48,26.98,27.31,4141099
"2015-11-30",27.06,27.13,26.89,26.93,4372169
"2015-12-07",26.7,27.2,26.49,27.13,5394426
"2015-12-14",24.92,24.92,24.21,24.38,6367977
"2015-12-21",25.29,25.43,24.98,25.16,5599663
"2015-12-28",25.74,25.87,25.47,25.84,3228909
"2016-01-04",24.85,25.23,24.78,25.11,4938951
"2016-01-11",24.18,24.32,23.83,24.12,4971370
"2016-01-25",23.67,24.17,23.49,23.76,7617461
"2016-02-01",25.2,26.07,25.01,25.9,4761225
"2016-02-08",26.28,26.5,25.37,25.63,8979945
"2016-02-22",30.12,30.18,29.72,29.99,5470462
"2016-02-29",30.17,30.82,30.02,30.59,6328725
"2016-03-07",31.44,31.9,31.26,31.77,5095681
"2016-03-14",31.83,32.06,31.68,31.95,3527400
"2016-03-21",31.7,32.01,31.53,31.7,3564920
"2016-03-28",31.31,31.34,30.79,31.08,3157758
"2016-04-04",32.2,32.7,32.15,32.23,5185618
"2016-04-11",32.15,32.38,31.96,32.08,2917062
"2016-04-18",32.12,32.4,31.96,32.22,2990189
"2016-04-25",31.32,31.44,31.01,31.18,3717891
"2016-05-02",31.19,31.5,30.85,31.48,7743053
"2016-05-09",28.54,28.54,27.81,28.21,6057075
"2016-05-16",27.89,28.18,27.78,27.82,3863033
"2016-05-23",27,27.09,26.9,26.91,3987878
"2016-06-06",27.34,27.57,27.14,27.15,4337203
"2016-06-13",26.68,27.18,26.68,26.89,5699862
"2016-06-20",27.69,27.93,27.56,27.57,4314380
"2016-06-27",27.76,27.82,26.57,26.82,7803316
"2016-07-11",30.16,30.51,30.15,30.33,4846266
"2016-07-18",30.62,31,30.21,30.92,4912949
"2016-07-25",30.85,30.98,30.73,30.88,3124337
"2016-08-01",31.43,31.44,30.84,31.02,8014692
"2016-08-08",30.01,30.35,30.01,30.28,3636745
"2016-08-15",30.03,30.15,29.9,30.02,2279672
"2016-08-22",28.86,29.2,28.68,28.93,4620062
"2016-08-29",28.89,29,28.64,28.75,4011342
"2016-09-12",27.63,28.11,27.42,28.04,4771966
