"","QQQ.Open","QQQ.High","QQQ.Low","QQQ.Close","QQQ.Volume"
"2014-12-16",100.97,102.47,99.96,99.98,65348626
"2014-12-17",100.05,102.09,99.92,101.8,79715318
"2014-12-18",103.26,104.26,102.98,104.25,49840942
"2014-12-19",103.97,104.74,103.71,104.32,51419912
"2014-12-22",104.15,104.61,104.1,104.58,33869167
"2014-12-23",104.96,104.97,104.09,104.21,30156929
"2014-12-24",104.34,104.7,104.27,104.3,14291333
"2014-12-26",104.6,105.26,104.57,105.04,13924332
"2014-12-29",104.94,105.25,104.88,105.02,17073772
"2014-12-30",104.72,104.96,104.18,104.32,18603989
"2014-12-31",104.5,104.91,103.1,103.25,24367121
"2015-01-02",103.76,104.2,102.44,102.94,31314599
"2015-01-05",102.49,102.61,101.14,101.43,36521270
"2015-01-06",101.58,101.75,99.62,100.07,66205451
"2015-01-07",100.73,101.6,100.48,101.36,37577361
"2015-01-08",102.22,103.5,102.11,103.3,40212640
"2015-01-09",103.62,103.65,102.02,102.62,41410071
"2015-01-12",102.82,102.93,101.28,101.55,34129751
"2015-01-13",102.54,103.62,100.7,101.52,56162334
"2015-01-14",100.5,101.48,100.07,100.96,51354217
"2015-01-15",101.43,101.59,99.52,99.65,51005416
"2015-01-16",99.52,100.95,99.36,100.82,35362210
"2015-01-20",101.43,101.88,100.29,101.62,30964056
"2015-01-21",101.32,102.62,100.96,102.14,40128772
"2015-01-22",102.54,104.14,101.64,104.03,40887168
"2015-01-23",104.02,104.58,103.72,104.26,34782992
"2015-01-26",104.14,104.33,103.61,104.14,19960870
"2015-01-27",102.5,102.56,101.1,101.44,45253205
"2015-01-28",103.07,103.18,100.9,100.92,43591675
"2015-01-29",100.84,102.08,99.96,101.89,46539734
"2015-01-30",101.8,102.58,100.96,101.1,42927638
"2015-02-02",101.33,102.07,99.75,101.98,43624654
"2015-02-03",102.35,103.03,101.68,102.96,30750360
"2015-02-04",102.54,103.55,102.31,102.87,34073211
"2015-02-05",103.13,103.83,102.87,103.76,23605516
"2015-02-06",103.92,104.17,102.76,103.13,34169256
"2015-02-09",102.73,103.28,102.55,102.8,22604655
"2015-02-10",103.37,104.54,103.21,104.4,23686531
"2015-02-11",104.52,105.02,104.32,104.78,20303617
"2015-02-12",105.46,106.04,105.3,106,22520295
"2015-02-13",106.3,106.93,106.1,106.91,29030249
"2015-02-17",106.91,107.08,106.64,107.01,17675344
"2015-02-18",106.88,107.22,106.74,107.16,15149619
"2015-02-19",107.09,107.76,107.06,107.69,19828113
"2015-02-20",107.62,108.47,107.28,108.41,28336710
"2015-02-23",108.35,108.55,108.11,108.52,17867968
"2015-02-24",108.38,108.73,108.05,108.6,19745011
"2015-02-25",108.44,108.86,108.09,108.33,19472341
"2015-02-26",108.44,108.94,108.14,108.88,22255476
"2015-02-27",108.84,108.91,108.23,108.4,27757584
"2015-03-02",108.61,109.42,108.59,109.38,22988645
"2015-03-03",109.05,109.16,108.18,108.87,20788924
"2015-03-04",108.51,108.67,107.86,108.45,21007420
"2015-03-05",108.73,108.96,108.19,108.64,15381039
"2015-03-06",108.5,108.71,107.14,107.41,30990366
"2015-03-09",107.63,107.99,107.19,107.72,26237101
"2015-03-10",106.95,106.98,105.72,105.72,34234496
"2015-03-11",105.88,106.01,105.07,105.11,25459733
"2015-03-12",105.03,105.92,104.96,105.8,21473171
"2015-03-13",105.7,106.12,104.68,105.34,42021103
"2015-03-16",105.73,106.74,105.62,106.7,25674085
"2015-03-17",106.4,107.04,106.16,106.87,19603813
"2015-03-18",106.58,108.41,106.03,107.92,40622188
"2015-03-19",108.03,108.38,107.87,108.08,31314035
"2015-03-20",108.72,109.07,108.51,108.53,31761404
"2015-03-23",108.47,108.77,108.28,108.32,17268507
"2015-03-24",108.31,108.81,107.91,107.93,22445280
"2015-03-25",108.1,108.2,105.42,105.46,41581435
"2015-03-26",104.59,105.7,104.24,105.1,47846276
"2015-03-27",105.08,105.77,104.92,105.52,33878385
"2015-03-30",106.16,106.82,106.16,106.73,30570196
"2015-03-31",106.43,106.65,105.57,105.6,30488101
"2015-04-01",105.6,105.62,104.37,105.05,32970452
"2015-04-02",105.15,105.46,104.78,105.12,19164241
"2015-04-06",104.5,106.27,104.34,105.98,24451142
"2015-04-07",105.92,106.7,105.8,105.8,19379381
"2015-04-08",105.84,106.79,105.83,106.64,25866907
"2015-04-09",106.59,107.35,106.23,107.31,23114727
"2015-04-10",107.27,107.76,107.03,107.75,17164343
"2015-04-13",107.83,108.38,107.36,107.48,17783465
"2015-04-14",107.37,107.68,106.56,107.17,23755747
"2015-04-15",107.45,108.07,107.32,107.84,21128576
"2015-04-16",107.55,107.88,107.4,107.69,16195279
"2015-04-17",106.66,106.95,105.55,106.01,46513964
"2015-04-20",106.54,107.79,106.5,107.6,28945909
"2015-04-21",107.6,108.41,107.93,108.06,22759772
"2015-04-22",108.34,108.83,107.64,108.65,21429190
"2015-04-23",108.28,109.55,108.26,109.06,29473221
"2015-04-24",110.21,110.69,110.03,110.54,32508127
"2015-04-27",110.95,111.16,110.02,110.26,31121321
"2015-04-28",110.34,110.55,109.11,110.04,36849221
"2015-04-29",109.43,110.07,108.75,109.35,34043905
"2015-04-30",108.73,109.17,107.06,107.63,44080546
"2015-05-01",108.05,109.12,108.03,109.05,32874307
"2015-05-04",109.4,109.91,109.17,109.23,23507259
"2015-05-05",108.8,109,107.4,107.45,47843265
"2015-05-06",107.64,107.95,106,106.71,42687150
"2015-05-07",106.68,107.65,106.6,107.35,29335806
"2015-05-08",108.46,108.92,108.3,108.69,33023337
"2015-05-11",108.76,108.98,108.19,108.27,19679255
"2015-05-12",107.63,108.33,106.8,107.78,33665017
"2015-05-13",108.25,108.81,107.84,108,20738434
"2015-05-14",108.88,109.67,108.48,109.58,23904233
"2015-05-15",109.86,110.01,109.31,109.58,23937442
"2015-05-18",109.4,110.28,109.32,110.06,17631135
"2015-05-19",110.18,110.35,109.76,109.94,14212896
"2015-05-20",110.02,110.67,109.42,110.01,21131892
"2015-05-21",109.82,110.73,109.66,110.58,16771801
"2015-05-22",110.45,110.87,110.38,110.47,13543774
"2015-05-26",110.23,110.38,108.76,109.2,25488437
"2015-05-27",109.53,111.08,109.29,110.96,30572695
"2015-05-28",110.75,111.01,110.37,110.71,17302408
"2015-05-29",110.64,110.79,109.79,110.05,30382987
"2015-06-01",110.64,110.72,109.52,110.42,24570186
"2015-06-02",110.01,110.61,109.47,110.07,19449634
"2015-06-03",110.57,110.81,110.13,110.4,20507208
"2015-06-04",109.78,110.48,109.21,109.56,31374588
"2015-06-05",109.43,109.69,108.63,109.3,22641732
"2015-06-08",109.25,109.33,107.97,108.19,24549204
"2015-06-09",107.93,108.4,107.2,108.01,27554599
"2015-06-10",108.38,109.81,108.26,109.49,30297862
"2015-06-11",109.86,110.15,109.46,109.65,17593463
"2015-06-12",109.07,109.3,108.6,108.75,27201768
"2015-06-15",107.94,108.38,107.31,108.21,31238798
"2015-06-16",108.1,108.98,108.05,108.8,16456867
"2015-06-17",108.98,109.45,108.43,109.1,23296738
"2015-06-18",109.5,110.88,109.44,110.69,43032384
"2015-06-19",110.49,110.58,109.81,109.89,27877574
"2015-06-22",110.7,111.03,110.45,110.7,19120898
"2015-06-23",110.82,110.89,110.33,110.79,18127916
"2015-06-24",110.66,111.13,110.19,110.22,15815914
"2015-06-25",110.65,110.76,109.82,110,18326654
"2015-06-26",109.98,110.23,108.86,109.27,32311679
"2015-06-29",108.06,108.66,106.64,106.69,50874901
"2015-06-30",107.49,107.72,106.74,107.07,34809920
"2015-07-01",108.13,108.35,107.42,107.92,21292958
"2015-07-02",108.23,108.32,107.62,107.95,20499447
"2015-07-06",107.27,108.32,107.04,107.7,24311020
"2015-07-07",107.82,108.07,105.83,107.97,44230772
"2015-07-08",107.2,107.33,105.89,106.09,39691475
"2015-07-09",107.5,107.6,106.02,106.03,28381041
"2015-07-10",107.44,108.05,107.05,107.65,26415825
"2015-07-13",108.58,109.63,108.57,109.54,25780733
"2015-07-14",109.69,110.56,109.63,110.26,21977167
"2015-07-15",110.47,110.81,110.07,110.38,28631537
"2015-07-16",111.29,111.96,111.07,111.94,29838948
"2015-07-17",112.84,113.59,112.65,113.59,35926804
"2015-07-20",113.83,114.39,113.48,113.98,26539045
"2015-07-21",114.02,114.2,113.58,113.91,35468865
"2015-07-22",112.17,113.17,112.16,112.62,35574962
"2015-07-23",112.73,113.1,111.91,112.2,25698255
"2015-07-24",112.8,113,110.93,111.1,30844714
"2015-07-27",110.47,110.95,109.94,110.18,35994837
"2015-07-28",110.67,111.35,109.78,111.13,33553494
"2015-07-29",111.37,111.79,110.94,111.55,26714068
"2015-07-30",111.29,112.27,110.62,112.08,25438057
"2015-07-31",112.43,112.49,111.72,111.95,22081731
"2015-08-03",111.97,112.28,110.86,111.6,25001780
"2015-08-04",111.55,111.74,110.93,111.39,22132319
"2015-08-05",112.01,113,111.88,112.25,28989897
"2015-08-06",112.35,112.5,109.95,110.45,42125401
"2015-08-07",110.18,110.57,109.4,110.31,30006846
"2015-08-10",111.01,111.81,111,111.57,21500780
"2015-08-11",110.98,111.41,109.53,110.14,36123270
"2015-08-12",109.38,110.74,108.22,110.52,41888960
"2015-08-13",110.63,111.16,110.1,110.34,22510520
"2015-08-14",110.08,110.67,109.86,110.51,17924931
"2015-08-17",110.24,111.46,109.96,111.43,21224913
"2015-08-18",111.28,111.37,110.71,110.86,13984363
"2015-08-19",110.52,111.1,109.49,110.13,42511384
"2015-08-20",109.11,109.46,107.07,107.08,55919821
"2015-08-21",105.57,106.47,102.4,102.4,93496197
"2015-08-24",94.23,102.53,84.74,98.46,143886582
"2015-08-25",102.07,102.74,98.01,98.09,71632849
"2015-08-26",100.96,103.23,98.93,103.03,103182548
"2015-08-27",104.52,105.71,103.28,105.64,67509730
"2015-08-28",105.08,106,104.85,105.62,48184086
"2015-08-31",105.03,105.61,104.05,104.31,38972347
"2015-09-01",101.71,103.29,100.63,101.05,70504507
"2015-09-02",102.88,103.92,101.7,103.9,42569526
"2015-09-03",104.31,105.02,103.1,103.39,45086333
"2015-09-04",101.97,102.84,101.59,102.16,48800855
"2015-09-08",104.12,105.16,103.69,105.04,37180388
"2015-09-09",106.28,106.31,103.59,103.86,45846867
"2015-09-10",103.74,105.68,103.62,104.99,47584931
"2015-09-11",104.51,105.57,104.21,105.57,28607115
