"","COF.Open","COF.High","COF.Low","COF.Close","COF.Volume"
"2013-01-03",60.89,61.32,60.36,60.55,5730430
"2013-01-10",62.73,62.87,62.13,62.87,4569317
"2013-01-17",61.88,62.14,61.24,61.59,6044967
"2013-01-24",56.24,56.93,56.2,56.86,5488990
"2013-01-31",56.41,56.75,56.18,56.32,4628812
"2013-02-07",57.75,57.84,56.79,57.19,5029917
"2013-02-14",54.96,55.62,54.74,55.59,6629863
"2013-02-21",52.14,52.42,51.83,52.21,6306541
"2013-02-28",51.4,51.63,50.74,51.03,6474654
"2013-03-07",54.36,54.71,54.03,54.42,4861261
"2013-03-14",54.82,55.04,54.22,54.51,3736174
"2013-03-21",53.48,54.07,53.48,53.71,3293231
"2013-03-28",54.75,55,54.65,54.95,2647719
"2013-04-04",54.15,55.13,54.08,55.07,4848690
"2013-04-11",55.77,55.82,54.79,54.82,4461502
"2013-04-18",52.85,53.27,52.34,52.79,5486649
"2013-04-25",57.05,57.55,56.78,57.03,4304015
"2013-05-02",57.33,58.32,57.05,58.18,3556868
"2013-05-09",59.69,59.69,58.84,59.15,2566927
"2013-05-16",59.92,60,58.98,59.15,3576660
"2013-05-23",60.98,61.66,60.5,61.24,3538875
"2013-05-30",61.73,62.98,61.54,62.43,5352822
"2013-06-06",60.13,60.79,59.67,60.77,2940204
"2013-06-13",61.43,62.5,61.16,62.35,2415515
"2013-06-20",61.72,62.5,61.39,61.62,5222973
"2013-06-27",62,63,61.84,62.69,2651521
"2013-07-11",65.71,65.93,65.1,65.81,2801059
"2013-07-18",66.9,67.52,66.42,67.05,3842892
"2013-07-25",68.06,68.76,67.25,68.72,3715325
"2013-08-01",69.48,69.79,68.88,69.7,3170701
"2013-08-08",68.48,68.81,68.16,68.42,2734222
"2013-08-15",68.08,68.25,66.82,67.01,2640113
"2013-08-22",66.58,67.03,66.19,66.68,1462711
"2013-08-29",63.91,64.84,63.69,64.38,1685494
"2013-09-05",65,65.98,64.92,65.58,1814974
"2013-09-12",67.57,68.2,67.55,67.95,2912050
"2013-09-19",69.55,69.76,68.85,69.04,1911665
"2013-09-26",69.07,69.84,68.88,69.12,1821780
"2013-10-03",69.16,69.7,68.38,68.78,2289223
"2013-10-10",69.1,70.91,69.08,70.76,3158555
"2013-10-17",72.1,72.54,71.63,72.15,4604586
"2013-10-24",70.82,70.84,70.12,70.65,3095400
"2013-10-31",69.58,69.67,68.67,68.67,4563348
"2013-11-07",69.59,69.9,68.82,68.85,2946493
"2013-11-14",70.13,70.88,70.11,70.69,2640987
"2013-11-21",69.25,69.85,69.06,69.63,2755034
"2013-12-05",72.25,72.42,71.6,71.94,3508490
"2013-12-12",71.8,71.89,71.02,71.48,2558488
"2013-12-19",73.23,73.78,72.77,73.64,2984489
"2013-12-26",75.62,76,75.4,75.88,1615343
"2014-01-02",76.61,77.73,76.6,77.25,3070336
"2014-01-09",78.06,78.34,77.74,77.85,3648048
"2014-01-16",77.1,77.23,76.31,76.44,3132277
"2014-01-23",72.36,72.36,71.06,71.54,4323943
"2014-01-30",70.61,71.31,70.28,70.96,2205913
"2014-02-06",68.66,69.98,68.56,69.92,2295893
"2014-02-13",70.81,72.42,70.81,72.37,2839791
"2014-02-20",70.89,70.99,70.21,70.84,2789352
"2014-02-27",71.36,72.73,71.22,72.62,2609420
"2014-03-06",74.51,75.23,74.26,75.03,2879611
"2014-03-13",74.64,74.77,72.54,72.73,2876654
"2014-03-20",72.88,74.35,72.83,74.28,2724810
"2014-03-27",75.58,76.4,75.07,75.88,3924476
"2014-04-03",77.28,77.68,77,77.47,2395854
"2014-04-10",76.4,76.51,74.07,74.07,4814273
"2014-04-17",75.59,75.89,74.72,74.89,4793960
"2014-04-24",75.31,75.41,74.55,74.74,2729408
"2014-05-01",73.9,74.54,73.39,74.53,4774352
"2014-05-08",76.01,76.9,75.87,76.17,3275157
"2014-05-15",75.99,76.43,75.35,76.42,3354463
"2014-05-22",76.5,77.08,76.5,76.65,1936327
"2014-05-29",78.59,78.9,78.17,78.72,2464059
"2014-06-05",78.9,79.97,78.81,79.82,2088286
"2014-06-12",80.61,81.26,80.61,80.93,2920728
"2014-06-19",81.97,82.22,81.34,82,3867238
"2014-06-26",82.25,82.52,81.54,82.49,1977292
"2014-07-03",84.2,84.98,83.91,84.95,2811537
"2014-07-10",83.04,84.08,82.99,83.69,2401664
"2014-07-17",84.07,84.28,82.41,82.49,4084183
"2014-07-24",82.54,82.61,82.17,82.4,3619962
"2014-07-31",81.11,81.18,79.54,79.54,3243406
"2014-08-07",78.85,78.92,77.88,78.04,2346363
"2014-08-14",79.91,80.15,79.63,79.79,1611069
"2014-08-21",81.21,81.82,80.97,81.69,2863888
"2014-08-28",81.5,81.79,81.21,81.59,1200591
"2014-09-04",82.68,83.1,82.18,82.5,1892616
"2014-09-11",81.04,81.34,80.93,81.23,2129770
"2014-09-18",83.16,83.99,82.97,83.67,4199214
"2014-09-25",82.27,82.51,81.01,81.01,3232268
"2014-10-02",80.68,81.5,80.14,81.13,2721753
"2014-10-09",82.61,83.1,81.33,81.44,2954730
"2014-10-16",77.85,79.46,77.26,78.53,5980594
"2014-10-23",78.68,78.92,78.21,78.39,2306301
"2014-10-30",81.4,82.36,81.21,81.73,2227375
"2014-11-06",81.6,82.31,81.24,82.08,2413189
"2014-11-13",82.01,82.33,81.2,81.6,2632237
"2014-11-20",80.45,81.53,80.22,81.09,2968127
"2014-12-04",81,82.19,81,82.09,2925329
"2014-12-11",82.58,83.11,82.19,82.38,2138280
"2014-12-18",80.34,82.17,80.33,82.16,4340286
"2015-01-08",80.71,81.39,80.58,80.77,2011242
"2015-01-15",76.71,78.38,76.64,76.95,3918793
"2015-01-22",76.96,77.16,74.75,76.2,7580269
"2015-01-29",74.2,75.25,73.9,74.96,4577701
"2015-02-05",75.45,75.96,75.41,75.78,3303534
"2015-02-12",78.03,79.64,77.89,79.29,3961519
"2015-02-19",79.39,79.75,79.09,79.42,2190662
"2015-02-26",79.48,79.97,78.72,79.15,2731679
"2015-03-05",78.65,78.97,78.2,78.89,2043229
"2015-03-12",79.04,81.52,79.04,81.45,4562460
"2015-03-19",81.48,81.59,80.53,80.62,2653769
"2015-03-26",78.8,78.9,77.89,78.51,2291083
"2015-04-02",79.64,80.44,79.46,80.31,1968462
"2015-04-09",80.04,80.41,79.62,80.36,1857790
"2015-04-16",82.62,83.21,82.52,83.01,2373380
"2015-04-23",81.68,82.34,81.55,81.86,2361803
"2015-04-30",80.23,80.85,79.82,80.85,4201151
"2015-05-07",82.16,82.32,81.4,82.02,3150832
"2015-05-14",84.12,84.5,83.75,84.47,2390780
"2015-05-21",85.27,85.44,84.8,85.11,2156252
"2015-05-28",84.48,84.72,83.88,84.3,1847862
"2015-06-04",83.55,84.28,83.05,83.19,3164012
"2015-06-11",86.99,87.94,86.74,87.66,2939069
"2015-06-18",88.16,88.65,87.71,88.52,2655712
"2015-06-25",89.48,90.1,88.52,88.85,2431729
"2015-07-02",88.72,89.07,88.02,88.32,1903697
"2015-07-09",87.22,87.61,86.7,86.73,2025755
"2015-07-16",90.65,91.08,90.51,90.96,2067274
"2015-07-23",91.62,91.8,90.6,90.77,2646159
"2015-07-30",80.22,81.58,80.11,81.5,4276495
"2015-08-06",81.54,81.83,80.86,81.14,3197432
"2015-08-13",80.98,81.42,80.38,80.76,2448666
"2015-08-20",79.3,79.77,79.01,79.04,2881735
"2015-08-27",75.81,77.63,75.55,77.36,4710314
"2015-09-03",75.99,77.35,75.69,76.16,2940584
"2015-09-10",75.46,76.43,75.39,75.87,2530875
"2015-09-17",77.29,77.7,75.56,75.89,2719410
"2015-09-24",72.6,73.24,72.18,73.12,3653565
"2015-10-01",72.63,73.02,71.76,72.94,4220967
"2015-10-08",74.55,75.26,73.87,75.05,2422083
"2015-10-15",73.18,74.54,72.63,74.52,2593983
"2015-10-22",73.78,76.38,73.78,74.94,4232313
"2015-10-29",80.88,81.41,79.93,80.2,1989559
"2015-11-05",80.82,80.82,79.54,79.55,3313669
"2015-11-12",78.33,78.33,77.19,77.38,3315055
"2015-11-19",78.53,79.98,78.53,79.58,3751659
"2015-12-03",79.1,79.1,77.05,77.33,3035681
"2015-12-10",75.39,76.45,75.18,75.61,2428713
"2015-12-17",76.55,76.74,74.28,74.38,2890259
"2015-12-24",73.68,73.9,73.26,73.52,810748
"2015-12-31",72.71,73.26,72.16,72.18,1722102
"2016-01-07",66.34,67,64.85,65.08,5638318
"2016-01-14",64.01,65.11,62.51,64.6,4572744
"2016-01-21",60.85,62.3,60.51,61.18,3747311
"2016-01-28",63.78,63.78,62.12,62.99,6491506
"2016-02-04",63,64.36,62.84,63.73,4299303
"2016-02-11",59.71,60.88,58.74,60.15,4804311
"2016-02-18",65.48,66.68,65.18,65.93,4272147
"2016-02-25",65.76,66.42,64.87,66.42,2642186
"2016-03-03",68.97,69.66,68.69,69.66,2444568
"2016-03-10",69.18,70,68.12,69.23,2155561
"2016-03-17",69.05,70.06,68.59,69.5,4061865
"2016-03-24",69.44,69.78,68.88,69.76,2090443
"2016-03-31",69.15,69.79,68.98,69.31,3222698
"2016-04-07",67.66,67.98,66.1,66.58,2835926
"2016-04-14",70.66,72.18,70.48,71.47,2871446
"2016-04-21",75.25,76.3,74.69,74.73,2961735
"2016-04-28",73.56,74.26,72.99,73.37,2641846
"2016-05-05",69.93,70.33,68.6,69.12,5345417
"2016-05-12",70.17,70.73,68.84,69.36,2109886
"2016-05-19",70.38,71.79,69.88,70.53,3164023
"2016-05-26",73.03,73.16,72.27,72.56,1642449
"2016-06-02",73.19,73.38,72.62,73.38,1496215
"2016-06-09",71.45,71.46,70.14,70.87,2749905
"2016-06-16",64.1,64.45,62.73,64.25,5296275
"2016-06-23",64.77,65.65,64.56,65.6,2948309
"2016-06-30",62.42,63.53,61.42,63.51,6389716
"2016-07-07",61.2,62.55,61.2,61.89,4644850
"2016-07-14",69.31,69.5,68.13,68.85,3284823
"2016-07-21",67.44,68.47,67.24,67.99,3549816
"2016-07-28",67.49,67.75,66.78,67.48,3079711
"2016-08-04",66.22,66.65,66.08,66.2,2197445
"2016-08-11",67.04,68.02,66.81,67.94,2660212
"2016-08-18",68.29,68.58,68.11,68.21,2443752
"2016-08-25",68.35,69.1,68.27,68.77,1732465
"2016-09-01",71.6,72.09,70.18,71.08,5574094
"2016-09-08",71.63,72.43,71.49,72.28,2686057
"2016-09-15",70.48,71.12,69.69,70.99,3097513
