"","COF.Open","COF.High","COF.Low","COF.Close","COF.Volume"
"2011-09-15",43.65,43.72,41.88,43.46,12199928
"2011-09-22",40.2,41.93,39.81,40.8,11222223
"2011-09-29",42.03,42.13,39.94,41.03,7088561
"2011-10-06",39.25,40.69,38.58,40.62,4383798
"2011-10-13",42.99,42.99,41.33,41.87,5462276
"2011-10-20",39.94,40.59,39.14,40.49,7342389
"2011-10-27",46.25,47.31,45.84,46.45,9582349
"2011-11-03",45.72,46.93,44.67,46.74,9051677
"2011-11-10",45.16,45.29,44.19,44.49,4408637
"2011-11-17",41.87,42.45,40.93,41.21,6564012
"2011-12-01",44.18,44.96,44.14,44.75,5876587
"2011-12-08",45.81,45.9,44.62,44.72,4375100
"2011-12-15",44.94,45.13,42.82,43.05,9205389
"2011-12-22",42.13,42.94,41.9,42.64,5338951
"2011-12-29",41.98,42.68,41.82,42.64,4078930
"2012-01-05",44.2,46.22,44.05,45.18,6687318
"2012-01-12",48.07,48.48,47.4,48.4,6007478
"2012-01-19",49.39,49.63,48.54,48.77,6800555
"2012-01-26",45.75,46.33,45.01,45.61,7281646
"2012-02-02",46.85,47.57,46.53,46.99,4440414
"2012-02-09",48.49,49.25,47.94,49.1,5409253
"2012-02-16",49,49.55,48.66,49.29,5861449
"2012-02-23",48.73,49.5,48.31,49.3,6866930
"2012-03-01",50.51,50.85,49.95,50.24,6382242
"2012-03-08",49.03,49.5,48.46,49.43,2970458
"2012-03-15",51.88,54.2,51.87,53.63,23151955
"2012-03-22",54.8,55.24,54.07,54.42,5153925
"2012-03-29",56.31,56.73,55.81,56.43,4565942
"2012-04-05",55.11,56.22,55.07,55.65,4385150
"2012-04-12",53.72,54.73,53.45,54.65,3357443
"2012-04-19",54.19,54.45,53.49,53.93,4614617
"2012-04-26",54.79,55.48,54.3,54.84,4388136
"2012-05-03",56.29,56.34,55.37,55.56,3405058
"2012-05-10",54.1,54.94,54.09,54.31,4575604
"2012-05-17",50.15,50.69,49.72,49.8,5341491
"2012-05-24",50.98,51.72,50.72,51.72,4834114
"2012-05-31",50.92,51.81,50.15,51.37,3735209
"2012-06-07",51.48,51.95,50.82,51.17,5182328
"2012-06-14",52.32,53.36,51.96,53.01,4395263
"2012-06-21",54.85,54.93,52.93,53.03,4282041
"2012-06-28",52.62,53.5,52.27,53.46,2883651
"2012-07-05",54.74,54.98,54.08,54.53,1870591
"2012-07-12",53.53,53.69,52.88,53.36,2489136
"2012-07-19",55.7,58.69,55.61,56.37,11291662
"2012-07-26",55.77,56.5,55.47,56.36,3540878
"2012-08-02",54.93,55.59,54.18,55.17,3686874
"2012-08-09",56.49,56.72,55.93,56.55,2439896
"2012-08-16",55.14,56.6,55.09,56.23,3796242
"2012-08-23",55.77,56.1,55.48,55.63,2499736
"2012-08-30",56.13,56.33,55.62,56.02,2480304
"2012-09-06",56.75,57.3,56.43,57.16,10024939
"2012-09-13",57.81,59.39,57.32,58.98,5246008
"2012-09-20",57.73,58.18,57.55,58.05,3530894
"2012-09-27",55.77,57.1,55.73,56.96,5858814
"2012-10-04",58.99,59.64,58.68,59.53,4218527
"2012-10-11",58.8,59.19,58.28,58.89,2689246
"2012-10-18",57.78,57.87,57.13,57.3,5303418
"2012-10-25",60.29,60.47,59.7,59.97,3048060
"2012-11-01",60.35,61.41,60.15,61.4,4408736
"2012-11-08",59.41,59.84,57.55,58.29,6017620
"2012-11-15",55.69,55.8,54.45,54.77,7143313
"2012-11-29",58.47,58.55,57.64,58.26,2341186
"2012-12-06",57.93,57.93,56.33,57.27,2945905
"2012-12-13",58.4,58.53,57.73,58,3087660
"2012-12-20",58.68,59.17,58.3,59.15,6662091
"2012-12-27",57.89,57.97,56.45,57.35,2366157
