"","GOOG.Open","GOOG.High","GOOG.Low","GOOG.Close","GOOG.Volume"
"2015-05-21",537.95,543.84,535.98,542.51,1462695
"2015-05-28",538.01,540.61,536.25,539.78,1029849
"2015-06-04",537.76,540.59,534.32,536.7,1348337
"2015-06-11",538.42,538.98,533.02,534.61,1217536
"2015-06-18",531,538.15,530.79,536.73,1833109
"2015-06-25",538.87,540.9,535.23,535.23,1335697
"2015-07-02",521.08,524.65,521.08,523.4,1235903
"2015-07-09",523.12,523.77,520.35,520.68,1842347
"2015-07-16",565.12,580.68,565,579.85,4768318
"2015-07-23",661.27,663.63,641,644.28,3029109
"2015-07-30",630,635.22,622.05,632.59,1474203
"2015-08-06",645,645.38,632.25,642.68,1572600
"2015-08-13",659.32,664.5,651.66,656.45,1810749
"2015-08-20",655.46,662.99,642.9,646.83,2855299
"2015-08-27",639.4,643.59,622,637.61,3491336
"2015-09-03",617,619.71,602.82,606.25,1759572
"2015-09-10",613.1,624.16,611.43,621.35,1900526
"2015-09-17",637.79,650.9,635.02,642.9,2274690
"2015-09-24",616.64,627.32,612.4,625.8,2240098
"2015-10-01",608.37,612.09,599.85,611.29,1867601
"2015-10-08",641.36,644.45,625.56,639.16,2180441
"2015-10-15",654.66,663.13,654.46,661.74,1830524
"2015-10-22",646.7,657.8,644.01,651.79,3782103
"2015-10-29",710.5,718.26,710.01,716.92,1454128
"2015-11-05",729.47,739.48,729.47,731.25,1860367
"2015-11-12",731,737.8,728.64,731.23,1668048
"2015-11-19",738.74,742,737.43,738.41,1327109
"2015-12-03",766.01,769,745.63,752.54,2590641
"2015-12-10",752.85,755.85,743.83,749.46,1988380
"2015-12-17",762.42,762.68,749,749.43,1553418
"2015-12-24",749.55,751.35,746.62,748.4,527223
"2015-12-31",769.5,769.5,758.34,758.88,1500923
"2016-01-07",730.31,738.5,719.06,726.39,2963741
"2016-01-14",705.38,721.92,689.1,714.72,2211853
"2016-01-21",702.18,719.19,694.46,706.59,2410263
"2016-01-28",722.22,733.69,712.35,730.96,2658016
"2016-02-04",722.81,727,701.86,708.01,5145855
"2016-02-11",675,689.35,668.87,683.11,3007223
"2016-02-18",710,712.35,696.03,697.35,1859130
"2016-02-25",700.01,705.98,690.58,705.75,1631855
"2016-03-03",718.68,719.45,706.02,712.42,1956761
"2016-03-10",708.12,716.44,703.36,712.82,2829412
"2016-03-17",736.45,743.07,736,737.78,1856800
"2016-03-24",732.01,737.75,731,735.3,1564782
"2016-03-31",749.25,750.85,740.94,744.95,1712375
"2016-04-07",745.37,747,736.28,740.28,1429504
"2016-04-14",754.01,757.31,752.7,753.2,1130971
"2016-04-21",755.38,760.45,749.55,759.14,2743620
"2016-04-28",708.26,714.17,689.55,691.02,2851108
"2016-05-05",697.7,702.32,695.72,701.43,1677405
"2016-05-12",717.06,719.25,709,713.31,1360732
"2016-05-19",702.36,706,696.8,700.32,1656321
"2016-05-26",722.87,728.33,720.28,724.12,1542866
"2016-06-02",732.5,733.02,724.17,730.4,1341807
"2016-06-09",722.87,729.54,722.34,728.58,988914
"2016-06-16",714.91,716.65,703.26,710.36,1982471
"2016-06-23",697.45,701.95,687,701.87,2171415
"2016-06-30",685.47,692.32,683.65,692.1,1597714
"2016-07-07",698.08,698.2,688.22,695.36,1304200
"2016-07-14",721.58,722.21,718.03,720.95,950193
"2016-07-21",740.36,741.69,735.83,738.63,1026306
"2016-07-28",747.04,748.65,739.3,745.91,3530169
"2016-08-04",772.22,774.07,768.8,771.61,1140254
"2016-08-11",785,789.75,782.97,784.85,975113
"2016-08-18",780.01,782.86,777,777.5,719429
"2016-08-25",767,771.89,763.18,769.41,926883
"2016-09-01",769.25,771.02,764.3,768.78,925131
"2016-09-08",778.59,780.35,773.58,775.32,1270264
"2016-09-15",762.89,773.8,759.96,771.76,1346751
