"","HSIC.Open","HSIC.High","HSIC.Low","HSIC.Close","HSIC.Volume"
"2011-09-15",32.16,32.28,31.38,31.96,841952
"2011-09-22",31.16,31.36,30.45,30.82,1386490
"2011-09-29",32.1,32.32,31.02,31.78,831872
"2011-10-06",30.84,30.98,30.08,30.8,1058518
"2011-10-13",32,32.23,31.42,32.21,2028240
"2011-10-20",31.88,32.34,31.55,32.32,1214804
"2011-10-27",34.28,35.1,34.26,34.82,1539436
"2011-11-03",32.52,32.83,32.29,32.79,1168104
"2011-11-10",32.61,32.64,32,32.47,1522472
"2011-11-17",31.48,31.5,30.77,30.86,1378746
"2011-12-01",32.22,32.86,32.21,32.3,1001974
"2011-12-08",31.82,31.82,31.08,31.14,758792
"2011-12-15",30.93,31.21,30.76,31.12,836130
"2011-12-22",32.3,32.46,32.18,32.32,353322
"2011-12-29",32.25,32.51,31.99,32.4,454116
"2012-01-05",32.71,33.12,32.57,33.11,1276290
"2012-01-12",34,34.04,33.28,34,758206
"2012-01-19",34.39,34.48,34.2,34.43,1400542
"2012-01-26",35.4,35.45,34.92,35.25,758420
"2012-02-02",36.3,36.6,36.14,36.54,975860
"2012-02-09",36.03,36.28,35.55,35.64,1348504
"2012-02-16",36.62,37.99,36.36,37.84,2291464
"2012-02-23",37.07,37.27,36.87,37.06,963630
"2012-03-01",37.04,37.06,36.52,36.93,1026236
"2012-03-08",36.32,36.8,36.18,36.63,1177730
"2012-03-15",37.75,38.2,37.74,38.2,916128
"2012-03-22",37.8,37.85,37.4,37.56,622062
"2012-03-29",37.91,38.24,37.76,37.92,676654
"2012-04-05",37.84,38.08,37.73,38.04,337800
"2012-04-12",37.24,37.69,37.04,37.54,582140
"2012-04-19",37.38,37.47,36.88,37.07,948382
"2012-04-26",37.57,38.25,37.26,38.22,918446
"2012-05-03",38.34,38.5,38.09,38.17,729038
"2012-05-10",38.44,38.62,37.94,38.06,903558
"2012-05-17",37.78,37.84,36.84,36.85,1271498
"2012-05-24",37.33,37.74,37.01,37.52,1236600
"2012-05-31",37.26,37.4,36.77,37.16,1182340
"2012-06-07",37.54,37.71,37,37.02,1026982
"2012-06-14",37.16,37.98,37.16,37.83,1069814
"2012-06-21",39,39.23,38,38.2,1416820
"2012-06-28",38.42,38.86,37.98,38.82,748340
"2012-07-05",39.42,39.71,39.36,39.6,693218
"2012-07-12",39.02,39.08,37.92,38.36,1749486
"2012-07-19",39.34,39.62,39.18,39.5,622170
"2012-07-26",38.2,38.36,37.66,38.11,789360
"2012-08-02",37.5,37.6,36.42,37.46,1734842
"2012-08-09",38.47,38.68,38.22,38.31,773558
"2012-08-16",38.76,38.9,38.46,38.76,292680
"2012-08-23",38.5,38.69,37.82,38.02,1153832
"2012-08-30",38.18,38.34,37.89,38.24,359522
"2012-09-06",38.76,39.53,38.76,38.96,1239712
"2012-09-13",38.49,38.91,38.36,38.75,484124
"2012-09-20",39.02,39.68,39.02,39.57,1229978
"2012-09-27",39.68,39.83,39.44,39.8,799550
"2012-10-04",39.52,39.88,39.33,39.76,1300226
"2012-10-11",38.88,39,38.61,38.84,572128
"2012-10-18",38.08,38.1,37.14,37.78,2408438
"2012-10-25",37.57,37.88,37.25,37.4,522342
"2012-11-01",37.04,38.16,36.99,37.97,1334694
"2012-11-08",39.05,39.28,38.32,38.36,1124342
"2012-11-15",38.63,39.24,38.52,39.16,1113104
"2012-11-29",40.26,40.4,40.02,40.38,612720
"2012-12-06",40.2,40.2,39.56,39.85,903042
"2012-12-13",40.34,40.78,40.3,40.43,721268
"2012-12-20",40.74,41.02,40.74,41,725934
"2012-12-27",40.18,40.46,39.85,40.11,492480
"2013-01-03",41.08,41.36,40.92,41.22,698666
"2013-01-10",41.78,41.84,41.48,41.68,649742
"2013-01-17",42.16,42.53,41.92,42.3,567754
"2013-01-24",42.98,43.6,42.92,43.53,1361320
"2013-01-31",43.2,43.43,43.04,43.17,622388
"2013-02-07",44.32,44.61,43.9,44.32,830018
"2013-02-14",44.25,44.68,44.03,44.2,1752068
"2013-02-21",44.14,44.34,43.5,43.68,1018084
"2013-02-28",44.19,44.78,44.15,44.61,919694
"2013-03-07",44.83,45.03,44.57,44.65,758842
"2013-03-14",45.18,45.32,45.01,45.32,609398
"2013-03-21",45.18,45.36,44.98,45.3,653296
"2013-03-28",45.46,46.33,45.34,46.28,919340
"2013-04-04",45.53,46,45.48,45.7,450674
"2013-04-11",46.04,46.3,45.87,46.17,478274
"2013-04-18",45.2,45.26,44.78,45.06,575792
"2013-04-25",44.96,45.1,44.8,44.92,651830
"2013-05-02",44.77,45.1,44.58,45.04,641378
"2013-05-09",46.34,46.79,46.34,46.64,611294
"2013-05-16",47.64,48,47.56,47.68,658622
