"","EOG.Open","EOG.High","EOG.Low","EOG.Close","EOG.Volume"
"2011-09-15",44.44,45.2,44.06,45.2,3907178
"2011-09-22",40.42,40.46,37.56,38.38,10625184
"2011-09-29",38.02,38.18,35.94,36.89,6867594
"2011-10-06",38.18,39.46,37.76,39.27,5829852
"2011-10-13",40.01,40.26,38.82,40.11,4818820
"2011-10-20",43.76,44.02,42.54,43.67,6293228
"2011-10-27",45.5,47,44.92,45.91,7409324
"2011-11-03",48.79,50.3,48.1,50.02,9134998
"2011-11-10",49.7,50.38,49.22,50.02,4688316
"2011-11-17",50.2,50.65,48.08,48.51,5016576
"2011-12-01",51.82,52.5,50.84,51.26,3870136
"2011-12-08",51.27,52.29,50.06,50.32,4964560
"2011-12-15",47.28,47.78,46.5,47.22,6036584
"2011-12-22",49.11,49.32,48.97,49.16,5868408
"2011-12-29",48.18,49.09,48.18,49.02,2686606
"2012-01-05",50.58,51.26,49.91,51.08,5075196
"2012-01-12",51.82,52.35,51.27,51.94,4659864
"2012-01-19",52.84,53.26,52.34,52.54,5439604
"2012-01-26",53.64,53.75,52.12,52.38,4547578
"2012-02-02",52.82,54.06,52.48,53.24,4281372
"2012-02-09",55.52,56.83,55.44,56.22,3965316
"2012-02-16",57.5,59.4,57.26,58.81,6610116
"2012-02-23",57.92,58.3,57.25,58.25,4009084
"2012-03-01",57.12,58.5,57.12,58.46,5143782
"2012-03-08",57.36,57.66,56.66,57.2,3129890
"2012-03-15",57.42,58.14,57.02,57.82,3907334
"2012-03-22",56.18,56.57,54.93,55.18,4562490
"2012-03-29",54.24,54.63,53.58,54.51,2885434
"2012-04-05",55.06,55.74,54.42,54.59,4629708
"2012-04-12",51.5,52.82,51.47,52.61,6345196
"2012-04-19",52.15,52.64,51.66,51.98,3122084
"2012-04-26",53.21,54.44,53,54.26,4686946
"2012-05-03",54.5,54.97,53.61,53.86,3884380
"2012-05-10",53.37,53.66,52.76,53.26,5338906
"2012-05-17",49.46,49.66,48.58,48.67,3874818
"2012-05-24",51,51.2,49.57,50.4,3806012
"2012-05-31",50.38,50.42,48.2,49.65,7351008
"2012-06-07",48.29,48.7,47.2,47.72,6558948
"2012-06-14",46.45,47.48,46.11,47.23,5099168
"2012-06-21",46.42,46.64,43.17,43.24,11919210
"2012-06-28",42.6,42.92,41.94,42.58,8045020
"2012-07-05",47.04,47.25,45.88,46,4101796
"2012-07-12",45.08,45.92,44.54,45.52,5869594
"2012-07-19",48.6,49.32,48.38,49.12,6149784
"2012-07-26",48.67,49.29,48.13,48.71,4041784
"2012-08-02",49.06,49.56,47.64,48.06,4969118
"2012-08-09",53.76,55.4,53.72,54.7,4150640
"2012-08-16",54.88,55.54,54.7,55.5,3037014
"2012-08-23",54.38,54.59,53.22,53.5,2864590
"2012-08-30",53.72,53.72,52.72,52.94,2562720
"2012-09-06",54.91,56.6,54.8,56.2,4161270
"2012-09-13",56.72,58.06,55.9,57.59,3996842
"2012-09-20",56.46,57.04,55.74,56.78,4148196
"2012-09-27",55.88,56.88,55.75,56.6,1953656
"2012-10-04",55.96,56.12,55.32,55.71,4041116
"2012-10-11",55.2,55.64,54.8,54.92,1994872
"2012-10-18",57.27,57.54,56.87,57.38,2171414
"2012-10-25",56.02,56.22,55.46,56.21,2301416
"2012-11-01",58.24,59.3,58.02,58.44,3661848
"2012-11-08",59.94,60.38,57.86,57.88,4515632
