"","EOG.Open","EOG.High","EOG.Low","EOG.Close","EOG.Volume"
"2012-11-15",56.72,58.28,56.66,58.08,4761088
"2012-11-29",58.8,59.21,58.4,58.82,2837962
"2012-12-06",59.14,59.38,58.5,59.18,2416564
"2012-12-13",60.16,60.32,59.18,59.26,3789060
"2012-12-20",61.4,62.25,61.2,62.18,3064634
"2012-12-27",60.99,61.08,59.78,60.82,3202090
"2013-01-03",61.74,62.74,61.24,62.09,2929912
"2013-01-10",62.7,63.06,62.28,63.05,2277448
"2013-01-17",63,63.28,62.44,63.02,3449088
"2013-01-24",62.45,63.2,62.4,62.5,2723922
"2013-01-31",62.75,62.98,62.25,62.49,3536214
"2013-02-07",64.86,65.06,64.02,64.88,2315794
"2013-02-14",69.04,69.1,66.54,66.66,5911818
"2013-02-21",63.24,63.53,61.78,62.02,5828468
"2013-02-28",63.22,63.98,62.8,62.86,4327746
"2013-03-07",62.88,64.12,62.68,63.78,2445000
"2013-03-14",65.24,66,65.14,65.92,2847736
"2013-03-21",62.64,63.42,61.92,61.95,4030350
"2013-03-28",64.08,64.58,63.72,64.04,3041420
"2013-04-04",63.04,63.04,61.32,61.43,4745632
"2013-04-11",64.5,64.83,63.86,64.13,2956636
"2013-04-18",57.7,57.98,56.02,57.66,6903658
"2013-04-25",60.08,61.76,59.68,60.93,4522966
"2013-05-02",59.62,60.13,59,59.84,3080348
"2013-05-09",69.4,69.5,67.76,68.04,5611232
"2013-05-16",67.26,67.46,66.37,66.61,3960590
"2013-05-23",64.48,65.82,64.12,65.7,3629690
"2013-05-30",66.16,66.97,65.45,66.34,2435112
"2013-06-06",64.46,65.32,63.76,65.32,2993084
"2013-06-13",64.84,66.75,64.68,66.66,3135032
"2013-06-20",66.86,66.94,64.9,65.5,4400690
"2013-06-27",66.58,67.04,65.36,65.5,3611420
"2013-07-11",72,73.4,71.44,71.78,5601574
"2013-07-18",73.21,74.14,73.11,73.5,3070432
"2013-07-25",72.04,73.7,72,73.68,3930800
"2013-08-01",73.78,76.46,73.78,76.04,3997024
"2013-08-08",78.93,80.12,78.16,79.29,4722976
"2013-08-15",77.77,78.89,77.14,78.3,2551442
"2013-08-22",76.36,77.68,76.22,77.2,1462944
"2013-08-29",79.36,79.65,78.34,78.54,1998340
"2013-09-05",80.61,81.31,80.48,80.72,1967622
"2013-09-12",83.77,84.38,83.5,84,3130272
"2013-09-19",86.05,86.4,84.68,85.36,2123292
"2013-09-26",85.86,86.08,84.91,86.04,1933520
"2013-10-03",85.98,86.12,85,85.9,2515624
"2013-10-10",86.7,87.47,86.47,87.43,3033276
"2013-10-17",90.84,91.2,89.65,90.7,4643640
"2013-10-24",89.03,91.28,88.06,90.72,4081906
"2013-10-31",89.99,90.46,88.36,89.2,3954310
"2013-11-07",89.66,90.12,82.53,85.79,9041352
"2013-11-14",84.74,85.04,83.98,84.84,3690688
"2013-11-21",84.06,84.98,83.9,84.66,3079280
"2013-12-05",82.67,83.87,82.08,82.69,4476066
"2013-12-12",78.36,79.66,78.12,79.18,3813236
"2013-12-19",80.84,82.96,80.59,82.66,5075004
"2013-12-26",84.23,84.77,83.84,84.01,1772308
"2014-01-02",83.28,83.98,82.03,82.51,2944140
"2014-01-09",83.7,84.44,82.74,83.5,3539336
"2014-01-16",85.05,85.58,84.35,85.05,3342482
"2014-01-23",84.89,85.87,84.12,84.58,4482806
"2014-01-30",82.55,83.75,82.32,83.06,2262924
"2014-02-06",83.84,86.9,83.84,86.62,5142174
"2014-02-13",86.79,88.38,86.3,87.74,3432632
"2014-02-20",89.52,91.03,89.08,90.02,4511960
"2014-02-27",93.2,93.82,92.24,93.74,3779670
"2014-03-06",95.36,96.1,94.66,95.53,3450578
"2014-03-13",93.12,93.32,90.88,91.46,3764290
"2014-03-20",93.81,95.28,93.04,95.16,4022466
"2014-03-27",96.14,97.7,96.01,96.73,3535222
"2014-04-03",99.33,101.5,99.26,100.65,5219482
"2014-04-10",98.63,99.99,97.56,98.11,4706319
"2014-04-17",100.84,102.84,100.84,102.45,3253213
"2014-04-24",105.5,105.5,103.42,103.48,3715985
"2014-05-01",98.33,98.77,96.81,97.12,4240561
"2014-05-08",104.03,104.56,101.62,101.73,3265809
"2014-05-15",103.97,103.98,101.55,102.74,2608089
"2014-05-22",104.29,105.17,103.53,103.68,2458417
"2014-05-29",105.42,106.71,105,106.67,2565461
"2014-06-05",106.35,107.91,105.82,107.9,2212057
"2014-06-12",111.46,113.02,111.22,111.63,3800762
"2014-06-19",113.14,115.85,112.52,115.8,3866483
"2014-06-26",115.68,115.82,114.07,115.42,2355128
"2014-07-03",116.27,117.02,115.11,116.75,1677892
"2014-07-10",114.88,115.88,113.76,114.96,2212687
"2014-07-17",117.48,118.81,115.35,115.55,2288182
"2014-07-24",116.48,116.93,115.7,116.2,2864399
"2014-07-31",112.84,113.09,109.37,109.44,4162781
"2014-08-07",107.63,107.63,105.4,106.06,2977507
"2014-08-14",107.22,107.23,103.57,103.93,3490654
"2014-08-21",107.5,107.52,106.02,107.19,2138759
"2014-08-28",108.32,109.08,108.1,108.39,1757040
"2014-09-04",107.76,107.99,103.97,104.61,3937570
"2014-09-11",100.93,103.13,100.5,103.06,4596770
"2014-09-18",105.82,105.99,104.21,104.98,3003894
"2014-09-25",102.64,102.7,100.14,100.36,3591610
"2014-10-02",95.76,97.64,94.27,97.06,5382663
"2014-10-09",93.64,93.73,90.88,91.96,9684979
"2014-10-16",85.19,92.52,85.19,91.27,10111528
"2014-10-23",94.24,94.84,92.4,93.4,9219270
"2014-10-30",92.57,93.29,91.03,92.22,3746187
"2014-11-06",95.19,99.18,95.11,98.97,8202186
"2014-11-13",96.5,97.44,94.47,95.85,5859272
"2014-11-20",98.45,100.29,98.34,99.44,4624090
"2014-12-04",90.79,93,89.75,93,5112581
"2014-12-11",87.19,89.76,86.13,86.86,5808149
"2014-12-18",93.83,94.39,88.9,92.45,8888550
"2015-01-08",84.72,87.65,84.07,86.88,5840270
"2015-01-15",89.04,89.5,86.45,86.53,4941725
"2015-01-22",91.38,91.38,88.58,90.36,4471638
"2015-01-29",89.12,89.41,86.76,88.91,5188708
"2015-02-05",95.71,97.28,95.16,96.19,5596560
"2015-02-12",94.96,95.24,93.47,94.8,3944487
"2015-02-19",86.68,94.74,86.58,93.8,18682441
"2015-02-26",91.81,92.25,89.61,90.13,5427108
"2015-03-05",89.85,90.52,89.37,89.59,2688091
"2015-03-12",87.05,87.19,85.62,85.71,3051652
"2015-03-19",89.4,89.9,88.36,89.53,3558725
"2015-03-26",91.49,91.93,90.25,91.36,4857083
"2015-04-02",90.3,92.97,89.23,92.71,4596338
"2015-04-09",94.11,96.07,94.11,95.71,3408669
"2015-04-16",97.83,98.95,97.17,98,4054436
"2015-04-23",97.98,99.25,97.84,98.27,2708426
"2015-04-30",100,100.44,98.48,98.95,3462023
"2015-05-07",96.1,96.1,92.42,93.5,5197832
"2015-05-14",91.99,92.08,90.68,90.73,3582206
"2015-05-21",91.17,91.83,90.68,91.49,3957981
"2015-05-28",88.55,89.36,88,89.15,3790844
"2015-06-04",88.23,89.13,87.28,87.38,3774189
"2015-06-11",91,91.05,90.23,90.65,2300930
"2015-06-18",89.76,90.13,88.54,88.81,3602476
"2015-06-25",88.17,88.27,87.3,87.65,3797792
"2015-07-02",85.95,86.7,85.58,85.67,2699914
"2015-07-09",85.99,87.35,85.18,85.3,3783964
"2015-07-16",83.74,83.8,82.34,82.4,4019255
"2015-07-23",76.2,76.82,75.47,76.32,6335408
"2015-07-30",77.65,78.72,76.8,78.54,4539802
"2015-08-06",75.65,78.34,75.3,77.68,6709536
"2015-08-13",79.3,80.5,78.34,79.68,5889702
"2015-08-20",77.02,78.44,76.61,76.73,6786255
"2015-08-27",72.99,76.1,72.86,75.79,7130707
"2015-09-03",78.25,80.16,76.79,77.45,6180489
"2015-09-10",77.57,78.24,76.13,78.06,4770894
"2015-09-17",80.02,81.18,79.12,79.66,5366197
"2015-09-24",72.29,73.72,71.48,73.26,4415794
"2015-10-01",73.8,75.68,73,73.59,5683654
"2015-10-08",83.31,87.27,83.07,87.04,6780594
"2015-10-15",85.3,87.16,84.93,87.14,3610303
"2015-10-22",84.63,86.17,84.37,85.8,2900186
"2015-10-29",84.32,85.9,84.13,85.52,2826987
"2015-11-05",86.28,88.22,85.45,86.47,4021638
"2015-11-12",82.34,82.75,80.93,81.69,3410187
"2015-11-19",84.26,84.64,81.74,82.65,2797257
"2015-12-03",81.64,82.48,80.25,80.99,4674971
"2015-12-10",77.84,80.15,77.4,78.18,5033285
"2015-12-17",75.47,75.98,71.93,73.3,6109966
"2015-12-24",73.75,73.98,72.65,73.42,1792921
"2015-12-31",70.11,71.59,70,70.79,3117340
"2016-01-07",65.92,69.01,65.19,65.46,5297934
"2016-01-14",64.67,66.61,63.61,65.26,7133746
"2016-01-21",60.24,64.25,59.41,63.75,7403927
"2016-01-28",69.23,69.79,66.65,68.63,6732847
"2016-02-04",70.67,71.39,68.14,68.44,5157365
"2016-02-11",63.62,65.99,63.06,65.56,5341406
"2016-02-18",70.99,71.23,69.34,69.46,3658716
"2016-02-25",69.19,70.3,67.17,68.5,5347481
"2016-03-03",66.95,69.67,66.18,69.25,6644030
"2016-03-10",71.16,72.86,70.3,72.27,4557423
"2016-03-17",75.66,77.45,75.18,76.5,4666051
"2016-03-24",72.42,74.91,72.32,74.3,3621176
"2016-03-31",73.48,74.42,72.37,72.58,5662830
"2016-04-07",70.79,72.08,70.39,71.45,3004242
"2016-04-14",78.03,78.63,77,77.81,2666641
"2016-04-21",79.38,80.29,78.71,79.16,3336057
"2016-04-28",83.85,84.75,81.6,81.89,3251494
"2016-05-05",80.44,82.75,80.15,81.26,5206386
"2016-05-12",81.39,81.85,79.55,80.5,2277387
"2016-05-19",79.15,80.19,77.66,80.08,3684918
"2016-05-26",83.55,83.94,82.21,82.3,2367255
"2016-06-02",79.96,80.58,79.2,80.49,2069761
"2016-06-09",84.17,85.44,84,84.58,3588127
"2016-06-16",81.25,81.34,79.33,80.18,3139796
"2016-06-23",84.76,84.97,83.97,84.5,2413209
"2016-06-30",83.44,83.96,82.64,83.42,3364026
"2016-07-07",83.83,83.86,81.12,81.61,2145773
"2016-07-14",84.84,84.93,83.88,84.63,2018117
"2016-07-21",82.15,83.46,81.2,81.49,1859092
"2016-07-28",79.74,80.71,79.25,79.9,2537360
"2016-08-04",82.03,84.3,81.6,84.24,4243041
"2016-08-11",90.07,91.15,89.08,90.28,3445361
"2016-08-18",90.82,92.1,90.29,91.73,4122216
"2016-08-25",90.7,90.85,90,90.25,1929886
"2016-09-01",88.31,88.64,87.44,88.55,2420698
"2016-09-08",95.18,95.93,94.16,95.43,3697251
"2016-09-15",88.85,92.39,88.49,90.95,3946570
