"","WFC.Open","WFC.High","WFC.Low","WFC.Close","WFC.Volume"
"2011-09-15",25.03,25.22,24.71,25.19,31743082
"2011-09-22",23.11,23.41,22.7,23.17,61766733
"2011-09-29",25.08,25.27,24.11,24.99,42439191
"2011-10-06",24.42,25.46,23.94,25.37,41514783
"2011-10-13",26.58,26.58,25.66,26.12,41606812
"2011-10-20",25.24,25.91,24.92,25.76,35366141
"2011-10-27",26.96,27.5,26.34,27.07,66836376
"2011-11-03",25.62,25.9,25.05,25.81,30808008
"2011-11-10",25.22,25.43,24.85,25.08,30476975
"2011-11-17",24.93,25.27,24.47,24.67,39898738
"2011-12-01",25.62,25.86,25.33,25.64,25819403
"2011-12-08",26.69,26.84,26.06,26.19,29407641
"2011-12-15",26.14,26.31,25.56,25.61,32597370
"2011-12-22",26.91,27.35,26.9,27.25,38976406
"2011-12-29",27.25,27.83,27.22,27.76,20121948
"2012-01-05",28.5,29.58,28.25,29.02,48441638
"2012-01-12",29.77,29.94,29.24,29.61,29178781
"2012-01-19",30.36,30.44,29.99,30.15,33162733
"2012-01-26",30.42,30.42,28.8,29.05,54668039
"2012-02-02",29.98,30.1,29.69,29.9,24632212
"2012-02-09",30.78,30.85,30.29,30.58,29693123
"2012-02-16",30.26,30.47,29.95,30.37,26475787
"2012-02-23",30.65,30.68,30.28,30.65,23331957
"2012-03-01",31.56,31.75,31.31,31.54,27223934
"2012-03-08",30.86,31.49,30.71,31.4,28444934
"2012-03-15",33.5,34.08,33.1,34.07,45012729
"2012-03-22",33.47,33.8,33.23,33.36,30066816
"2012-03-29",34.36,34.42,33.54,33.94,31559971
"2012-04-05",33.78,34.02,33.63,33.73,19566294
"2012-04-12",33.69,34.16,33.52,34.02,31469514
"2012-04-19",33.7,33.77,32.89,33.12,25355059
"2012-04-26",33.3,33.85,33.21,33.84,23418584
"2012-05-03",33.79,33.79,33.24,33.39,18648952
"2012-05-10",33.21,33.5,32.9,33.19,24902347
"2012-05-17",31.96,32.16,31.43,31.44,46082317
"2012-05-24",31.85,31.88,31.36,31.81,23765306
"2012-05-31",31.77,32.36,31.38,32.05,31905548
"2012-06-07",31.45,31.58,31.14,31.18,28902943
"2012-06-14",31.65,32.25,31.53,32.03,31268614
"2012-06-21",32.91,33.14,32.27,32.34,31934327
"2012-06-28",32.41,32.55,31.91,32.48,29700269
"2012-07-05",33.26,33.36,33,33.13,21927751
"2012-07-12",33.02,33.12,32.64,32.85,29960526
"2012-07-19",34.04,34.34,33.96,34.15,22688241
"2012-07-26",33.67,33.84,33.28,33.78,22763175
"2012-08-02",33.63,33.68,32.84,33.34,31474912
"2012-08-09",33.75,33.98,33.61,33.82,13025749
"2012-08-16",34.12,34.2,33.78,34.13,19598023
"2012-08-23",34.16,34.22,33.88,33.92,17541151
"2012-08-30",33.95,34.05,33.81,33.87,15142827
"2012-09-06",33.98,34.95,33.98,34.84,32143786
