"","JWN.Open","JWN.High","JWN.Low","JWN.Close","JWN.Volume"
"2011-09-15",46.59,47.17,45.7,47.02,3630348
"2011-09-22",44.25,45.89,43.63,44.81,3676160
"2011-09-29",47.83,48.04,45.43,46.65,3166833
"2011-10-06",48.82,48.98,47.24,48,5430353
"2011-10-13",50.28,50.92,49.31,49.47,2384015
"2011-10-20",51.14,51.33,49.88,50.58,3069788
"2011-10-27",52,53.09,50.67,52.5,3252892
"2011-11-03",49.33,51.14,48.38,51.07,4909346
"2011-11-10",49.86,50.06,48.86,49.62,3107624
"2011-11-17",48.07,48.29,46.57,47.01,3657650
"2011-12-01",45.65,47.48,45.25,47.1,3659018
"2011-12-08",46.78,48.52,46.68,47.42,3118130
"2011-12-15",47.5,47.84,47.21,47.28,1872843
"2011-12-22",49.55,50,49.05,49.16,1283829
"2011-12-29",49.91,50.61,49.28,50.03,1419593
"2012-01-05",49.84,50.84,49.17,50.61,2606943
"2012-01-12",49.3,49.3,48.42,48.93,1924133
"2012-01-19",49.77,50.63,49.36,50.37,2529887
"2012-01-26",48.91,49.38,48.12,48.46,1980061
"2012-02-02",49.82,50.01,48.67,49.11,2138163
"2012-02-09",51.02,51.27,50.5,51.15,1882214
"2012-02-16",51,52.32,50.93,52.18,4155628
"2012-02-23",52.25,53.69,52.05,53.25,2268931
"2012-03-01",53.67,53.85,52.69,53.77,2555174
"2012-03-08",53.63,53.92,53.29,53.68,1131139
"2012-03-15",54.64,55.12,54.23,55.05,1612826
"2012-03-22",54.83,55.43,54.69,54.99,1268559
"2012-03-29",55.35,55.53,54.42,55.27,1936678
"2012-04-05",55.52,56.75,55.27,56.17,1827485
"2012-04-12",54.66,55.25,53.89,55.09,1496335
"2012-04-19",55.85,56.26,55.07,55.56,1202155
"2012-04-26",55.19,55.86,54.78,55.58,1215838
"2012-05-03",57.47,57.75,56.56,56.86,2106364
"2012-05-10",54.42,54.42,53.14,53.53,3307963
"2012-05-17",50,50.35,48.54,48.54,3191814
"2012-05-24",50.06,50.78,49.92,50.45,1637691
"2012-05-31",49.2,49.5,47.24,47.37,6856119
"2012-06-07",48.28,48.43,47.38,47.66,2272946
"2012-06-14",47.54,48.47,47.48,48.17,1682818
"2012-06-21",50.93,51.1,48.67,48.74,2825491
"2012-06-28",47.5,48.69,47.37,48.25,3571879
"2012-07-05",51.1,52.26,50.76,51.53,3680519
"2012-07-12",50.33,50.68,49.4,50.33,2060673
"2012-07-19",53.02,53.47,52.66,53.28,1432718
"2012-07-26",53.18,53.68,52.2,53.34,1533891
"2012-08-02",52.66,54.43,52.56,53.31,3322906
"2012-08-09",55.21,55.84,54.02,55.08,2887706
"2012-08-16",56.41,56.77,56.18,56.56,1165559
"2012-08-23",57.5,57.6,56.95,57.07,1112421
"2012-08-30",58.21,58.44,57.49,57.53,2174698
"2012-09-06",57.42,58.11,57.42,57.96,1554984
"2012-09-13",57.85,57.99,56.83,57.66,1810428
"2012-09-20",56.54,56.75,56.04,56.56,1259308
"2012-09-27",55,55.32,54.66,55.06,1593553
"2012-10-04",55.94,57.47,55.64,56.05,2985669
"2012-10-11",55.78,56.1,55.28,55.33,1547081
"2012-10-18",57.62,57.78,56.79,57.16,1619984
"2012-10-25",55.44,55.7,54.23,55.1,1763715
"2012-11-01",57.13,57.66,56.81,57.19,2009515
"2012-11-08",57.12,57.12,55.34,55.4,2172891
"2012-11-15",54.12,54.46,53.68,54.18,1674556
"2012-11-29",54.38,55.27,53.93,54.37,3139286
"2012-12-06",52.92,53.13,52.13,52.97,1774323
"2012-12-13",52.04,52.8,52.03,52.15,1986962
"2012-12-20",52.38,52.38,51.35,52.11,2302605
"2012-12-27",51.36,51.97,50.95,51.78,1988927
"2013-01-03",55.52,55.85,54.73,55.27,4970729
"2013-01-10",54.14,55.2,53.56,54.88,2094663
"2013-01-17",56.01,56.33,55.58,55.65,1216486
"2013-01-24",55.5,56.3,55.2,55.67,1080399
"2013-01-31",55.54,55.82,55.19,55.23,1318285
"2013-02-07",55.82,55.97,54.38,54.91,2052072
"2013-02-14",55.05,55.48,54.53,55.25,1091248
"2013-02-21",55.09,55.36,54.32,54.52,3139265
"2013-02-28",54.1,54.58,53.99,54.22,2394785
"2013-03-07",54.07,54.19,53.9,53.99,1132696
"2013-03-14",54.52,54.66,54.18,54.29,1631652
"2013-03-21",52.89,53.19,52.78,52.9,1576352
"2013-03-28",54.52,55.29,54.43,55.23,1844938
"2013-04-04",54.68,55.53,54.68,55.47,1117568
"2013-04-11",55.92,57.76,55.88,57.04,2432795
"2013-04-18",55.48,55.61,54.5,54.82,1411538
"2013-04-25",55.36,56.57,55.2,56.45,1843190
"2013-05-02",56.11,57.03,56.11,57.03,1199284
"2013-05-09",58.92,59.06,58.04,58.49,2020843
"2013-05-16",61.39,61.8,60.92,61.13,3266061
"2013-05-23",59.84,60.41,59.62,60.16,1357498
"2013-05-30",59.4,59.79,59.07,59.14,662071
"2013-06-06",58.16,58.55,57.76,58.44,1081334
"2013-06-13",58.33,59.62,58.21,59.46,1024152
"2013-06-20",58.43,58.54,57.65,57.76,1201795
"2013-06-27",59.65,59.92,58.98,59.56,954921
"2013-07-11",63.16,63.34,62.33,62.65,957716
"2013-07-18",61.68,61.95,61.42,61.61,1059710
"2013-07-25",61.37,61.52,61.04,61.44,763623
"2013-08-01",61.85,62.3,61.78,62.17,1231097
"2013-08-08",59.17,60.1,58.8,59.6,1607080
"2013-08-15",59.27,59.98,58.94,59.33,3472791
"2013-08-22",56.76,57.45,56.4,57.17,1502456
"2013-08-29",56.25,56.36,55.89,55.98,1339768
"2013-09-05",56.08,56.52,56.04,56.19,1169940
"2013-09-12",57.04,57.38,56.79,57.03,1684306
"2013-09-19",57.93,58.07,57.44,57.55,1695311
"2013-09-26",55.93,56.68,55.89,56.58,1911400
"2013-10-03",56.73,57.01,56.29,56.84,1559387
"2013-10-10",56.4,56.82,56.06,56.73,1892733
"2013-10-17",58.09,58.83,58.09,58.65,1298310
"2013-10-24",58.91,59.3,58.75,59.08,1212382
"2013-10-31",60.27,60.7,59.91,60.47,993122
"2013-11-07",60.76,61.4,60.17,60.32,1225974
"2013-11-14",63.19,63.72,62.44,63.43,3064919
"2013-11-21",61.63,62.27,61.63,62.14,927666
"2013-12-05",61.31,61.33,60.78,61.05,855758
"2013-12-12",60.79,61.14,60.19,60.37,1145995
"2013-12-19",60.32,60.59,60,60.24,840950
"2013-12-26",61.72,62,61.58,61.61,609641
"2014-01-02",61.67,62.2,61.34,61.95,1177814
"2014-01-09",60.71,61.61,60.39,61.49,2069783
"2014-01-16",60.64,60.72,59.88,60.11,1285284
"2014-01-23",59,59.1,58.4,59.06,1086774
"2014-01-30",57.12,57.88,57,57.33,1237239
"2014-02-06",57.36,59.03,57.31,58.7,1918792
"2014-02-13",57.86,58.68,57.3,58.56,1280168
