"","PEG.Open","PEG.High","PEG.Low","PEG.Close","PEG.Volume"
"2011-09-15",33.93,34.1,33.64,34.05,2493341
"2011-09-22",33.05,33.36,32.65,33.04,4908652
"2011-09-29",34.15,34.2,33.52,33.96,2878239
"2011-10-06",31.92,32.57,31.8,32.56,2621638
"2011-10-13",32.46,32.74,32.23,32.64,3457393
"2011-10-20",33.11,33.55,33.08,33.41,2935330
"2011-10-27",34.87,34.96,34.29,34.89,4729145
"2011-11-03",33.88,34.49,33.75,34.38,4392400
"2011-11-10",33.52,34,33.38,33.62,3309831
"2011-11-17",32.78,32.85,32.27,32.59,3942921
"2011-12-01",32.76,33,32.59,32.65,2366514
"2011-12-08",31.99,32.07,31.47,31.53,2502699
"2011-12-15",31.35,31.9,31.33,31.84,2625017
"2011-12-22",31.77,32.25,31.67,32.15,2814683
"2011-12-29",32.64,32.96,32.6,32.94,1919608
"2012-01-05",31.51,32.05,31.44,32,2546727
"2012-01-12",31.26,31.37,31.03,31.17,1837284
"2012-01-19",30.51,30.59,30.18,30.25,3595188
"2012-01-26",31,31.35,30.83,31.13,3005679
"2012-02-02",30.39,30.41,29.82,30,4042444
"2012-02-09",30.86,30.9,30.17,30.38,4414941
"2012-02-16",30.7,31.41,30.7,31.35,2949834
"2012-02-23",30.87,30.94,30.45,30.5,11310534
"2012-03-01",30.86,31.1,30.65,30.8,2579612
"2012-03-08",30.37,30.63,30.29,30.52,2796735
"2012-03-15",30.1,30.36,29.9,30.13,2982811
"2012-03-22",29.65,29.84,29.6,29.81,3091560
"2012-03-29",29.97,30.28,29.75,30.25,2586166
"2012-04-05",30.09,30.14,29.58,29.71,5719838
"2012-04-12",29.41,29.5,29.25,29.41,3823733
"2012-04-19",29.99,30.26,29.94,30.08,3095801
"2012-04-26",30.55,31,30.48,30.95,2836509
"2012-05-03",31.36,31.81,31.28,31.5,4023872
"2012-05-10",31.62,32.03,31.47,31.99,2632527
"2012-05-17",31.68,31.87,31.59,31.64,2302499
"2012-05-24",30.74,30.97,30.44,30.67,11836364
"2012-05-31",30.74,31.38,30.74,31.19,4238883
"2012-06-07",31.6,31.77,31.47,31.65,2919903
"2012-06-14",31.79,32.11,31.63,32.06,2817063
"2012-06-21",32.11,32.35,31.52,31.54,3285267
"2012-06-28",31.73,31.9,31.53,31.88,2148865
"2012-07-05",32.35,32.51,32.16,32.33,1869092
"2012-07-12",32.27,32.42,32.14,32.26,1520817
"2012-07-19",32.73,32.93,32.4,32.91,2269281
"2012-07-26",32.87,33.32,32.81,33.26,2633269
"2012-08-02",32.55,32.6,32.06,32.3,2977910
"2012-08-09",32.5,32.58,32.35,32.56,1537917
"2012-08-16",32.7,32.83,32.4,32.46,2424667
"2012-08-23",32.3,32.3,31.84,31.94,2189623
"2012-08-30",31.69,31.75,31.5,31.63,2559577
"2012-09-06",31.44,31.75,31.43,31.72,2027520
"2012-09-13",31.23,31.89,31.22,31.87,2652061
"2012-09-20",31.56,31.8,31.55,31.74,1627346
"2012-09-27",31.91,32.09,31.83,31.85,1799779
"2012-10-04",32.25,32.5,32.17,32.39,1503897
"2012-10-11",32.6,33.15,32.42,32.7,2627857
"2012-10-18",33.07,33.36,32.97,33.32,2176906
"2012-10-25",32.03,32.07,31.78,32.01,1571279
"2012-11-01",31.83,31.83,31.08,31.14,3901464
"2012-11-08",29.95,30.27,29.93,29.95,2367058
"2012-11-15",29.46,29.63,29.05,29.28,2519243
"2012-11-29",30.01,30.01,29.66,29.89,2461727
"2012-12-06",30.03,30.17,29.85,29.96,2807968
"2012-12-13",30.24,30.3,29.94,30.13,1780211
"2012-12-20",30.78,30.87,30.56,30.81,1431868
"2012-12-27",30.26,30.39,29.89,30.28,2626981
"2013-01-03",30.99,31.13,30.85,30.93,1948331
"2013-01-10",30.23,30.3,29.98,30.14,3642022
"2013-01-17",29.88,29.99,29.7,29.79,2478821
"2013-01-24",30.2,30.39,30.13,30.28,1901461
"2013-01-31",30.87,31.2,30.87,31.18,2884838
"2013-02-07",31.24,31.76,31.05,31.54,4650991
"2013-02-14",31.39,31.57,31.07,31.12,2778609
"2013-02-21",31.3,31.98,31.3,31.74,4253169
"2013-02-28",32.64,32.76,32.46,32.59,3388536
"2013-03-07",32.97,33.17,32.65,32.67,2790372
"2013-03-14",32.86,33,32.69,32.95,3508252
"2013-03-21",33.46,33.62,33.35,33.42,2143084
"2013-03-28",33.82,34.37,33.69,34.34,3456017
"2013-04-04",34.34,34.6,34.33,34.55,2122598
"2013-04-11",34.98,35.08,34.84,34.96,2573312
"2013-04-18",35.17,35.42,34.92,35.38,2362018
"2013-04-25",36.05,36.34,35.88,36.1,2022201
"2013-05-02",36.67,36.7,36.3,36.47,2644543
"2013-05-09",35.32,35.41,34.72,34.82,2727289
"2013-05-16",34.84,34.93,34.57,34.65,1884423
"2013-05-23",34.04,34.19,33.51,34.05,2169207
"2013-05-30",33.45,34.01,33.33,33.35,2885900
"2013-06-06",32.14,32.7,32.1,32.7,2884260
"2013-06-13",32.06,32.62,32.06,32.58,2903790
"2013-06-20",32.17,32.25,31.12,31.21,4112313
"2013-06-27",33.01,33.18,32.58,32.65,2485579
"2013-07-11",32.78,33.09,32.59,33.03,2773196
"2013-07-18",33.49,34.2,33.49,34.16,1872816
"2013-07-25",33.72,34.12,33.72,34.1,1396821
"2013-08-01",33.94,34.39,33.91,34.34,2371303
"2013-08-08",33.91,34.16,33.72,34.07,1951156
"2013-08-15",33.1,33.13,32.8,32.9,1701260
"2013-08-22",32.22,32.7,32.06,32.51,5774519
"2013-08-29",32.58,32.66,32.28,32.37,1777491
"2013-09-05",32.06,32.16,31.76,31.97,2409186
"2013-09-12",32.17,32.3,31.72,31.83,2314123
"2013-09-19",33.87,34.22,33.7,33.9,3195252
"2013-09-26",33.54,33.71,33.13,33.33,2203722
"2013-10-03",33.19,33.26,32.68,32.9,3224337
"2013-10-10",33.44,33.78,33.11,33.78,2139704
"2013-10-17",33.29,34,33.06,33.93,2938675
"2013-10-24",34.05,34.17,33.79,33.98,1822511
"2013-10-31",33.24,33.8,32.74,33.5,5966114
"2013-11-07",33.9,34.09,33.44,33.47,3543959
"2013-11-14",33.66,33.86,33.38,33.75,2286397
"2013-11-21",33.55,33.93,33.46,33.68,8580408
