"","HSY.Open","HSY.High","HSY.Low","HSY.Close","HSY.Volume"
"2012-05-31",67.5,67.61,66.85,66.86,1508526
"2012-06-07",67.32,67.32,66.57,66.67,732891
"2012-06-14",69.2,69.33,68.51,68.92,1204205
"2012-06-21",71,71,69.54,69.56,1341144
"2012-06-28",69.07,69.97,68.85,69.77,1633064
"2012-07-05",72.36,72.7,72.16,72.23,952682
"2012-07-12",71.77,72.2,71.28,71.96,1013060
"2012-07-19",71.73,71.92,71.29,71.6,816233
"2012-07-26",71.2,72.55,71.05,71.43,988516
"2012-08-02",71.05,72.05,70.72,71.63,1024182
"2012-08-09",71.63,71.88,71.46,71.74,752061
"2012-08-16",72.47,72.75,72.05,72.25,1031925
"2012-08-23",72.56,72.79,72.18,72.61,760434
"2012-08-30",72.06,72.21,71.49,71.56,676730
"2012-09-06",72.65,73.19,72.57,73.16,561738
"2012-09-13",70.87,72.15,70.83,72.03,921011
"2012-09-20",71.22,72.24,71.17,71.94,921480
"2012-09-27",70.71,70.99,70.46,70.84,323152
"2012-10-04",71.72,71.81,71.05,71.31,699459
"2012-10-11",70.96,70.96,70.13,70.39,580288
"2012-10-18",70.8,71.42,70.42,71.3,964483
"2012-10-25",70.59,71.32,69.23,69.85,1918801
"2012-11-01",68.88,70.1,68.23,69.72,1142188
"2012-11-08",69.43,70.48,69.24,69.9,1071177
"2012-11-15",71.45,71.67,71.1,71.56,707694
"2012-11-29",72.43,72.78,72.11,72.55,678765
"2012-12-06",72.43,72.48,71.94,72.04,531617
"2012-12-13",73.47,74.02,73.29,73.79,1238008
"2012-12-20",73.79,74.03,73.57,73.97,643876
"2012-12-27",72.03,72.46,71.6,72.06,590902
"2013-01-03",74.2,74.28,73.27,73.51,1042557
"2013-01-10",74.87,75.96,74.27,75.93,1380747
"2013-01-17",76.91,78.12,76.81,78.02,1008691
"2013-01-24",78.5,78.78,77.9,78.09,1208877
"2013-01-31",78.31,79.96,78.31,79.45,1866471
"2013-02-07",80.3,80.4,79.77,80.33,655918
"2013-02-14",81.53,81.81,80.83,80.89,1215409
"2013-02-21",79.96,80.82,79.14,80.3,1764274
"2013-02-28",82.56,83.67,82.56,83.34,1947593
"2013-03-07",84.64,85.06,84.46,84.52,739817
"2013-03-14",84.48,84.61,84.3,84.5,577839
"2013-03-21",85.5,86.3,85.2,85.23,670751
"2013-03-28",87,87.62,86.61,87.53,928803
"2013-04-04",86.1,86.41,85.55,85.78,864985
"2013-04-11",86.76,87.11,86.39,86.61,801268
"2013-04-18",89.04,89.76,88.76,89.47,1041558
"2013-04-25",89.8,91.42,88.54,88.89,1854436
"2013-05-02",87.94,89.5,87.92,89.28,1051494
"2013-05-09",88.97,89.24,87.63,87.75,838229
"2013-05-16",90.04,90.58,89.67,89.94,1116258
"2013-05-23",88.67,89.64,88.21,89.23,979793
"2013-05-30",89.51,91.3,89.36,90.45,2156975
"2013-06-06",87.97,88.05,87.09,87.78,1277777
"2013-06-13",87.54,87.95,86.86,87.89,981015
"2013-06-20",87.41,87.82,85.14,85.28,1509148
"2013-06-27",88.42,89.12,88.23,88.8,981951
"2013-07-11",91.53,92.06,91.13,91.93,1305771
"2013-07-18",91.56,92.43,91.45,92.25,599072
"2013-07-25",93,94,92.12,93.9,884714
"2013-08-01",95.48,97,95.37,96.95,1491601
"2013-08-08",97.09,97.64,96.69,97.4,585848
"2013-08-15",95.36,95.99,95.22,95.41,728902
"2013-08-22",93.8,94.29,93.26,93.94,651115
"2013-08-29",90.78,91.86,90.24,91.43,973651
"2013-09-05",90.84,91.11,90.01,90.19,881903
"2013-09-12",91.61,91.89,91.11,91.21,644228
"2013-09-19",94.25,94.32,92.94,93.79,606281
"2013-09-26",92.41,93.13,92.23,93.11,632535
"2013-10-03",91.69,91.94,90.7,91.04,573413
"2013-10-10",92.3,93.77,92.23,93.76,717045
"2013-10-17",94.56,95.53,94.42,95.23,604366
"2013-10-24",96.5,96.64,94.58,96.41,1107411
"2013-10-31",100,100.24,98.93,99.24,569411
"2013-11-07",99.32,99.52,96.59,96.7,1056473
"2013-11-14",97.9,98.68,97.53,98.65,448343
"2013-11-21",94.55,96.1,94.51,95.76,668713
"2013-12-05",96.56,96.74,95.69,95.79,706792
"2013-12-12",95.43,95.85,94.83,94.96,525277
"2013-12-19",95.82,96.39,95.03,96.26,693698
"2013-12-26",96.19,96.46,95.88,96.46,260421
"2014-01-02",97.18,97.18,95.9,95.93,753497
"2014-01-09",97.79,98.03,97.2,97.64,829546
"2014-01-16",98.2,99.55,97.83,99.5,814232
"2014-01-23",99.19,99.67,98.77,99.33,791549
"2014-01-30",97.71,99.47,96.77,99.25,1051076
"2014-02-06",100.79,101.43,99.87,100.6,972661
"2014-02-13",102.58,104.1,102.51,104.01,756731
"2014-02-20",106.23,108.47,106.17,107.71,1491030
"2014-02-27",105.19,105.97,104.63,105.77,1291258
"2014-03-06",107.03,107.07,106.02,106.03,630749
"2014-03-13",106.18,106.45,105.31,105.58,797368
"2014-03-20",104.22,104.82,103.64,104.43,715507
"2014-03-27",102.85,103.53,102.51,102.77,1013235
"2014-04-03",103.58,103.82,102.55,102.86,1158518
"2014-04-10",98.85,99.58,98.37,98.61,1705221
"2014-04-17",100.34,100.64,99.84,100.61,528824
"2014-04-24",100,100,95.11,96.02,3086645
"2014-05-01",96.03,96.3,95.4,96.04,1034916
"2014-05-08",96.78,97.2,95.89,96.23,969975
"2014-05-15",95.91,96.78,95.76,96.48,1235222
"2014-05-22",96.94,97.44,96.49,97.37,1066302
"2014-05-29",96.04,97.08,95.82,96.93,929870
"2014-06-05",97.39,97.42,96.54,97.06,985285
"2014-06-12",96.9,96.99,96.37,96.94,769067
"2014-06-19",99.25,100,99.25,99.74,779024
"2014-06-26",97.34,97.44,96.44,96.56,915152
"2014-07-03",96.77,96.89,96.22,96.63,635184
"2014-07-10",96.09,96.43,95.75,96.28,713596
"2014-07-17",92.15,92.58,91.73,92.17,1438536
"2014-07-24",93.51,93.79,91.81,92.34,1728103
"2014-07-31",90.22,90.35,88.1,88.15,2098836
"2014-08-07",89.76,90.17,89.4,89.53,1250945
"2014-08-14",90.98,92.42,90.97,92.32,1906012
"2014-08-21",91.45,92.01,91.42,91.9,1198173
"2014-08-28",91.27,92.21,91.27,91.94,694244
"2014-09-04",90.8,90.84,89.63,89.75,1517795
"2014-09-11",91.81,92.49,91.51,92.37,862501
"2014-09-18",94,94.24,93.61,94.17,749077
"2014-09-25",93.73,93.8,92.71,92.93,916598
"2014-10-02",94.4,94.48,93.38,93.91,1022271
"2014-10-09",93.83,94.82,92.99,93.43,916588
"2014-10-16",91.37,91.45,89.67,91.09,2058819
"2014-10-23",94.66,94.95,93.7,93.85,658686
"2014-10-30",93.47,95,92.9,94.82,997753
"2014-11-06",95.87,96.9,95.79,96.82,1103737
"2014-11-13",96.65,97.42,96.11,96.64,956503
"2014-11-20",95.8,96.14,95.19,95.29,964752
"2014-12-04",99.76,99.92,98.98,99.62,1030458
"2014-12-11",98.76,100.67,98.7,99.58,1307305
"2014-12-18",100.8,103.78,100.8,103.78,1656290
"2015-01-08",105.93,107.5,105.5,107.17,1246970
"2015-01-15",107.84,109.11,107.58,108.46,1518908
"2015-01-22",110.35,110.99,109.26,110.78,1154158
"2015-01-29",101.92,103.41,98.73,103.29,6049809
"2015-02-05",105.93,106.34,105.09,105.81,886596
"2015-02-12",105.96,106.67,105.38,106.66,1044416
"2015-02-19",106.97,107.31,105.42,105.95,1448321
"2015-02-26",104.54,104.54,103.37,103.63,1768066
"2015-03-05",101.91,102.58,101.68,102.35,891257
"2015-03-12",99.42,100.77,99.14,100.6,998624
"2015-03-19",100.72,101.3,100.13,100.55,650987
"2015-03-26",101.62,102.15,100.85,101.01,892160
"2015-04-02",100.6,101.39,100.03,100.75,642999
"2015-04-09",100.45,100.98,99.9,100.74,694402
"2015-04-16",100.92,101.97,100.48,101.42,651773
"2015-04-23",95.85,97.52,93.82,94.93,3400943
"2015-04-30",91.38,92.27,91.13,91.92,2093844
"2015-05-07",93.85,94.52,93.54,94.37,882382
"2015-05-14",94.96,96.26,94.71,96.12,1610227
"2015-05-21",94.61,95.06,93.99,94.06,998041
"2015-05-28",93.06,93.55,92.82,93.39,613892
"2015-06-04",91.27,92.05,91.2,91.27,1076426
"2015-06-11",91.12,91.37,90.59,90.76,894956
"2015-06-18",92.66,93.02,92.19,92.26,1134797
"2015-06-25",88.43,88.5,87.79,87.86,1395758
"2015-07-02",89.81,90.39,89.6,90.04,1253485
"2015-07-09",91.2,91.43,90.62,90.81,1155604
"2015-07-16",92.33,92.53,91.98,92.32,641520
"2015-07-23",90.97,91.31,90.49,90.65,428686
"2015-07-30",92.43,93.01,92.13,92.86,714394
"2015-08-06",92.81,93.19,91.48,92.2,2027060
"2015-08-13",91.87,92.02,90.46,90.48,952699
"2015-08-20",91.23,92.54,91.2,91.59,1231029
"2015-08-27",88.96,90.63,88.83,90.24,1477778
"2015-09-03",88.95,90.46,88.72,90.24,1323799
"2015-09-10",90.11,91.41,89.93,90.71,857597
"2015-09-17",93.69,94.42,92.84,93.3,1015185
"2015-09-24",91.26,92.22,91.26,92.09,707147
"2015-10-01",92.28,92.28,90.86,92.05,1263714
"2015-10-08",95.65,97.18,95.11,97,990570
"2015-10-15",94.97,95.26,93.61,94.73,765339
"2015-10-22",94.64,96.18,94.53,95.93,996675
"2015-10-29",88.2,89.67,87.06,88.96,3462109
"2015-11-05",88.18,88.48,87.43,87.71,1280235
"2015-11-12",86.63,86.71,85.1,85.16,1016606
"2015-11-19",85.52,86.15,85.02,85.09,1095560
"2015-12-03",85.3,85.67,84,84.56,1027487
"2015-12-10",86.5,87.52,86.37,86.77,1018934
"2015-12-17",91.45,91.58,89.43,89.83,1280252
"2015-12-24",90.28,90.52,89.98,90.32,292432
"2015-12-31",90.1,90.1,89.09,89.27,559799
"2016-01-07",86.71,87.18,85.42,85.7,1712966
"2016-01-14",84.09,85.07,83.48,84.57,1549134
"2016-01-21",84.96,85.28,83.82,84.66,1667082
"2016-01-28",85.72,88.23,82.42,87,3498371
"2016-02-04",88.72,89.64,88.2,88.64,1340264
"2016-02-11",89.02,89.1,87.92,88.49,1350914
"2016-02-18",91.41,91.41,90.01,90.49,1111441
"2016-02-25",90.66,91.96,90.18,91.94,860776
"2016-03-03",92.2,93.41,92,93.36,817552
"2016-03-10",93,93,91.79,91.95,734330
"2016-03-17",93.01,93.26,92.5,92.64,995375
"2016-03-24",89.4,90.35,89.36,90.07,883610
"2016-03-31",91.51,92.3,91.39,92.09,1174473
"2016-04-07",91.28,91.56,90.09,91.04,1145643
"2016-04-14",92.11,92.75,91.95,92.19,1059834
"2016-04-21",91.45,91.82,89.78,89.78,2095901
"2016-04-28",90.5,92.05,90.22,91.66,1376290
"2016-05-05",92.08,92.94,91.64,91.9,1563260
"2016-05-12",92.45,93.24,92.04,93.16,799751
"2016-05-19",89.6,90.64,89.17,90.64,1214796
"2016-05-26",91.47,92.75,91.33,92.15,914629
"2016-06-02",92.81,92.94,92,92.76,873929
"2016-06-09",93.67,96.71,93.54,96.42,2991905
"2016-06-16",96.07,96.85,95.77,96.78,1422710
"2016-06-23",97.74,97.87,96.56,97.12,1169615
"2016-06-30",97.55,117.79,97.48,113.49,19899432
"2016-07-07",110,110.84,109,110.04,2007881
"2016-07-14",108.61,109.73,107.87,108.09,1312715
"2016-07-21",109.39,109.86,108.58,109.59,1159436
"2016-07-28",109.48,112.22,108.41,111.35,2138270
"2016-08-04",110.71,111.43,110.16,110.72,505188
"2016-08-11",112,112.75,111.07,112.04,1281558
"2016-08-18",113.59,113.88,112.18,113.07,815159
"2016-08-25",110.9,112.05,110.7,111,656341
"2016-09-01",100.06,100.45,99.43,99.54,1189256
"2016-09-08",99.05,99.19,98,98.09,1151178
"2016-09-15",95.6,96.34,95.22,96.01,1147129
