"","HSY.Open","HSY.High","HSY.Low","HSY.Close","HSY.Volume"
"2011-09-15",58.38,59.14,57.89,59.02,1284642
"2011-09-22",56.98,57.85,56.64,57.7,2277060
"2011-09-29",59.29,59.65,58.37,58.95,780354
"2011-10-06",58.71,59.12,58.23,58.94,1147593
"2011-10-13",59.16,59.72,58.97,59.62,882361
"2011-10-20",59.59,59.99,59.39,59.57,807095
"2011-10-27",60.04,60.04,56.73,57.04,4733808
"2011-11-03",57.88,58.88,57.67,58.44,1630517
"2011-11-10",56.13,57.12,56.13,56.96,985449
"2011-11-17",56.12,56.63,55.84,56.24,1113825
"2011-12-01",57.68,58.04,57.5,57.79,778780
"2011-12-08",58.16,58.99,58.15,58.69,895283
"2011-12-15",59.34,59.72,59.11,59.31,1257510
"2011-12-22",60.85,61.23,60.55,61.06,994129
"2011-12-29",61.65,62.26,61.64,62,959242
"2012-01-05",60.96,61.12,60.68,60.83,870405
"2012-01-12",61.26,62,61.21,61.63,785844
"2012-01-19",61.97,62.19,61.12,61.65,1042229
"2012-01-26",61.74,62.18,61.38,61.53,582108
"2012-02-02",61.54,61.86,60.53,61.55,1156370
"2012-02-09",60.3,60.42,59.56,59.79,2397871
"2012-02-16",60.63,60.87,60.27,60.48,1564072
"2012-02-23",60.12,60.84,59.87,60.72,1508949
"2012-03-01",60.77,61.29,60.62,61.12,1438911
"2012-03-08",59.98,60.12,59.46,59.56,1196052
"2012-03-15",60.37,60.55,60.26,60.3,977792
"2012-03-22",59.75,60.5,59.73,60.4,535218
"2012-03-29",60.83,61.28,60.5,61.18,895319
"2012-04-05",61.16,61.29,60.43,60.66,1134613
"2012-04-12",61.16,61.69,60.86,61.65,1393061
"2012-04-19",62.45,63.15,62.37,62.9,1774434
"2012-04-26",66.17,66.84,65.49,66.57,2357301
"2012-05-03",67.17,67.42,66.76,67.33,1319088
"2012-05-10",68.3,68.85,68.1,68.67,1328542
"2012-05-17",68.64,68.97,68.25,68.35,1195308
"2012-05-24",67.16,68.1,67.05,68,1639733
