"","VAR.Open","VAR.High","VAR.Low","VAR.Close","VAR.Volume"
"2011-09-15",53.25,53.92,52.29,53.69,2207186
"2011-09-22",49.73,50.48,49.16,49.63,1868135
"2011-09-29",53.17,53.3,51.1,52.1,1458069
"2011-10-06",53.44,55.09,52.65,54.58,2120677
"2011-10-13",55.81,56.3,55.35,55.96,1357939
"2011-10-20",55.94,56.31,55.2,55.88,967747
"2011-10-27",59.56,59.91,57.57,59.52,2034181
"2011-11-03",56.97,57.11,56.05,57.11,1441130
"2011-11-10",57.12,57.53,56.41,56.91,772176
"2011-11-17",59.78,59.78,58.27,58.58,1051619
"2011-12-01",61.94,63.68,61.87,63.06,1066779
"2011-12-08",64.18,64.41,62.94,63.07,1018227
"2011-12-15",63.93,64.01,63.42,63.56,599557
"2011-12-22",65.57,66.06,65.25,65.59,614226
"2011-12-29",65.91,66.88,65.54,66.83,427421
"2012-01-05",67.97,68.64,67.54,68.55,1401263
"2012-01-12",69.59,71.95,69.13,71.7,1452090
"2012-01-19",70.94,71.92,70.77,71.7,889866
"2012-01-26",70.41,70.41,65,67.3,3503579
"2012-02-02",66.76,67.47,66.38,66.95,821457
"2012-02-09",66.58,66.59,64.8,64.87,1110850
"2012-02-16",66.2,67.48,66.06,67.1,745582
"2012-02-23",65.63,66.15,65.15,65.99,468381
"2012-03-01",65.14,66.02,65.14,65.92,631484
"2012-03-08",65.93,67.15,65.71,67.06,772491
"2012-03-15",69.55,70.82,69.1,70.8,811233
"2012-03-22",69.34,69.55,68.61,69.2,812683
"2012-03-29",68.57,69.3,68.41,68.8,475014
"2012-04-05",67.78,68.5,67.7,68.44,487932
"2012-04-12",67.09,68.42,67.09,67.82,818366
"2012-04-19",67.14,67.19,66.06,66.25,609485
"2012-04-26",68,68,62.77,63.6,6370471
"2012-05-03",65.14,65.4,64.37,64.46,1478114
"2012-05-10",64.09,64.92,64.08,64.11,988964
"2012-05-17",63.59,64,62.27,62.38,1108909
"2012-05-24",61.25,61.53,60.52,61.15,2172408
"2012-05-31",59.47,59.68,58.26,58.66,1709610
"2012-06-07",59.94,60.09,59.07,59.21,1174868
"2012-06-14",59.33,59.99,58.92,59.39,783029
"2012-06-21",61.18,61.44,59.08,59.09,760163
"2012-06-28",59.53,59.93,57.93,59,1378189
"2012-07-05",61.5,61.54,61.23,61.3,964164
"2012-07-12",57.09,57.99,57.09,57.74,726450
"2012-07-19",59.98,60.42,59.23,59.43,690015
"2012-07-26",55,55,52.9,53.73,6532107
"2012-08-02",54.85,54.98,53.74,54.41,969452
"2012-08-09",56.77,56.95,56.38,56.43,497456
"2012-08-16",58.69,59.64,58.63,59.3,1071555
"2012-08-23",59.07,59.21,58.65,58.79,632631
"2012-08-30",59.24,59.27,58.53,58.74,875163
"2012-09-06",58.98,59.6,58.82,59.5,925481
"2012-09-13",61.22,62.16,60.66,61.76,1233719
"2012-09-20",61.39,61.67,61.06,61.24,874435
"2012-09-27",59.91,60.26,59.5,60.04,547464
"2012-10-04",61.21,61.66,60.48,61.39,718457
"2012-10-11",58.67,59.53,58.67,58.87,992920
"2012-10-18",59.42,59.61,58.87,59.14,1109788
"2012-10-25",57.78,58.29,57.33,58.1,2095394
"2012-11-01",66.24,68.83,65.91,68.77,1881291
"2012-11-08",69.55,70.27,68.58,68.59,914845
"2012-11-15",67.73,68.2,67.1,67.74,844931
"2012-11-29",69.47,70.14,68.75,69.12,637937
"2012-12-06",69.82,69.94,69.05,69.61,531535
"2012-12-13",71.93,72.08,71.38,71.6,427039
"2012-12-20",70.78,71.81,70.43,71.78,621745
"2012-12-27",69.83,70.45,69.25,70.22,460361
"2013-01-03",72.59,73.8,72.51,73.68,1353487
"2013-01-10",75.5,75.69,74.79,74.88,910104
"2013-01-17",74.49,74.89,74.23,74.59,462651
"2013-01-24",71.12,73.25,69.52,72.88,2875725
"2013-01-31",71.17,71.42,70.51,70.65,723079
"2013-02-07",71.18,71.97,70.52,71.86,1003141
"2013-02-14",71.22,71.5,70.88,70.96,614113
"2013-02-21",69.81,69.92,68.79,69.48,744669
