"","COO.Open","COO.High","COO.Low","COO.Close","COO.Volume"
"2011-09-15",77.53,79.37,77.19,79.05,698485
"2011-09-22",73.99,79.62,73.99,78.51,541789
"2011-09-29",81.69,81.95,77.69,79.41,489108
"2011-10-06",76.93,78.54,75.96,78.48,540769
"2011-10-13",73.01,74.79,72.95,74.67,446189
"2011-10-20",67.15,67.52,63.56,65.51,2121172
"2011-10-27",71.94,72.28,70.34,71.24,522193
"2011-11-03",69.16,70.02,68.26,69.34,420421
"2011-11-10",66.8,67.23,66,66.17,469227
"2011-11-17",58.52,58.85,57.3,58.59,1735252
"2011-12-01",61.22,62.28,60.77,61.38,403829
"2011-12-08",58.3,59.24,58.02,58.16,810505
"2011-12-15",66.52,67.66,66.38,66.58,529611
"2011-12-22",70.59,70.85,69.75,70.25,296351
"2011-12-29",70.07,71.22,69.86,71.1,219047
"2012-01-05",70.44,70.5,69.01,70.09,454199
"2012-01-12",70.8,70.94,69.55,70.4,272988
"2012-01-19",70.04,71.29,69.87,70.87,411974
"2012-01-26",72.38,73.01,71.5,71.78,309394
"2012-02-02",75.1,75.19,74.03,74.45,302873
"2012-02-09",75.29,75.3,73.33,73.92,280425
"2012-02-16",75.64,78.79,75.15,78.09,507572
"2012-02-23",78.09,80.29,78.07,79.18,471216
"2012-03-01",79.66,80.31,78.77,79.57,321182
"2012-03-08",79.11,79.47,78.25,78.93,608952
"2012-03-15",80.95,81.14,79.89,80.83,279673
"2012-03-22",77.9,79.1,77.63,79,348239
"2012-03-29",79.8,81.87,79.43,81.25,467991
"2012-04-05",80.84,84.11,80.62,83.76,865746
"2012-04-12",81.78,83.82,81.78,83.63,490086
"2012-04-19",85,86.11,84.51,85.86,575370
"2012-04-26",86.61,87.07,85.54,86.47,394260
"2012-05-03",87.54,89.31,87.54,88.41,1130446
"2012-05-10",87.65,88.44,87.09,88.28,237077
"2012-05-17",86.73,86.98,85.41,85.75,443900
"2012-05-24",85.93,87.61,85.42,85.74,469291
"2012-05-31",85.05,85.46,84.4,85.18,903295
"2012-06-07",82.86,83.27,80.05,80.06,817908
"2012-06-14",77.96,78.6,77.39,77.59,530484
"2012-06-21",79.6,80.69,79.41,79.51,594947
"2012-06-28",78.62,78.77,76.31,77.33,797144
"2012-07-05",79.82,79.93,78.38,78.39,539994
"2012-07-12",77.64,77.92,76.58,77.38,589263
"2012-07-19",77.03,77.34,76.15,77.2,405253
"2012-07-26",76.35,76.8,74.75,75.04,411585
"2012-08-02",73.45,73.45,71.4,72.29,928176
"2012-08-09",76.83,78.21,76.83,78.15,378583
"2012-08-16",81.51,82.06,80.62,81.7,292942
"2012-08-23",81.78,82.21,80.82,81.84,242274
"2012-08-30",82.84,83.68,82.6,83.16,244876
"2012-09-06",85.22,86.64,84.76,86.03,583059
"2012-09-13",94.31,95.23,92.11,94.83,495735
"2012-09-20",93.07,94.26,92.86,93.58,309814
"2012-09-27",94.2,94.69,93.57,94.28,172689
"2012-10-04",99.61,100.92,98.5,100.67,768310
"2012-10-11",98.87,99.74,95.45,97.71,390139
"2012-10-18",98.88,98.88,96.87,97.43,222802
"2012-10-25",96.49,97.45,95.39,96.07,185098
"2012-11-01",95.89,98.77,95.01,98.45,380691
"2012-11-08",96.3,96.35,93.14,94.02,282586
"2012-11-15",90.63,91.22,88.8,89.4,542986
"2012-11-29",97.21,97.71,95.77,95.9,227104
"2012-12-06",93.74,94,92.75,93.85,370224
"2012-12-13",94.95,95.68,94.12,95,498802
"2012-12-20",94.63,95.2,92.66,92.75,569672
"2012-12-27",92.15,92.71,91.64,92.46,328156
"2013-01-03",94.94,96.14,94.48,94.93,362252
"2013-01-10",96.9,97.98,96.33,97.8,343428
"2013-01-17",97.96,98.35,97.33,97.33,239560
"2013-01-24",99.51,101.43,99.12,100.73,466120
"2013-01-31",100.95,101.44,100.14,101.35,262560
"2013-02-07",103.15,103.33,102.44,102.87,493929
"2013-02-14",104.21,104.42,103.59,103.79,208787
"2013-02-21",103.11,103.12,101.57,102.59,285806
"2013-02-28",105.49,106.75,105.49,106.06,191665
"2013-03-07",105.69,105.9,103.88,104.7,701502
"2013-03-14",105,105.75,104.44,104.82,276026
"2013-03-21",104.92,109.65,103.68,103.98,169599
"2013-03-28",106.74,108.04,106.48,107.88,333885
"2013-04-04",107.22,108.01,106.74,107.98,288908
"2013-04-11",108.5,109.93,107.94,109.89,313517
"2013-04-18",107.9,108.48,105.39,105.86,173999
"2013-04-25",105.38,110.45,105.35,107.29,174672
"2013-05-02",108.92,109.93,108.19,109.86,366657
"2013-05-09",114.98,116.1,114.96,115.34,203046
"2013-05-16",111.93,111.95,110.39,110.52,349257
"2013-05-23",106.84,107.66,105.71,107.12,371327
"2013-05-30",110.57,114.37,110.3,114.3,401109
"2013-06-06",110.63,113.22,110.33,113.13,392192
"2013-06-13",120.5,121.43,119.72,121.22,269813
"2013-06-20",119.51,119.92,116.91,117.31,220888
"2013-06-27",118.38,118.49,117.3,117.8,314355
"2013-07-11",125.47,125.6,123.65,123.7,296605
"2013-07-18",125.97,127.21,125.88,126.62,129671
"2013-07-25",126.84,127.46,125.36,126.22,177948
"2013-08-01",128.47,130.37,128.05,129.61,356790
"2013-08-08",130.85,131.94,129.91,131.66,180549
"2013-08-15",130.83,130.91,129,129.42,196776
"2013-08-22",129.49,130.42,128.4,130,91353
"2013-08-29",130.45,132.17,129.39,131.73,211765
"2013-09-05",132.7,134.2,131.42,133.25,360432
"2013-09-12",134.54,134.77,131.79,132.03,370466
"2013-09-19",134.76,135.22,131.47,131.99,263029
"2013-09-26",129.58,130.74,128.64,129.98,304315
"2013-10-03",129.2,129.93,126.83,126.86,836207
"2013-10-10",126.67,127.43,126.08,127.27,340028
"2013-10-17",127.68,127.84,126.92,127.13,548920
"2013-10-24",128.8,129.15,127.83,128.77,193793
"2013-10-31",129.95,130.26,128.03,129.21,192927
"2013-11-07",128.28,129.04,125.64,125.72,179630
"2013-11-14",127.63,128.49,126.49,126.98,248803
"2013-11-21",128.46,132.23,128.46,132.22,321612
"2013-12-05",134.38,135,132.19,133.73,368128
"2013-12-12",119.56,121.33,118.58,119.53,1140346
"2013-12-19",121.13,122.89,121.02,122.6,704769
"2013-12-26",126.66,127,125.39,125.65,265617
"2014-01-02",123.25,123.97,122.29,123.05,320701
"2014-01-09",124.27,126.69,124.15,125.83,666857
"2014-01-16",128.91,131.3,128.71,130.62,511926
"2014-01-23",126.4,127.76,125.62,126.3,491929
"2014-01-30",124.55,125.36,123.71,125.24,257159
"2014-02-06",120.03,120.96,119.06,120.15,274657
"2014-02-13",125.91,127.88,125.91,126.54,350909
"2014-02-20",126.92,128.71,125.38,128.52,238384
"2014-02-27",129.22,130.14,127.7,129.65,301039
"2014-03-06",130.88,132.95,129.59,130.09,748969
"2014-03-13",134.85,136.2,133.08,133.55,440941
"2014-03-20",137.33,139.31,136.38,138.58,471176
"2014-03-27",133.43,133.58,131.23,131.57,350938
"2014-04-03",137.42,138.27,136.12,137.5,559381
"2014-04-10",132.31,132.31,125.84,126.1,679651
"2014-04-17",128.52,129.82,126.3,128.66,399745
"2014-04-24",130.07,130.95,128.81,130.53,381106
"2014-05-01",132.12,133.42,130.97,132.27,202464
"2014-05-08",133.66,135.56,131.86,132.2,246983
"2014-05-15",133.27,133.29,130.72,132.24,355088
"2014-05-22",130.05,131.26,129.6,129.94,386831
"2014-05-29",128.04,129.12,127.36,128.39,469013
"2014-06-05",130.75,131.67,129.83,131.11,447907
"2014-06-12",132.83,133.45,131.15,131.45,360190
"2014-06-19",135.45,136.29,134.5,136.03,525605
"2014-06-26",137.1,137.1,135.02,135.65,177080
"2014-07-03",146.48,146.7,144.54,145.32,665115
"2014-07-10",148.82,149.87,147.66,148.83,563370
"2014-07-17",150.07,150.34,148.35,148.76,620063
"2014-07-24",155.98,161.65,155.43,160.85,1339036
"2014-07-31",162.08,163.24,159.84,160.88,1067093
"2014-08-07",158.46,160.39,157.69,158.07,393592
"2014-08-14",161.59,162.33,160.08,160.47,236667
"2014-08-21",162.31,163.75,162.08,162.8,386313
"2014-08-28",163.57,164.17,162.43,162.98,311942
"2014-09-04",161.92,163.99,160.6,160.95,753839
"2014-09-11",161.49,162.73,160.04,161.33,652631
"2014-09-18",157.9,158.16,156.25,157.01,542374
"2014-09-25",156.6,156.78,154.64,155.59,543438
"2014-10-02",155.18,156.1,153.24,155.34,261941
"2014-10-09",154.13,155.8,154.06,154.3,650923
"2014-10-16",144.78,148.67,144.05,148,535554
"2014-10-23",155.53,157.07,155.43,156.13,512783
"2014-10-30",162.86,164.1,162.09,163.66,234042
"2014-11-06",164.29,167.59,164.29,166.08,557859
"2014-11-13",161.15,164.33,160.27,161.73,321972
"2014-11-20",167.37,169.5,165.79,167.39,1149517
"2014-12-04",169.44,170.22,167.14,168.77,575581
"2014-12-11",159.67,161.22,158.57,159.02,410679
"2014-12-18",161.83,162.28,159.92,162.28,471559
"2015-01-08",163.06,164.93,162.36,162.88,534699
"2015-01-15",160.79,161.52,159.41,159.69,320620
"2015-01-22",162.98,164.85,161.84,164.1,328270
"2015-01-29",159.53,160.55,156.76,160.1,528492
"2015-02-05",160.15,162.91,160.15,161.53,235654
"2015-02-12",162.53,163.82,161.47,163.02,173848
"2015-02-19",164.79,166.24,164.14,164.35,293924
"2015-02-26",163.08,165.56,163.02,165.45,273449
"2015-03-05",164.83,166.79,164.21,165.26,499334
"2015-03-12",186.4,188.84,184.71,185.05,677915
"2015-03-19",186.36,187.76,185.74,187.36,300285
"2015-03-26",183.48,186.04,182.15,185.09,303649
"2015-04-02",186.88,189.68,186.47,187.7,510928
"2015-04-09",185.67,188.11,185.07,186.92,171365
"2015-04-16",182.79,182.79,179.78,179.93,328219
"2015-04-23",182.96,184.24,182.46,182.99,352003
"2015-04-30",179.72,181.72,177.17,178.07,287307
"2015-05-07",177.83,179.42,176.64,177.45,248338
"2015-05-14",179.16,181.02,178,180.78,217802
"2015-05-21",182.39,182.5,179.54,179.8,339394
"2015-05-28",178.81,181.91,178.71,180.78,225867
"2015-06-04",183.01,184.48,179.74,180.14,578377
"2015-06-11",173.68,177.17,173.68,176.79,513828
"2015-06-18",177.72,179.38,177.32,177.83,232934
"2015-06-25",174.56,176.68,174.56,175.7,256848
"2015-07-02",176.66,177.32,175.56,176.59,266707
"2015-07-09",175.62,175.99,174.04,174.68,341288
"2015-07-16",176.28,177.35,175.06,176.67,247669
"2015-07-23",172.71,175.21,172.71,173.71,421073
"2015-07-30",176.63,177.22,174.45,176.5,186850
"2015-08-06",178.35,179.51,171.98,175.1,270802
"2015-08-13",173.84,174.92,172.64,173.87,299050
"2015-08-20",169.55,170.57,166.29,166.47,564162
"2015-08-27",163.67,165.58,162.28,164.2,455999
"2015-09-03",163.24,164.54,160.94,161.31,919115
"2015-09-10",149.03,149.99,148.25,148.57,306545
"2015-09-17",150,151.98,149.28,150.54,401464
"2015-09-24",154.49,154.52,153.07,153.9,622374
"2015-10-01",148.57,149.71,143.47,146.68,594863
"2015-10-08",142.55,143.48,141.25,141.99,826755
"2015-10-15",140.33,145.36,139.67,145.23,825882
"2015-10-22",146.69,146.69,142.36,143.47,559115
"2015-10-29",148.84,150.44,148.1,150.38,362049
"2015-11-05",152.65,154.32,150.97,153.51,264532
"2015-11-12",148.57,149.05,146.4,146.82,285109
"2015-11-19",145.56,146.06,144.06,144.44,477820
"2015-12-03",149.78,150.48,141.24,142.05,805722
"2015-12-10",131.66,136.14,131.48,134.94,791627
"2015-12-17",137.74,138.2,135.91,136.44,768864
"2015-12-24",135.63,137.16,135.09,136.34,122918
"2015-12-31",135.08,135.86,134.11,134.2,403792
"2016-01-07",129.89,130.76,127.85,127.96,378919
"2016-01-14",125.56,126.09,123.19,124.04,555041
"2016-01-21",124.33,125.64,122.45,123.85,520868
"2016-01-28",129.42,130.97,125.45,126.83,564493
"2016-02-04",132.85,133.98,131.29,131.87,283223
"2016-02-11",130.53,135.27,130.5,134.27,833184
"2016-02-18",139.32,141.66,138.17,139.56,398533
"2016-02-25",142.19,144.98,141.38,144.96,446630
"2016-03-03",143.19,145.01,141.85,145.01,770624
"2016-03-10",147.99,149.44,146.97,149.02,387674
"2016-03-17",145.75,146.38,142.98,144.51,486766
"2016-03-24",147.69,148.91,146.89,148.8,267123
"2016-03-31",155.7,156.25,153.79,153.97,511773
"2016-04-07",158.7,159.22,154.93,156.26,433796
"2016-04-14",154.51,155.26,153.76,153.77,260747
"2016-04-21",158.57,161.17,158.18,158.63,310768
"2016-04-28",156.67,158.31,155.47,155.8,254216
"2016-05-05",153.41,154.46,152.82,153.69,215035
"2016-05-12",155.76,157.84,153.83,155.41,507696
"2016-05-19",157.49,159.76,156.84,159.29,296440
"2016-05-26",164.71,164.71,161.14,161.93,474740
"2016-06-02",166,167.42,164.41,167.42,798584
"2016-06-09",164.42,165.99,163.92,165.2,272742
"2016-06-16",161.91,163.31,161.18,162.93,228052
"2016-06-23",166.24,166.67,163.81,166.59,241883
"2016-06-30",170.78,172.24,170.15,171.57,547330
"2016-07-07",178.38,180.07,177.81,178.5,331667
"2016-07-14",179.92,180.43,177.97,178.96,223487
"2016-07-21",177.99,179.25,175.52,176.39,200612
"2016-07-28",179.55,181.59,179.35,180.94,202344
"2016-08-04",181.71,182.65,180.14,181.77,109158
"2016-08-11",181.49,183.12,180.98,182.24,111785
"2016-08-18",180.56,181.7,179.8,181.37,373504
"2016-08-25",184.59,185.16,183.29,183.81,270178
"2016-09-01",185.39,186.65,184.37,185.37,396014
"2016-09-08",188.66,189.67,186.64,186.74,398796
"2016-09-15",186.18,190.75,185.25,189.9,420432
