"","ALK.Open","ALK.High","ALK.Low","ALK.Close","ALK.Volume"
"2012-08-30",16.72,16.87,16.6,16.78,563462
"2012-09-06",16.94,17.36,16.92,17.18,1064778
"2012-09-13",17.34,17.52,17.17,17.44,769164
"2012-09-20",17.14,17.26,17,17.06,871948
"2012-09-27",17.94,17.97,17.7,17.76,1217316
"2012-10-04",18.2,18.27,17.98,18.14,941880
"2012-10-11",18.31,18.38,18.14,18.28,881214
"2012-10-18",18.9,19.2,18.9,19.08,1351096
"2012-10-25",19.15,19.22,18.84,19.08,1402766
"2012-11-01",19.12,19.5,18.82,19.5,2068608
"2012-11-08",20.24,20.72,20.11,20.58,2022656
"2012-11-15",20.25,20.75,20.04,20.44,1922318
"2012-11-29",21.39,21.4,21.12,21.3,959544
"2012-12-06",21.22,21.42,21.14,21.26,1186096
"2012-12-13",21.52,21.94,21.52,21.67,761126
"2012-12-20",22.44,22.52,22.18,22.46,1097100
"2012-12-27",21.73,21.87,21.46,21.63,884278
"2013-01-03",22.02,22.41,21.66,22.38,2603404
"2013-01-10",23.26,23.37,22.97,22.98,1035106
"2013-01-17",23.62,23.68,23.4,23.52,1293698
"2013-01-24",23.38,23.92,22.86,23.2,1729688
"2013-01-31",23.06,23.25,22.91,23.06,970710
"2013-02-07",23.6,24.01,23.56,23.9,1174638
"2013-02-14",24.66,24.68,24.15,24.36,1205950
"2013-02-21",24.8,24.98,24.57,24.82,1193394
"2013-02-28",25.75,25.98,25.64,25.78,1862334
"2013-03-07",27.9,28.02,27.66,28.02,1024744
"2013-03-14",29.76,29.88,29.5,29.78,1690542
"2013-03-21",31.36,31.64,30.72,30.92,1223926
"2013-03-28",31.82,32.28,31.82,31.98,1245920
"2013-04-04",28.83,29.96,28.76,29.94,1438300
"2013-04-11",29.82,30.2,29.56,29.69,1288974
"2013-04-18",29.9,29.97,29.24,29.36,1485246
"2013-04-25",30.64,31.06,30.06,30.12,1468602
"2013-05-02",30.05,30.42,29.78,30.35,970440
"2013-05-09",33.72,33.9,32.86,32.92,1206676
"2013-05-16",32.96,33.14,31.82,31.98,1819728
"2013-05-23",28.45,29.69,28.36,29.58,2783000
"2013-05-30",27.96,28.43,27.95,28.12,1259898
"2013-06-06",27.42,27.86,26.73,27.4,1634834
"2013-06-13",28.2,28.65,27.95,28.46,996638
"2013-06-20",27.17,27.17,26.58,26.78,1329560
"2013-06-27",25.44,26.06,25.26,26.04,2372704
"2013-07-11",29.28,29.84,28.75,29.78,3050640
"2013-07-18",30.88,31.48,30.73,30.94,1944472
"2013-07-25",30.6,30.92,29.34,30.18,2118990
"2013-08-01",30.76,31.62,30.72,31.21,1563350
"2013-08-08",30.97,31.16,30.74,30.96,1969530
"2013-08-15",28.98,29.32,28.42,28.96,2129570
"2013-08-22",29.45,30.14,29.44,30.12,834730
"2013-08-29",28.43,29.18,28.28,28.86,1447128
"2013-09-05",29.06,29.64,28.96,28.98,1095816
"2013-09-12",30.28,30.56,29.61,29.65,1120616
"2013-09-19",31.39,31.52,31.09,31.29,866716
"2013-09-26",31.76,32.24,31.71,32.1,1031378
"2013-10-03",32.42,32.53,31.76,32.4,995342
"2013-10-10",31.28,31.38,31.04,31.2,1178256
"2013-10-17",32.18,32.83,32.08,32.73,1271744
"2013-10-24",34.5,35.14,34.15,34.84,1465202
"2013-10-31",34.86,35.58,34.62,35.33,1171724
"2013-11-07",36.24,36.43,35.25,35.3,1234636
"2013-11-14",37.6,38.36,37.6,38.04,1410868
"2013-11-21",37.9,38.22,37.66,38,1536084
"2013-12-05",37.28,37.5,36.49,37.21,1604546
"2013-12-12",36.48,36.55,36.05,36.16,1814726
"2013-12-19",35.5,35.79,35.15,35.28,1555348
"2013-12-26",36.66,36.75,36.36,36.41,1002666
"2014-01-02",36.66,36.96,36.28,36.59,900234
"2014-01-09",38.26,40.1,38.26,38.7,2613614
"2014-01-16",39.28,39.82,39.14,39.58,802204
"2014-01-23",41,41,39.53,40.68,2202566
"2014-01-30",38.86,39.28,38.44,38.94,756532
"2014-02-06",37.58,38.77,37.58,38.17,1637896
"2014-02-13",38.47,40.25,38.47,39.73,2090030
"2014-02-20",39.26,40.12,39.19,40.08,1185668
"2014-02-27",42.9,43.64,42.78,43.15,1117686
"2014-03-06",44.86,45.86,44.84,45.47,1396660
"2014-03-13",44.44,44.62,43.2,43.7,1496512
"2014-03-20",46.1,46.32,45.52,46.21,1118846
"2014-03-27",45.76,46.16,45.04,45.79,1158008
"2014-04-03",47.3,47.75,46.78,47.4,1621268
"2014-04-10",47.43,47.54,45.72,45.84,2620546
"2014-04-17",46.16,46.7,45.48,46.47,1184510
"2014-04-24",48.04,48.11,46.94,47.38,2439958
"2014-05-01",47.22,48.26,47.1,47.99,1639740
"2014-05-08",47,47.99,46.76,47.35,1545532
"2014-05-15",48.26,48.26,47,47.82,1368300
"2014-05-22",48.08,48.74,48.08,48.42,741656
"2014-05-29",49.74,50.04,49.13,49.7,890898
"2014-06-05",49.94,50.36,49.28,49.45,1708050
"2014-06-12",47.84,47.9,46.12,46.48,3068400
"2014-06-19",47.68,47.96,46.92,47.44,1220354
"2014-06-26",47.64,47.64,47.13,47.27,1239786
"2014-07-03",48,48.72,47.96,48.4,675286
"2014-07-10",48.15,49.09,46.89,49.01,1597069
"2014-07-17",49.27,49.72,48.1,48.16,1222661
"2014-07-24",49.7,49.91,44.53,45.03,4455498
"2014-07-31",44.5,44.77,43.88,43.97,1870897
"2014-08-07",42.96,43.34,42.34,42.76,1482060
"2014-08-14",44.84,45.27,44.39,45.2,1338002
"2014-08-21",47.23,47.29,46,46.03,1214832
"2014-08-28",46.21,46.94,46.03,46.53,695947
"2014-09-04",47.68,48.21,47.49,47.63,1015989
"2014-09-11",47.55,47.85,46.97,47.36,769376
"2014-09-18",46.36,46.88,46.16,46.84,642501
"2014-09-25",44.57,44.73,43.71,43.72,947386
"2014-10-02",42.88,43.54,42.08,42.92,997093
"2014-10-09",43.25,43.95,42.53,42.68,2433931
"2014-10-16",41.49,43.99,41.03,43.8,2136083
"2014-10-23",48.27,50.41,48.12,49.95,3616528
"2014-10-30",51.96,52.62,51.59,52.14,1598709
"2014-11-06",54.65,55.75,54.44,55.4,1218982
"2014-11-13",56.34,56.94,55.88,56.24,1062823
"2014-11-20",54.35,54.91,53.69,54.24,1321862
"2014-12-04",58.03,58.76,56.48,56.74,2197237
"2014-12-11",55.8,56.14,55.32,55.97,1683775
"2014-12-18",56.25,56.62,55.42,56.34,1125278
"2015-01-08",60,61.46,59.69,60.7,1697773
"2015-01-15",61.69,62.1,60.6,61.47,1619752
"2015-01-22",66.9,68,64.55,67.94,2834453
"2015-01-29",68.8,71.4,68.42,71.07,1966727
"2015-02-05",66.8,66.94,65.02,66.82,1354289
"2015-02-12",63.57,63.59,61.72,62.75,2823166
"2015-02-19",65.18,65.18,62.77,62.94,2091087
"2015-02-26",64.12,64.2,63.01,63.98,1225439
"2015-03-05",65.75,65.97,64.51,64.64,1118453
"2015-03-12",65.06,67.28,65.02,67.11,1339628
"2015-03-19",68.46,68.93,67.68,68.35,835242
"2015-03-26",63.92,64.82,62.77,64.61,1622266
"2015-04-02",64.02,64.81,62.99,63.07,1220354
"2015-04-09",64.96,65.58,63.67,64.15,1244736
"2015-04-16",62.02,63.56,61.64,63.5,1599743
"2015-04-23",63.65,66.86,63.3,66.34,1998832
"2015-04-30",64.91,65.65,63.84,64.06,1147705
"2015-05-07",63.27,65.55,63.27,64.96,1049698
"2015-05-14",65.24,66.16,64.78,66.13,974798
"2015-05-21",64.09,64.83,63.5,64.69,1277812
"2015-05-28",63.49,64.05,63.12,63.74,1044007
"2015-06-04",65.81,66.66,65.03,65.51,966397
"2015-06-11",60.89,62.12,60.76,61.82,1426673
"2015-06-18",62.61,64.37,62.61,63.99,1461375
"2015-06-25",66.67,67.15,65.42,65.43,1273487
"2015-07-02",64.66,65.31,63.82,65.01,1109120
"2015-07-09",67.07,67.22,66.44,66.54,922687
"2015-07-16",73.99,75.47,73.88,74.69,1555777
"2015-07-23",76.88,77.8,72.61,73.79,2246851
"2015-07-30",74.4,75.28,73.89,75.16,869982
"2015-08-06",80.09,80.53,76.88,77.75,1062960
"2015-08-13",78.48,80.24,78.03,79.29,1076734
"2015-08-20",80.04,80.56,78.7,79.01,1291363
"2015-08-27",77.17,77.69,74.87,76.24,1394899
"2015-09-03",79,80,77.81,78.07,1248158
"2015-09-10",82.09,82.78,80.99,81.29,1143730
"2015-09-17",79.61,80.6,78.57,79.69,1294225
"2015-09-24",79.48,79.92,78.36,78.98,1183490
"2015-10-01",78.88,80.49,78,80.23,1230126
"2015-10-08",75.73,77.21,74.92,75.76,1414562
"2015-10-15",74.06,76.27,73.15,75.98,2057679
"2015-10-22",76.18,76.95,74.75,75.97,1473853
"2015-10-29",75.17,76.58,74.74,75.77,916323
"2015-11-05",77.87,78.17,76.85,78.06,896158
"2015-11-12",77.53,77.99,76.62,76.68,954993
"2015-11-19",78.52,79.57,78.43,79.23,822896
"2015-12-03",82.15,82.64,80.32,80.55,1366261
"2015-12-10",84.45,85.5,84.14,84.36,1182448
"2015-12-17",82.79,84.25,81,81.13,1050864
"2015-12-24",82.11,83.42,82.01,82.12,387174
"2015-12-31",81,81.45,79.8,80.51,817475
"2016-01-07",76.57,77.19,72.88,73.99,1797151
"2016-01-14",67.33,69.9,66.09,68.75,1496544
"2016-01-21",68.61,72.79,67.85,72.61,3658358
"2016-01-28",69.83,69.93,67.23,68.57,1459162
"2016-02-04",67.11,69.17,67.1,68.91,1158514
"2016-02-11",65.86,67.39,65.43,66.94,1246006
"2016-02-18",72,72.38,70.93,72.32,1545328
"2016-02-25",73.68,75,73.21,74.91,995207
"2016-03-03",77.07,78.49,76.73,78.25,1098589
"2016-03-10",77.39,77.81,75.15,76.39,1172341
"2016-03-17",80.42,81.45,80.09,80.98,1109344
"2016-03-24",80.47,80.59,79.42,80.59,1159728
"2016-03-31",82.39,83.09,81.81,82.02,1102396
"2016-04-07",79.45,79.66,77.69,78.28,1481005
"2016-04-14",82.14,83.26,81.82,81.86,1153217
"2016-04-21",81.43,82.09,78.78,79.38,1503617
"2016-04-28",73.5,73.58,71.83,72.01,1032857
"2016-05-05",69.09,70.17,68.94,69.14,1249182
"2016-05-12",68.03,68.14,65.12,65.57,27346439
"2016-05-19",66.06,66.58,64.43,65.39,1737640
"2016-05-26",66.77,67.07,65.62,66.14,1347000
"2016-06-02",65.59,66.51,65.51,65.94,1296215
"2016-06-09",66.39,67.95,66.39,67.5,2062457
"2016-06-16",60.74,61.18,60.03,60.37,1750219
"2016-06-23",60.35,60.47,58.74,59.14,1764489
"2016-06-30",57.95,58.29,57.3,58.29,1792089
"2016-07-07",58.37,59.94,58.31,59.47,1229021
"2016-07-14",63.71,64.89,63.29,64.86,2132778
"2016-07-21",62.95,65.53,61.61,64.71,2832442
"2016-07-28",67.7,68.55,67.47,68.46,1845891
"2016-08-04",65.14,65.31,64.51,65.1,915643
"2016-08-11",65.53,66.61,65.47,66.11,1269745
"2016-08-18",67.2,67.91,66.73,67.7,2154341
"2016-08-25",67.72,68.48,67.68,68.34,1027948
"2016-09-01",67.81,68.44,67.08,67.26,916671
"2016-09-08",70.86,71.63,70.78,71.32,1437875
"2016-09-15",66.58,67.4,65.96,66.81,1187355
