"","ALK.Open","ALK.High","ALK.Low","ALK.Close","ALK.Volume"
"2011-09-15",15.16,15.22,14.82,14.93,1192208
"2011-09-22",13.4,13.93,13.4,13.86,2700196
"2011-09-29",14.59,14.68,14.14,14.5,1163684
"2011-10-06",13.72,14.52,13.72,14.51,2057148
"2011-10-13",15.49,16.19,15.39,16.06,1734096
"2011-10-20",16.12,16.5,15.66,16.48,2197036
"2011-10-27",17.05,17.21,16.47,16.94,1752220
"2011-11-03",16.57,17.25,16.42,17.2,1890988
"2011-11-10",16.95,17.07,16.25,16.38,2062372
"2011-11-17",16.5,16.64,16.08,16.21,1675600
"2011-12-01",17.24,18,17.19,17.54,4710012
"2011-12-08",17.41,17.41,16.78,16.98,2243540
"2011-12-15",18.21,18.5,18.08,18.38,2683540
"2011-12-22",19.18,19.25,18.9,19.09,1082720
"2011-12-29",18.68,19.01,18.68,18.98,785228
"2012-01-05",18.5,18.87,18.4,18.81,1483048
"2012-01-12",18.3,18.33,17.76,18.04,2230480
"2012-01-19",18.36,18.68,18.25,18.5,1578944
"2012-01-26",18.12,18.66,17.8,18.18,3015496
"2012-02-02",19.32,19.66,19.22,19.36,1512744
"2012-02-09",19.07,19.07,18.62,19.01,1351608
"2012-02-16",18.91,19.32,18.6,19.27,1939152
"2012-02-23",17.52,17.61,17.12,17.3,2714436
"2012-03-01",17.22,17.68,17.12,17.38,1931900
"2012-03-08",17.13,17.25,17,17.17,2642024
"2012-03-15",17.4,18.15,17.28,17.99,3040516
"2012-03-22",17.52,17.64,17.25,17.3,2059236
"2012-03-29",17.88,18.17,17.68,18.12,1250686
"2012-04-05",18.11,18.31,17.98,18.04,1202662
"2012-04-12",17.32,17.82,17.32,17.64,1265890
"2012-04-19",17.68,17.97,17.2,17.34,1953474
"2012-04-26",17.11,17.26,16.94,17,1199102
"2012-05-03",16.51,16.76,16.48,16.62,3073728
"2012-05-10",17.02,17.21,16.92,17,1284192
"2012-05-17",16.82,16.85,16.04,16.1,1508186
"2012-05-24",16.2,16.96,16.2,16.92,1953758
"2012-05-31",16.9,17.28,16.79,17.15,2013966
"2012-06-07",16.92,17.08,16.72,16.9,1903624
"2012-06-14",17.76,17.8,17.46,17.6,2098844
"2012-06-21",18.12,18.25,17.96,17.99,2377328
"2012-06-28",18,18.11,17.67,18,1388156
"2012-07-05",18.4,18.82,18.31,18.81,2832872
"2012-07-12",18.14,18.44,17.96,18.23,1811958
"2012-07-19",18.76,18.92,18.24,18.24,2449972
"2012-07-26",17.51,17.64,17,17.31,1569750
"2012-08-02",16.85,17.17,16.77,16.89,1589016
"2012-08-09",17.2,17.33,17.1,17.16,1667624
"2012-08-16",17.08,17.14,16.92,17.1,891334
"2012-08-23",17.19,17.3,16.94,17.02,1016686
