"","CXO.Open","CXO.High","CXO.Low","CXO.Close","CXO.Volume"
"2011-09-15",85.94,87.23,84.83,87.01,1034796
"2011-09-22",79.76,80.14,75.03,76.41,1168001
"2011-09-29",76.42,76.82,72.49,74.19,749303
"2011-10-06",71.9,77.57,71.85,77.05,1360169
"2011-10-13",77.16,79.47,75.6,79.16,768374
"2011-10-20",85.55,86.88,83.91,86.54,927583
"2011-10-27",95.65,99.6,94.61,96.1,1100004
"2011-11-03",97.05,99.5,93.62,99.49,2031343
"2011-11-10",95.5,97.62,94.34,96.76,847966
"2011-11-17",98.13,99.49,94.71,95.59,990987
"2011-12-01",101,103.05,100.67,101.51,835569
"2011-12-08",101.73,102.34,98.01,98.56,738496
"2011-12-15",92.5,92.89,90.02,90.99,828644
"2011-12-22",93.85,95.66,93.85,95.09,593068
"2011-12-29",93.39,93.74,92.23,93.57,437563
"2012-01-05",101.74,102.75,100.36,101.91,803388
"2012-01-12",102.11,102.11,100.21,100.97,694247
"2012-01-19",101.62,101.62,100.26,100.74,820124
"2012-01-26",108.99,109.55,105.25,106.25,1202824
"2012-02-02",107.79,108.69,106.84,108.48,1229481
"2012-02-09",111.34,113.88,109.62,112.65,956532
"2012-02-16",112.68,115.95,112.02,115.65,967375
"2012-02-23",111.42,113.52,108.04,112.25,2342986
"2012-03-01",107.41,109.88,106.14,109.78,1197282
"2012-03-08",103.69,104.62,102.69,103.65,496178
"2012-03-15",100.24,100.82,99.23,99.67,1045086
"2012-03-22",99.88,99.95,96.41,97.29,1461304
"2012-03-29",99.97,100.88,98.12,99.52,766250
"2012-04-05",100.13,102.06,99.02,99.34,645480
"2012-04-12",95.19,99.09,95,98.7,649190
"2012-04-19",98,99.78,97.68,99.63,1013066
"2012-04-26",103.85,109.25,103.73,107.11,1044166
"2012-05-03",103.98,103.99,98.76,99.5,2458197
"2012-05-10",91.19,92.59,90.15,91.32,1345733
"2012-05-17",88.97,90,86.41,86.49,920350
"2012-05-24",90.61,90.61,87.98,88.85,1121562
"2012-05-31",88.35,88.52,84.84,87.74,993433
"2012-06-07",93.36,94.43,91.3,91.98,890626
"2012-06-14",90.1,92.08,89.5,89.77,956308
"2012-06-21",86.23,86.29,79.29,79.86,2182375
"2012-06-28",81.59,84.18,80.03,81.2,1965119
"2012-07-05",88.64,89.14,86.99,87.36,705490
"2012-07-12",82.3,84.61,81.43,83.79,1039112
"2012-07-19",89.96,91.35,88.89,90.17,1378926
"2012-07-26",83.93,84.12,80.76,82.86,1327530
"2012-08-02",85.83,87.95,85.61,86.64,1229751
"2012-08-09",92.82,94.45,92.47,93.83,538652
"2012-08-16",96.2,97.49,95.4,97,616151
"2012-08-23",93.75,94.59,92.73,92.95,597447
"2012-08-30",89.48,89.48,88.02,88.15,624275
"2012-09-06",89.81,94.91,89.81,91.76,1565612
"2012-09-13",93.1,97.9,91.74,97.28,1446279
"2012-09-20",96.68,97.84,96.13,97.49,556621
"2012-09-27",94.17,95.7,93.42,94.43,917930
"2012-10-04",95.86,96.08,94.75,95.94,790469
"2012-10-11",94.71,95.13,92.89,92.99,924988
"2012-10-18",93.69,94.93,93.25,94.36,532011
"2012-10-25",87.22,87.86,85.99,87.56,563060
"2012-11-01",85.9,88.22,85.1,88.07,980375
"2012-11-08",85,87.33,79.85,80.4,4835829
"2012-11-15",80.03,80.93,78.5,80.32,1164272
"2012-11-29",78.98,81.26,78.74,80.46,1129565
"2012-12-06",81.13,81.97,80.77,81.07,748596
"2012-12-13",84.11,87.6,81.35,81.69,1014956
"2012-12-20",81.42,82.17,80.36,81.26,2140709
"2012-12-27",79.12,79.12,77.49,78.15,1065164
"2013-01-03",81.66,85.23,80.99,83.63,1777380
"2013-01-10",85.41,86.95,85.41,86.4,1482142
"2013-01-17",87.85,88.79,86.82,88.3,864990
"2013-01-24",89.47,91.46,89.47,90.35,812853
"2013-01-31",90.74,91.63,89.47,91.22,656801
"2013-02-07",92.26,92.78,91.05,91.82,522472
"2013-02-14",94.13,96.94,93.65,96.45,1373550
"2013-02-21",95.54,95.54,90.56,92.85,1358901
"2013-02-28",89.74,90.63,89.1,89.96,1182193
"2013-03-07",88.63,91.38,88.29,90.92,1035514
"2013-03-14",94.18,97,94.15,96.82,1226111
"2013-03-21",94.23,94.99,93.33,93.45,585958
"2013-03-28",98.18,98.87,97.29,97.43,659939
"2013-04-04",91.01,91.17,88.76,89.68,834411
"2013-04-11",91.18,91.98,90.01,90.11,592133
"2013-04-18",81.24,82.92,79.45,82.39,1362696
"2013-04-25",87.28,87.8,86.15,86.44,1034524
"2013-05-02",82.55,82.55,78.74,80.14,3883673
"2013-05-09",84.31,84.54,82.54,82.81,1198659
"2013-05-16",80.77,81.56,80.14,81,2049201
"2013-05-23",80.16,81.53,80,81.33,804972
"2013-05-30",82.9,84.69,82.21,84.18,1582370
"2013-06-06",87.81,88.81,86.79,87.93,1505996
"2013-06-13",85.46,87.28,85.15,86.95,983888
"2013-06-20",85.2,85.9,84.16,84.59,1462824
"2013-06-27",86.69,87.17,84.8,84.8,754517
"2013-07-11",89.19,89.7,87.07,88.14,724749
"2013-07-18",86.44,87.79,86.44,87.5,831722
"2013-07-25",88.56,89.64,87,88.01,1116071
"2013-08-01",92.23,96.25,91.35,95.12,2296157
"2013-08-08",95.19,98.61,93.73,97.85,2708106
"2013-08-15",93.02,94.07,92.37,93.56,741608
"2013-08-22",92.71,95.57,92.58,95,1225561
"2013-08-29",97.53,98.02,96,96.41,541659
"2013-09-05",97.64,100.22,97.25,99.49,1272912
"2013-09-12",102.89,105.64,102.85,103.78,1322835
"2013-09-19",106.32,107.27,105.3,105.42,1043104
"2013-09-26",107.94,110.37,107.04,109.29,1077283
"2013-10-03",114.33,115.84,113.47,113.99,2038085
"2013-10-10",108.88,110.23,108.65,109.66,975133
"2013-10-17",116.71,119.47,116.41,119.13,1778618
"2013-10-24",108.53,112.47,107.27,112.02,1566669
"2013-10-31",111.79,112.35,108.08,110.61,1086601
"2013-11-07",107.25,109.36,99.99,105.8,4089972
"2013-11-14",111.43,111.52,107.92,111.14,1008114
"2013-11-21",108.73,108.73,104.34,106.89,1017515
"2013-12-05",103.76,105.25,103.46,103.9,747123
"2013-12-12",98.21,100.22,98.17,99.78,928893
"2013-12-19",102.81,105.56,102.49,104.96,1159859
"2013-12-26",106.57,107.63,105.56,106.28,382972
"2014-01-02",106.44,108.84,101.42,103.14,1815364
"2014-01-09",100.63,101.4,97.5,98.71,1490675
"2014-01-16",99.2,101.71,99.07,100.8,996325
"2014-01-23",101.33,102.24,99.05,99.51,894187
"2014-01-30",96.44,97.79,96.1,96.91,1279021
"2014-02-06",100.47,104.96,100.47,104.63,1904210
"2014-02-13",109.67,111.96,108.64,110.69,1407794
"2014-02-20",113.8,119,113.68,116.27,1905302
"2014-02-27",117.18,119.96,117.06,119.9,943748
"2014-03-06",121.25,122.34,119.78,121.81,1423749
"2014-03-13",117.12,118.09,115.93,116.13,803284
"2014-03-20",116.37,117.35,115.68,116.66,1319009
"2014-03-27",118.87,124.85,118.29,122.19,2071439
