"","ZTS.Open","ZTS.High","ZTS.Low","ZTS.Close","ZTS.Volume"
"2013-02-07",31,32.73,31,32,3800770
"2013-02-14",33.39,33.45,32.77,33.27,2954424
"2013-02-21",32.5,32.8,31.86,32.56,3242213
"2013-02-28",32.56,33.55,32.56,33.45,2991401
"2013-03-07",33.95,34.68,33.56,34.56,1319992
"2013-03-14",34.33,35.42,34.3,34.64,1865195
"2013-03-21",33.9,34,33.29,33.47,514497
"2013-03-28",32.85,33.5,32.63,33.4,7435237
"2013-04-04",32.41,32.5,31.71,31.84,1946314
"2013-04-11",33.22,33.24,32.87,33.16,1826538
"2013-04-18",33.1,33.1,32.38,32.47,799890
"2013-04-25",30.93,31.99,30.75,31.55,1520556
"2013-05-02",33.38,33.87,33.11,33.28,696250
"2013-05-09",33.31,33.67,33.28,33.55,977130
"2013-05-16",33.48,33.8,33.16,33.39,1279483
"2013-05-23",33.25,33.8,32.71,32.84,9008453
"2013-05-30",32.77,33.1,32.1,32.24,3934038
"2013-06-06",31.62,32.31,31.54,32.08,2919005
"2013-06-13",31.47,31.55,30.87,31.17,5853198
"2013-06-20",30.89,31.04,30.05,30.19,14938683
"2013-06-27",31.46,31.51,30.79,30.87,16734836
"2013-07-11",31.43,31.45,30.84,30.92,4488711
"2013-07-18",31.11,31.2,30.77,30.82,4058764
"2013-07-25",29.88,30.55,29.71,30.52,5474030
"2013-08-01",29.97,30.21,29.46,30.16,8108412
"2013-08-08",31.4,31.83,31.18,31.24,7161858
"2013-08-15",29.94,30.16,29.79,30.02,5818910
"2013-08-22",29.83,30.01,29.57,29.87,3030848
"2013-08-29",29.43,29.61,29.22,29.47,1590580
"2013-09-05",29.72,30.49,29.66,30.33,5688117
"2013-09-12",31.36,31.39,30.82,31.08,2881462
"2013-09-19",32.8,32.9,32.16,32.51,4128746
"2013-09-26",31.22,31.64,31.2,31.58,2289127
"2013-10-03",31.79,31.82,31.34,31.48,2520456
"2013-10-10",31.78,32.36,31.47,32.36,4397614
"2013-10-17",32.83,33.19,32.77,33.03,2891468
"2013-10-24",32.75,32.89,32.5,32.74,2351477
"2013-10-31",32,32.28,31.66,31.66,4241692
"2013-11-07",31.38,31.53,30.86,31.04,5204590
"2013-11-14",31.93,32.18,31.48,31.68,2945035
"2013-11-21",31.49,31.72,31.32,31.58,4425171
"2013-12-05",31.2,31.7,31,31.44,6498010
"2013-12-12",30.98,31.41,30.98,31.17,3603540
"2013-12-19",32.04,32.37,31.66,32.31,3447344
"2013-12-26",32.5,32.78,32.4,32.59,1504703
"2014-01-02",32.53,32.66,32.11,32.36,2576112
"2014-01-09",31.83,31.97,31.53,31.96,2303278
"2014-01-16",31.85,32.08,31.71,32,1960434
"2014-01-23",31.46,31.83,31.4,31.74,3263824
"2014-01-30",31.07,31.33,30.59,30.67,4700390
"2014-02-06",30.09,30.24,30,30.05,3327118
"2014-02-13",29.93,30.17,29.56,29.67,7891632
"2014-02-20",29.74,30.17,29.64,29.97,4699291
"2014-02-27",30.4,30.74,30.35,30.72,3778003
"2014-03-06",30.82,31.05,30.67,30.78,3617531
"2014-03-13",29.72,29.78,29.06,29.25,4090945
"2014-03-20",29.81,30.11,29.67,30.09,3672359
"2014-03-27",29.21,29.4,29.08,29.3,2987046
"2014-04-03",29.71,29.71,29.38,29.62,2896462
"2014-04-10",28.99,29.22,28.8,28.86,5372582
"2014-04-17",28.51,28.71,28.46,28.6,3425756
"2014-04-24",29.3,30.02,29.25,29.89,4412085
"2014-05-01",30.31,30.53,30.18,30.31,3206975
"2014-05-08",30.55,30.81,30.4,30.48,2687249
"2014-05-15",30.53,30.64,30.35,30.46,3104463
"2014-05-22",30.35,30.55,30.26,30.33,4522725
"2014-05-29",30.6,30.77,30.5,30.72,2610773
"2014-06-05",31.41,31.64,31.22,31.61,2784654
"2014-06-12",32.08,32.13,31.82,31.99,4298497
"2014-06-19",32.97,33.05,32.53,32.55,4062916
"2014-06-26",32.35,32.43,32.08,32.24,2240152
"2014-07-03",32.76,32.92,32.65,32.91,1370189
"2014-07-10",32.22,32.69,32.02,32.52,2003750
"2014-07-17",32.43,32.51,32.14,32.21,2154325
"2014-07-24",32.9,32.97,32.76,32.89,2007927
"2014-07-31",32.91,33.13,32.87,32.91,3002684
"2014-08-07",32.37,32.48,31.67,31.79,3747757
"2014-08-14",32.93,33.1,32.87,33.07,2562480
"2014-08-21",34.77,34.98,34.69,34.89,2041808
"2014-08-28",35.17,35.38,35.07,35.33,3760673
"2014-09-04",35.77,35.89,35.39,35.51,2383078
"2014-09-11",36.15,36.29,36.09,36.27,1768941
"2014-09-18",36.74,37.08,36.62,36.7,2336323
"2014-09-25",36.57,36.59,36.12,36.3,2061965
"2014-10-02",36.58,36.97,36.46,36.91,3670179
"2014-10-09",37.49,37.63,36.9,37.02,4336710
"2014-10-16",34.74,35.52,34.18,35.07,4181274
"2014-10-23",35.8,36.45,35.47,36.11,2925838
"2014-10-30",36.63,37.4,36.55,37.32,2137901
"2014-11-06",39.35,39.72,39.27,39.71,4457084
"2014-11-13",42.66,43.29,42.61,43.24,6151288
"2014-11-20",42.91,43.25,42.71,43.15,5091131
"2014-12-04",44.79,44.9,43.85,44,4294633
"2014-12-11",42.97,43.5,42.76,42.88,4942195
"2014-12-18",41.84,43.15,41.79,43.15,6578062
"2015-01-08",44.75,44.87,44,44.18,3121258
"2015-01-15",43.27,43.77,42.9,42.94,2719250
"2015-01-22",44.35,44.82,43.65,44.51,2914674
"2015-01-29",43.05,43.68,42.56,43.32,4927327
"2015-02-05",43.55,44.08,43.12,43.4,3470904
"2015-02-12",47.24,47.4,45.26,45.79,6989570
"2015-02-19",45.83,46,45.49,45.65,2928791
