Date,Open,High,Low,Close,Adj Close,Volume
2016-01-25,597.989990,638.059998,570.000000,587.000000,587.000000,41985000
2016-02-01,578.150024,581.799988,499.190002,502.130005,502.130005,38601300
2016-02-08,486.470001,516.750000,474.000000,507.079987,507.079987,36439800
2016-02-15,519.479980,541.200012,511.660004,534.900024,534.900024,19652200
2016-02-22,542.200012,562.500000,533.150024,555.229980,555.229980,25236600
2016-02-29,554.000000,585.000000,552.510010,575.140015,575.140015,19919300
2016-03-07,573.539978,573.630005,547.900024,569.609985,569.609985,21719800
2016-03-14,567.000000,581.520020,546.090027,552.080017,552.080017,24093700
2016-03-21,548.909973,583.549988,538.580017,582.950012,582.950012,18325500
2016-03-28,584.400024,603.239990,575.559998,598.500000,598.500000,16778300
2016-04-04,599.000000,602.390015,585.250000,594.599976,594.599976,13394100
2016-04-11,596.140015,626.770020,592.309998,625.890015,625.890015,15930900
2016-04-18,625.349976,638.010010,611.559998,620.500000,620.500000,18681900
2016-04-25,616.609985,669.979980,599.200012,659.590027,659.590027,27456400
2016-05-02,663.919983,685.500000,656.000000,673.950012,673.950012,25325800
2016-05-09,673.950012,722.450012,671.409973,709.919983,709.919983,27219000
2016-05-16,710.130005,714.469971,688.760010,702.799988,702.799988,20779300
2016-05-23,704.250000,716.599976,696.419983,712.239990,712.239990,13566700
2016-05-30,712.330017,728.280029,711.320007,725.539978,725.539978,13269400
2016-06-06,726.500000,731.500000,714.210022,717.909973,717.909973,13256700
2016-06-13,714.010010,722.559998,699.179993,706.390015,706.390015,17564300
2016-06-20,713.500000,722.119995,692.200012,698.960022,698.960022,18532700
2016-06-27,692.010010,728.000000,682.119995,725.679993,725.679993,18450600
2016-07-04,722.799988,746.099976,719.609985,745.809998,745.809998,12735500
2016-07-11,750.000000,757.340027,734.049988,735.440002,735.440002,18473200
2016-07-18,735.489990,751.280029,728.719971,744.859985,744.859985,11980500
2016-07-25,746.549988,766.000000,732.750000,758.809998,758.809998,22435500
2016-08-01,759.869995,770.500000,750.349976,765.979980,765.979980,16643400
2016-08-08,766.809998,773.750000,761.020020,772.559998,772.559998,9046300
2016-08-15,771.900024,772.039978,756.890015,757.309998,757.309998,9416200
2016-08-22,757.500000,770.000000,752.099976,769.000000,769.000000,9347300
2016-08-29,768.719971,776.000000,764.000000,772.440002,772.440002,9502800
2016-09-05,774.039978,790.789978,760.109985,760.140015,760.140015,12428100
2016-09-12,757.349976,772.659973,756.000000,769.690002,769.690002,11798900
